review_id	family	source_ids	source_sha	source_path	source_claim	verdict	proof_reason	required_action	proof_reference	extraction_destination
D4-U001	factor67_lorenz	S01;S02	0f6ea6eae813c1d867ae50744cf5fd57e2720bb7	experiments/X-97400-p61-bias/src/certify.cpp;experiments/X-97400-p61-bias/results/verification.json	Original P61 primitive and serialized interval contract	REPLACE_CERTIFICATE_ADAPTER	Nearest conversion loses interval inclusion; directed C0 interval excludes the printed singleton.	Preserve original bytes and substitute new integer-endpoint proof object after review.	D-F17;R25	research/integrated/factor67_lorenz/P61_INTEGER_REPLAY.md
D4-U002	factor67_lorenz	S01;S02	0f6ea6eae813c1d867ae50744cf5fd57e2720bb7	experiments/X-97400-p61-bias/src/certify.cpp;experiments/X-97400-p61-bias/results/verification.json	Complete fixed-P61 1/42 and 1/8 bias	SUPPORTED_BY_NEW_FULL_REPLAY	Closed integer coefficients, million-endpoint intervals, compact error and every tail slab independently reconstructed.	Accept only with R25 analytic ramp input, new source/result hashes and MPFR trust boundary.	R25;p61.full.json;p61.clang.json	research/integrated/factor67_lorenz/P61_INTEGER_REPLAY.md
D4-U003	factor67_lorenz	S01;S02	0f6ea6eae813c1d867ae50744cf5fd57e2720bb7	experiments/X-97400-p61-bias/src/certify.cpp;experiments/X-97400-p61-bias/results/verification.json	Global 1/40 lower bound	REFUTATION_REPRODUCED	Actual endpoint184 has 40F-M<-18 in the complete finite run.	Do not resurrect the 1/40 constant; this was already known in R-97400.	R25	research/integrated/factor67_lorenz/P61_INTEGER_REPLAY.md
D4-U004	finite_certificates	S03;S04	7b0942a83eede8b57d4f28b14a78d80edc295f2a	experiments/X-6602-barycentric-nearzero/verify_pick_box_pd.py;experiments/X-6602-barycentric-nearzero/results/pick-j1-192-positive-definite.json	Eight-point Pick68 whole-box positive definiteness	ACCEPT_CONDITIONAL_BOX	All eight exact LDL pivots and complete row-sum radius reconstruct from the supplied rectangles.	Keep upstream special-function inclusion and normalization as unregenerated hypotheses.	R31;pick68.extract.json	research/integrated/xi/finite-pick-controls.md
D4-U005	finite_certificates	S04	7b0942a83eede8b57d4f28b14a78d80edc295f2a	experiments/X-6602-barycentric-nearzero/results/pick-j1-192-positive-definite.json	Principal Pick68 JSON blob locator	REPAIR_PROVENANCE	Frozen path reports blob4ca16739; advertised97f722bf did not resolve.	Use verified path/ref/blob; do not infer a false mathematical box from a stale locator.	D-F18;R31	research/integrated/xi/finite-pick-controls.md
D4-U006	finite_certificates	S05	82934cf24ed575e9e554ba4e6c912a447aa1dd4e	experiments/X-3904-complex-pick-recheck/verify_complex_pick.py	Pick71 exact downstream checker algebra	ACCEPT_CONDITIONAL_ALGORITHM	Complex contraction and Hermitian midpoint/radius arguments retain all imaginary cross terms.	Require intended point/check inventory and specific accepted status; verified=true or exit0 alone is not a PD certificate.	R31	research/integrated/xi/finite-pick-controls.md
D4-U007	finite_certificates	S03;S04;S05	7b0942a83eede8b57d4f28b14a78d80edc295f2a;82934cf24ed575e9e554ba4e6c912a447aa1dd4e	experiments/X-6602-barycentric-nearzero/verify_pick_box_pd.py;experiments/X-6602-barycentric-nearzero/results/pick-j1-192-positive-definite.json;experiments/X-3904-complex-pick-recheck/verify_complex_pick.py	Actual high-ordinate primitive values	NO_NEW_UNCONDITIONAL_ACCEPTANCE	Neither special-function backend nor the512-bit rectangle production was regenerated.	Keep only the already explicit conditional-box statement; any stronger producer claim needs exact-head primitive replay.	R31	COMPUTATIONS.md
D4-U008	q4	S06	d764be15bd8ea902ad260484eab44d19a9e82175	claims/lemmas/L-90416-exact-bridge-haar-localization-of-pig.md	Bridge, reflected Haar and Parseval identities	ACCEPT_COMPONENT	Finite difference and triangular summation reconstruct every coordinate and complex cross term.	Use Lebesgue cell values and dyadic endpoint convention.	R28	research/integrated/q4/HAAR_MEASURE_CONTRACT.md
D4-U009	q4	S06;S07	d764be15bd8ea902ad260484eab44d19a9e82175	claims/lemmas/L-90416-exact-bridge-haar-localization-of-pig.md;claims/lemmas/L-90412-q4-pig-bulk-additive-modes-are-easy.md	Fine Haar and bulk Fourier bounds	ACCEPT_COMPONENT	Chebyshev source energy plus exact orthogonality gives normalized logarithmic bounds; mean/coarse modes are untouched.	No global PIG or arbitrary physical-measure transfer.	R28	research/integrated/q4/HAAR_MEASURE_CONTRACT.md
D4-U010	q4	S06;S07	d764be15bd8ea902ad260484eab44d19a9e82175	claims/lemmas/L-90416-exact-bridge-haar-localization-of-pig.md;claims/lemmas/L-90412-q4-pig-bulk-additive-modes-are-easy.md	Uniform-field to physical-bank transfer	CONDITIONAL_ONLY	Restriction in the same measure is valid; an arbitrary bank can concentrate on a cell.	Supply bounded density or exact sampling/Gram comparison before changing the measure.	R28	research/integrated/q4/HAAR_MEASURE_CONTRACT.md
