interface	frozen_status	t94100_disposition	load_bearing
PR #511 completion	unproven/reconstruction target	frozen; not imported as producer	no
actual oriented child ordinary q=2	strictly negative aggregate	branchwise positive realization forbidden	yes
joint cancellation before positive cone	necessary	accepted as normalization firewall	no
exact preservation of every native component row	would force d_X=c_X	exact Farkas equivalence R-94100	yes
Target-Lorenz tail	uncertified after review #516	not used	no
nominal whole-cell source support	false at activation knots	not used	no
anchored stopping coefficient	duplicated or untyped in reviewed siblings	not used	no
positive generator source	endpoint atom a_T	proved nonnegative	yes
ordinary q and 4q	one row and one lambda_T	assembled before detail	yes
radix-four generator response	previously open for endpoint atoms	Delta_T(q)>0 in L-94100	yes
native target	Omega_X	backward detail greedy	yes
ordinary feasibility	must follow from same slack	positive radix-four inverse	yes
literal score	must match physical row	H_T=sum Y4 Delta_T	yes
ownership	one source owner per coefficient	owner is endpoint T	yes
native deficit	unnamed in prior compiler interfaces	exact blocker sum	yes
endpoint composition	requires o(log^2 X) deficit	conditional on NEDB and frozen T-91750	yes
NEDB blocker localization	open	sole asymptotic frontier	yes
Riemann Hypothesis	unproved	unproved	no
