item	frozen_ref	status	basis	downstream
advertised Gate A/Gate B packet	quoted PR #470 + branch research/gpt56-pro/91689-three-route-native-root-attack	NOT REPRODUCED	Live PR #470 and the named branch are different objects; the asserted files and final head are absent	No advertised theorem can be accepted
live PR #470	research/gpt56-pro/91686-native-root-compiler-separator@89af3206ea1894884613e1188b5ab9a6a4cd74f0	VERIFIED SCOPE	Exact separator/compiler packet; PR body leaves SONTR/NRCT and RH open	Not a full proposal
live named branch / PR #475	research/gpt56-pro/91689-three-route-native-root-attack@6cba90ea10163abd62b051c83c8bfd8cc2f901da	VERIFIED SCOPE	Rough ownership, target/score Hall, endpoint hardening; Gate A and Gate B explicitly open	Not a full proposal
PR #481 freeze	research/gpt56-pro/91726-pr476-native-slack-repair@f41bbd7608cc70bc2a8002d43ef99b5e35977968	REVIEWED	Newest actual corrected full-proposal descendant at cutoff	Review target
L-91726 SHARP target monotonicity	f41bbd7608cc70bc2a8002d43ef99b5e35977968	VERIFIED	Pointwise endpoint monotonicity plus exact coefficient sum gives actual weighted child target below one eighth	Repairs PR #473 mass normalization
L-91727 packet-native slack cocycle	f41bbd7608cc70bc2a8002d43ef99b5e35977968	VERIFIED CONDITIONAL	Exact linear identity once packet-specific one-use capacity equality is supplied	Needs concrete L-91730 producer premise
L-91728 sparse Y4 formulas	f41bbd7608cc70bc2a8002d43ef99b5e35977968	VERIFIED	Prime-power support and displayed elementary sums agree with defining recurrence	Supports native cost estimate
L-91728 all-column mismatch/collar cost	f41bbd7608cc70bc2a8002d43ef99b5e35977968	VERIFIED ON FROZEN INPUTS	Follows from PR #479 all-column bound and sparse Y4 sum	Does not reconstruct PR #479 physical interface
L-91728 square-root thinning native cost	f41bbd7608cc70bc2a8002d43ef99b5e35977968	VERIFIED	Uses genuine upper bound J_Lambda(X)<4 sqrt(X) log X; obtains <4290 log X	Valid repair of stale bounded-score line
L-91728 fixed terminal/base/port native cost	f41bbd7608cc70bc2a8002d43ef99b5e35977968	GAP / BLOCKED	Stated as an explicit independent reconstruction input; no complete Y4-weighted response bound is derived in the theorem	Blocks complete one-shot root cost
L-91729 10152 reserve inequality	f41bbd7608cc70bc2a8002d43ef99b5e35977968	VERIFIED CONDITIONAL	Correct quantitative implication from positive relative refinement, bounded correction map and all-column reserve	Depends on concrete correction map and PR #479 realization
L-91730 abstract packet-capacity identity	f41bbd7608cc70bc2a8002d43ef99b5e35977968	VERIFIED CONDITIONAL	Correct from assumed common-parent feasibility and exact aggregate packet split	Not itself the concrete root producer
concrete common-parent packet identity	PR #481 plus frozen PR #479/#473 stack	GAP / BLOCKED	New patch and checker do not reconstruct one actual source/ordinary/detail/child/port equality after all finite corrections	Blocks application of L-91727
L-91725 abstract common-port integration	518b6a5ec2b49b7decbd4c2e349d0ee5b26bfc9b	VERIFIED CONDITIONAL	PSD integration is exact under fiberwise D_s preceq P_s	Actual complete correction demand still requires instantiation
actual aggregate common-port demand	PR #481 frozen stack	GAP / BLOCKED	No theorem in the reviewed patch shows the entire Hall/mismatch/collar/taper/base demand fits the one port after aggregation	Blocks port feasibility/native cost
L-91731 root target mass <3300	f41bbd7608cc70bc2a8002d43ef99b5e35977968	VERIFIED	Elementary H_66, density and logarithm bounds	Feeds descendant constant
L-91731 positive descendant envelope	f41bbd7608cc70bc2a8002d43ef99b5e35977968	VERIFIED CONDITIONAL	Follows from T-91312 once the actual descendants satisfy the hereditary typed reset	Does not repair root producer gaps
L-91723/T-91721 equality-score loss <4290	518b6a5ec2b49b7decbd4c2e349d0ee5b26bfc9b	REJECTED AS WRITTEN	Score-superordination gives a lower, not upper, bound on scaling loss	Superseded by L-91728 <4290 log X native bound
X-91726 finite regression	f41bbd7608cc70bc2a8002d43ef99b5e35977968	VERIFIED SCOPE	Checks toy target/cocycle examples, Y4 support and scalar constants; explicitly excludes frozen analytic interfaces	Not a proof certificate for T-91724
T-91724 corrected composition	f41bbd7608cc70bc2a8002d43ef99b5e35977968	GAP / BLOCKED	Depends on concrete packet identity and terminal/base/port native cost not reconstructed here	No endpoint RH conclusion
T-91313 endpoint-to-RH consumer	f41bbd7608cc70bc2a8002d43ef99b5e35977968	CONDITIONAL / NOT REACHED	Correct orientation stated but resident WSTS/prime-square/Landau chain not independently replayed	Requires valid producer first
Riemann Hypothesis	all reviewed refs	UNPROVEN	Advertised packet absent and latest live full composition remains blocked	No promotion
