review_id	source_id	claim	verdict	exact_scope	dependencies	evidence	required_repair	proposed_destination	independence
AS-001	AS_AINTA_KERNEL	Normalized Montgomery-Taylor kernel and derivative primitive	VERIFIED_AT_STATED_SCOPE	Exact K/K0, w and two derivatives; removable sinc treatment	Positive cosine source; elementary sinc identities	supplement/REPORT.md#S01	Retain normalization and derivative domain x>=0.95	research/integrated/simple-zero-pressure/kernel	Independent reconstruction; no author test count is treated as proof
AS-002	AS_AINTA_VERIFIER	Seven-point inequality for every nonnegative six-gap tuple	INDEPENDENT_FINITE_CERTIFICATE_PASSED	713315-node complete continuum cover; inequality 19/5000	New dyadic primitives; widened binary64 lower bounds; exact accepting LDL; exhaustive split coverage	supplement/REPORT.md#S01	Assign new reproduction identity; do not reuse original 707901-node hashes	research/integrated/simple-zero-pressure/independent-seven-point	Independent primitive backend and acceptance LDL; traversal architecture credited to ainta; CPython trust retained
AS-003	AS_AINTA_ROUND	Rounding and Hessian acceptance contract	VERIFIED_WITH_EXPLICIT_TRUST_BASE	128-bit dyadic primitives plus outward binary64 lower-bound aggregation	CPython correctly rounded binary64 operations; nextafter; exact rational integer operations	supplement/REPORT.md#S01	Do not label all arithmetic integer-only; retain operation-level proof and mode receipts	research/integrated/simple-zero-pressure/rounding-contract	Independent reconstruction; no author test count is treated as proof
AS-004	AS_269	L-105211 consecutive-window counting	VERIFIED_AT_STATED_SCOPE	Each span-s pair counted at most 7-s times; each gap at most six	Seven-point pressure; nonnegative omitted w terms	supplement/REPORT.md#S02	Retain span coefficient 1/500 not 1/3000	research/integrated/simple-zero-pressure/window-sum	Independent reconstruction; no author test count is treated as proof
AS-005	AS_SPIKE	L-106550 sharp one-spike spectral envelope	VERIFIED_AT_STATED_SCOPE	Trace-m PSD matrices; exact piecewise envelope for E<2 and floor for E>=2	Eigenvalues >=0; Cauchy and trace constraint	supplement/REPORT.md#S02	Do not apply trace=m to unnormalized finite actual Gram	research/integrated/simple-zero-pressure/spectral-envelope	Independent reconstruction; no author test count is treated as proof
AS-006	AS_280	L-106551 280-block pressure deduction	VERIFIED_WITH_BINDING_ADAPTER	c280 and averaged bound including endpoint o(N)	Seven pressure; spectral envelope; trace-convex pinching; bounded-separation kernel convergence	supplement/REPORT.md#S02	Normalize by comparison to exact kernel Gram; split long-span blocks before using compact convergence	research/integrated/simple-zero-pressure/280-block-adapter	Independent reconstruction; no author test count is treated as proof
AS-007	AS_AINTA_TEX	Actual finite Gram to kernel and averaged defect	VERIFIED_CONDITIONAL	Fixed block sizes 269/280, uniform o(1) summed over O(N) blocks	Named Gabor overlap identity; r^-2 tails; taper L1 convergence; local zero count	supplement/REPORT.md#S02	Retain external analytic assumptions; no finite code discharges them	research/integrated/simple-zero-pressure/analytic-interface	Independent reconstruction; no author test count is treated as proof
AS-008	AS_RECORD269	T-105560 decimal and analytic lower-proportion interface	VERIFIED_CONDITIONAL_WITH_DECIMAL_REPAIR	Correct H269=.6730085279277797613...; H280=.6730096522791369...	Stability inequality; trace/mean-square/tail inputs; S01-S02	supplement/REPORT.md#S02	Correct displayed 269 decimal; preserve explicit analytic hypotheses and distinguish original formal proof	research/integrated/simple-zero-pressure/conditional-proportions	Independent reconstruction; no author test count is treated as proof
AS-009	CTI_THEOREM	Rank-two invariant-cone repair optimized-mode replay	REPLAY_HOLD_CLOSED	Same polynomial certificate as prior ordinary mode; no arbitrary-rank claim	Parent repaired rank-two proof; unchanged source bytes; SymPy arithmetic	supplement/REPORT.md#S03	Keep original checker failures and former interruption as history	reviews/A/supplement/replay/rank2	Independent reconstruction; no author test count is treated as proof
AS-010	AS_568_NEW	#568 old/new checker semantic delta	NO_MATHEMATICAL_DELTA_IN_INSPECTED_FILES	Comments plus unused loop-key removal; fixed algebra unchanged	AS_568_OLD; supplied finite fixture data	supplement/REPORT.md#S03	Do not extend to uninspected branch files or primitive source certification	internal/archive/review-deltas/568	Independent reconstruction; no author test count is treated as proof
