exclusion_id	classification	scope	reason	future_entry_condition
EXCL.RH.UNCONDITIONAL	NOT_PRESENT	unconditional Lean theorem proving RH	No reviewed-only scientific path reaches RH and every RH-bearing formal theorem retains explicit premises.	Discharge every premise in a source-faithful reviewed proof and pass comparator/axiom audit.
EXCL.MELLIN.LANDAU	BLOCKED_LIBRARY	tail-Mellin Landau boundary singularity	The exact [1,infinity) theorem is not present at the pinned Mathlib/Zeta23 commits.	Prove the exact proposition sorry-free or add a reviewed upstream theorem with an exact adapter.
EXCL.MELLIN.NEGATIVE_MASS_HOLOMORPHY	BLOCKED_LIBRARY	subpower logarithmic negative-mass holomorphy	The exact analytic continuation theorem remains an explicit parameter.	Prove the exact proposition at the locked normalization.
EXCL.ARITH.FIXED_PRODUCER	BLOCKED_MATHEMATICS	fixed native negative-mass producer	No source-faithful arithmetic estimate is proved.	Independent scientific review plus a sorry-free formal proof.
EXCL.ARITH.ROWS23_NATIVE	BLOCKED_MATHEMATICS	literal native rows 2 and 3 producer	Only numerator algebra and common-zero exclusion are formalized.	Formalize both literal native rows and the required signed/defect estimate.
EXCL.ARITH.FIVE_THREE_NEGATIVE_MASS	BLOCKED_MATHEMATICS	fixed 5:3 negative-mass estimate	Noncancellation is proved; the RH-bearing estimate is open.	Formalize a reviewed arithmetic proof of the fixed estimate.
EXCL.ARITH.FIRST_OWNER	BLOCKED_MATHEMATICS	complete labelled sequential first-owner theorem	The resident theorem is only a generic finite scalar/list helper.	Add labels, parity, commuting shifts, complete future products and exhaustive ownership.
EXCL.ARITH.SOURCE_LEDGER	BLOCKED_MATHEMATICS	complete provenance-safe source typing	Finite firewalls do not make public reconstruction impossible or prove every source interface.	Formalize the complete reviewed source ledger and all promotion barriers.
EXCL.ARITH.RATIO8	BLOCKED_MATHEMATICS	canonical sqrt(2) ratio-eight/factor-67 wavelet	Only generic finite tap helpers are present.	Formalize the exact piecewise kernel, support, endpoint and antisymmetric copy.
EXCL.ARITH.ABEL_MERTENS	BLOCKED_MATHEMATICS	complete compact Abel-Mertens frame	Only generic summation by parts is proved.	Formalize the exact kernel frame and endpoint assembly.
EXCL.ARITH.HALF_DIVISOR_FULL	BLOCKED_MATHEMATICS	b_U/h_U fields, ratio-four kernel and signed near-collision	Only coefficient/convolution algebra and a generic reduction are formalized.	Formalize the reviewed analytic packet at exact scope.
EXCL.XI.UNCONDITIONAL_ORDER3	PROVED_CONDITIONAL_ONLY	actual-Xi Pick PSD through order three	Published-height, grouped C2, multiplicity, tail, reserve and paid-prefix inputs remain explicit.	Formalize or certificate-wrap every external and analytic input.
EXCL.XI.ORDER4	BLOCKED_MATHEMATICS	actual-Xi Pick order four	No reviewed theorem closes the order-four frontier.	Independent scientific theorem and formal proof.
EXCL.HEAT.UNIFORM_CENTER	FINITE_FIXTURE_ONLY	full analytic uniform-center heat no-go	Lean checks only a finite parity-displacement witness.	Formalize the full Bohr-Weyl and exponential-type argument.
EXCL.CANONICAL.REMAINDER	UNSTATED_OR_BLOCKED	remaining August 22 canonical corpus	Formal-v0.1 is a gold spine; most of the 139 claims are not yet exact Lean propositions or proofs.	Wave two statement-completeness pass followed by theorem-specific formalization.
EXCL.POST707	OUT_OF_RELEASE_SCOPE	all research after PR #707	The scientific freeze deliberately excludes later beta, family, F1, Levinson and other research.	Scientific review and canonical integration before formalization admission.
EXCL.HEAVY_COMPUTATION	NOT_RERUN	historical numerical and interval campaigns	formal-v0.1 runs only Lean compilation and light exact validation.	Provide a kernel-checked certificate or separately audited retained external artifact.
