source_id	source_pr	commit_sha	blob_sha	path	inspection	note
S01	521	b4a60a54b1d730a73ab1eb6bb571485dd40438d0	791a7369675088ba7b779cde57e2f960938aa119	claims/lemmas/L-94023-the-anchored-native-interface-is-one-exact-joint-primal-farkas-problem.md	FULL	Dual sign false; common-template primal retained.
S02	454	a0409d54250bc211d62718a1aedb6fa020d7f091	46843ebbd87d84b43e786c3bbe7aeea705f2526e	claims/lemmas/L-91671-atomwise-provenance-partition-is-the-exact-native-root-ledger-certificate.md	FULL	Correct real Farkas alternative; rational certificate qualification required.
S03	MAIN	677203992eb0168920365ee45ae9db76bfa97dcf	430bc6504052f19b9045a6c2b7b521f9444e990a	claims/lemmas/L-91029-positive-jordan-channel-is-a-compound-poisson-prime-semigroup.md	FULL	Separate vector dissipation and matrix conjugation; real part missing.
S04	387	388ba7feb9927025d46a70963389ec45c9ead2ac	aea14d888e6f47e7ff6614bef32dc5552dfb62d3	research/external/anthropic-zeta23/proofs/HIGH_CARRIER_FREDHOLM_FIXED_DEGREE_FIREWALL.md	FULL	Inherited Fourier normalization requires leading-factor repair; capture imported.
S05	373	34fe2037ba33bc61fc1e6ce04c7e74ab7b13e794	6abe41025c61e954e09d88e2629fc998ebbbba5a	research/external/anthropic-zeta23/proofs/GAUSSIAN_FREDHOLM_PONTRYAGIN_COMPLETION.md	PARTIAL_LINES_1_215	Trace-class/evaluation/prime bounds read; full cardinal capture not audited.
S06	MAIN	677203992eb0168920365ee45ae9db76bfa97dcf	5fa912112352f3d8d90f4ba7c5cc3d863f44378b	claims/lemmas/L-99930-activation-zero-supercritical-positivity.md	FULL	All m>=2 label contraction; activation-zero source distinct from SHARP.
S07	MAIN	677203992eb0168920365ee45ae9db76bfa97dcf	5c42cb951bc166b228e7a79d52e229ee97a0b141	claims/lemmas/L-99931-euler-taylor-positive-remainder-ladder.md	FULL	Absolute summation and fixed labelled-prime contraction.
S08	MAIN	677203992eb0168920365ee45ae9db76bfa97dcf	2f53d2ae520a35ec9f165f5a03469b0c71bbd146	claims/lemmas/L-99932-critical-renormalized-kernel-and-zero-safe-consumer.md	FULL	Correct kernel and pole cancellations; sign versus negative-mass scope separated.
S09	MAIN	677203992eb0168920365ee45ae9db76bfa97dcf	1ca5c59f8929a499724b4b60f997eb0b973ca774	claims/lemmas/L-91355-constant-mode-hazard-weights-give-a-nonduplicating-causal-packet-budget.md	FULL	Coefficient budget does not give physical packet typing.
S10	638	73ee57ccc684f4062769a6d1c0456b3ef6318db2	b8b6f504c44365ba00bf5917dee957b4c5cef4c7	claims/lemmas/L-99230-distributional-volterra-green-formula.md	FULL	Both boundary modes and knot atoms retained; a>0.
S11	470	89af3206ea1894884613e1188b5ab9a6a4cd74f0	8b325ab7deb0ce08d56ef581a9191cffe9574299	claims/lemmas/L-91687-y4-zero-columns-are-score-free-triangular-repair-directions.md	FULL	Finite triangular response algebra on indices q>=2; no feasibility assertion.
S12	472	bb364396e09717237351d4aed9aadf6c570cb7fc	516e829882683f94142496102323f958d399958b	claims/lemmas/L-19881-y4-zero-repair-is-a-null-gauge-for-the-prime-radial-dictionary.md	FULL	Null support before radial transform; external transform normalization still explicit.
S13	620	493e12fcba3f9b98dda7c3595bff73b256e00ca4	af5323f2167aad709aafe33ec284acc31aa1567e	claims/lemmas/L-99022-direct-integration-and-exact-cubature.md	FULL	Conditional positive-measure cubature only; excluded literal score not restored.
S14	381	8b32a5941a349df16bdce59909ad66741293cb0a	cda82644932b09c712bc0947340b2593c448a3d4	claims/lemmas/L-90701-factor64-reward-prefixes-pay-every-monotone-occupation.md	FULL	Abel argument checked; primitive L-90217 reward input not regenerated.
S15	696	f4016db548afceb31b150547cb6cd48b4cddb77d	0c8c189a469695ef2100c518b2da10428cb28a99	claims/lemmas/L-102009-ratiofour-two-field-factorization-of-balanced-vaughan.md	FULL	Finite source and kernel factorization; step endpoints are a.e. conventions.
S16	696	f4016db548afceb31b150547cb6cd48b4cddb77d	984b49e501a94a0beb1409109e551e5cd6b83602	claims/lemmas/L-102001-balanced-vaughan-large-divisor-hankel-form.md	FULL	Squarefree gcd and exact floor support retained.
S17	603	1dac3eeccb5a01183067c00722d92fbcf2df12c5	e91c67578d41c384fef8c3cecf7dfd6ff91ed99b	claims/lemmas/L-98020-uniform-discrete-dickman-discrepancy.md	FULL	Convolution discrepancy plus repeated-prime union bound; Mertens imported.
S18	607	a28f8e5b8c90e3aef30e97053ed42e9ddde9c665	4ba496eb8f1b3f6c1426025ab0e6c931267f8e65	claims/lemmas/L-98041-continuous-full-base-dickman-profile.md	FULL	Conditional weighted-variation adapter; J_star numerical interval not rerun.
S19	608	f362acf56bbbbd183976b6377fbe883193886e1a	fa940dc51e8dad785d77020578b595e3e0b2b98f	claims/lemmas/L-98050-native-rough-prefix-bellman-recurrence.md	FULL	Bellman margin equivalent to same-state positivity by exact recurrence.
S20	388	ede3f2db2fe0c571964d2e603ba5d91ee463091a	370baf853ec34f887045ba2a33899193d56f79c4	reports/integration-wave/20260811-pr376-brownian-bohr-instability-review.md	SECONDARY_EXTRACT_SECTIONS_1_5	Reconstructed selected-prime argument from review extract; not a full primary-source audit.
S21	MAIN	677203992eb0168920365ee45ae9db76bfa97dcf	ec710f6002edae252e6ee02b623c0d314db6bb3a	claims/lemmas/L-91014-generalized-jordan-cocycle-divisor-isometry.md	FULL	Exact positive divisor cocycle; generator identities on proper domains.
S22	MAIN	677203992eb0168920365ee45ae9db76bfa97dcf	99baf9aab2ca937230f6e468dc4b065ea84afef2	claims/lemmas/L-91019-positive-anchor-second-jet-anova-closure.md	FULL	Gram-Schmidt jet decomposition; no automatic physical-port identification.
S23	MAIN	677203992eb0168920365ee45ae9db76bfa97dcf	52902de7576090da312b2541fbd899dc5cbf9f00	claims/lemmas/L-96000-fixed-row-mellin-transform-of-the-full-mobius-spline.md	FULL	Mellin identity retained; .3 sign inheritance excluded as before.
S24	MAIN	677203992eb0168920365ee45ae9db76bfa97dcf	9a28f5749a9b8a3ce7a58e6d800500048e8472c2	claims/lemmas/L-96001-the-row-kernels-cannot-cancel-an-open-strip-zero.md	FULL	Fixed-z asymptotic; simultaneous all-row producer remains essential.
S25	MAIN	8d16f8d9c475db290bc85e53d775b93b9bcdb336	54d29b1b1a68738622f86630ce4fdcaa68f89da2	research/integrated/xi/finite-pick-controls.md	RESIDENT_PROOF_AND_ASSURANCE	Midpoint-radius lemma reconstructed; neither actual primitive box regenerated.
S26	MAIN	677203992eb0168920365ee45ae9db76bfa97dcf	281aba34eeed3fb032d29df1cadae0eb4d1641cb	claims/lemmas/L-91351-p79-one-prime-splice-is-a-terminal-child-plus-positive-arithmetic-row.md	FULL	Read includes rejected source assertions; only explicit algebra is retained.
S27	404	ab71aa1fe0b1fd192011bbf40f032d2f42889ea0	178194469fa62b5038e78e04cc68e89aa1e7516f	claims/lemmas/L-91307-prime-scattering-tangent-has-an-explicit-tail-hankel-julia-dilation.md	FULL	Actual prime mass and variance dilation checked; late completed-source interfaces not established.
S28	408	ea3948ea21d90b9c9824874c5051dcc76e216a5b	f754b8a1125e581c77bd8d528b867c485dfb08b4	claims/lemmas/L-91502-plastic-cutoff-isolates-the-negative-long-jump-hankel-channel.md	FULL	Exact density sign/drift/mass calculation; source identity imported distinctly.
S29	652	24ab64551225f2dba9aa53a533eb9b0285c6e363	f588df79b181ce81150a288dda502bff268db585	claims/lemmas/L-99601-sequential-first-owner-euler-hazard.md	FULL	Complete monomial identity; physical positive current not inferred.
S30	403	885716b9cf97c7c4deea3b4590b99e5faf13bc1f	b67ddf01c91ae6b89f3668a5a20e89cc28e57ada	claims/lemmas/L-91307-schur-canonical-colligation-dtn-are-one-kernel.md	READ_FOR_COLLISION_DISAMBIGUATION	Different L-91307; no whole-theorem acceptance and not the Julia mass input.
S31	712	a6aa936ba8bf538177e34af60db7e2f0a58f8dfd	814b489ed1786c4c55911dd4bd35cdccbc4532f7	review/2026-08-22/coverage/FINAL_CLOSURE_MAP.md	METADATA_ONLY	C4MBI, native endpoint and factor-67 gates remain open; not proof sources.
M01	MAIN	8d16f8d9c475db290bc85e53d775b93b9bcdb336	de7a9b67e1332d825c1688db07a0887e324f5ccb	docs/REVIEWING.md	POLICY	Fresh reconstruction and exact-SHA review rule.
M02	MAIN	8d16f8d9c475db290bc85e53d775b93b9bcdb336	f2c3cef89de8e9cfef79a2b644630a6e7efe2017	research/integrated/direct_main/taylor/SOURCE_MANIFEST.tsv	MANIFEST	Scope split .7-.9 is overcompressed.
M03	MAIN	8d16f8d9c475db290bc85e53d775b93b9bcdb336	924a625d894171e7c5c27a8dee2627f451c21ec4	research/integrated/direct_main/p79/SOURCE_MANIFEST.tsv	MANIFEST	.2-.8 locator includes .4 positivity; extraction must enumerate equations.
M04	MAIN	8d16f8d9c475db290bc85e53d775b93b9bcdb336	23f2b49067d2aa5d2c45cec2b15eb4cbafb294ae	research/integrated/native_assets/SOURCE_MANIFEST.tsv	MANIFEST	Exact native asset locators.
M05	MAIN	8d16f8d9c475db290bc85e53d775b93b9bcdb336	83944f5dfbe6b1a5e64837a8203536d67fd29d13	research/integrated/carry_hinge/SOURCE_MANIFEST.tsv	MANIFEST	Actual critical occupation not inferred from monotone payment.
M06	607	a28f8e5b8c90e3aef30e97053ed42e9ddde9c665	18bf85421f5e1acf8713b9a97e297aee88ccb075	integration/2026-08-18/t98040-source-lock.json	SOURCE_LOCK	Recovered parent603 and repaired-base pins; not proof of base formulas.
M07	MAIN	8d16f8d9c475db290bc85e53d775b93b9bcdb336	877ddee38022feee0f2981abe278b5d1fc447984	research/integrated/direct_main/mellin/SOURCE_MANIFEST.tsv	MANIFEST	Sign and analytic identity separated.
M08	MAIN	8d16f8d9c475db290bc85e53d775b93b9bcdb336	71da0fcee1bca26b01164b7065781e23e90d442e	research/integrated/native_endpoint/SOURCE_MANIFEST.tsv	MANIFEST	Open gate only; source table not an accepted proof.
