source_id	source_pr	source_sha	source_path	source_blob	inspection_depth
S01	576	0f6ea6eae813c1d867ae50744cf5fd57e2720bb7	experiments/X-97400-p61-bias/src/certify.cpp	8f58c1a147e9b936f9ac5c53a38b28bd45b0bdc3	FULL_SOURCE_READ
S02	576	0f6ea6eae813c1d867ae50744cf5fd57e2720bb7	experiments/X-97400-p61-bias/results/verification.json	83645d5ea2a16c019c5f326951cf770743292085	FULL_SOURCE_READ
S03	68	7b0942a83eede8b57d4f28b14a78d80edc295f2a	experiments/X-6602-barycentric-nearzero/verify_pick_box_pd.py	1b8a02a232949baba85b6d4b2c17291f6fef80d5	FULL_SOURCE_READ
S04	68	7b0942a83eede8b57d4f28b14a78d80edc295f2a	experiments/X-6602-barycentric-nearzero/results/pick-j1-192-positive-definite.json	4ca16739f485e1d27c969b965c9614d6faffa383	COMPLETE_PRIMITIVE_TABLE_AND_PROOF_FIELDS_READ;END_OF_ONE_LINE_RESPONSE_TRUNCATED
S05	71	82934cf24ed575e9e554ba4e6c912a447aa1dd4e	experiments/X-3904-complex-pick-recheck/verify_complex_pick.py	fae86639659fd15d20ec304a527575556cf88418	CORE_ALGORITHM_AND_FINAL_STATUS_READ;DISPATCH_LINES_390_399_NOT_EXPANDED
S06	383	d764be15bd8ea902ad260484eab44d19a9e82175	claims/lemmas/L-90416-exact-bridge-haar-localization-of-pig.md	85a058c6c82f510923fab4c3d4105f1ca28f2e3a	FULL_SOURCE_READ
S07	383	d764be15bd8ea902ad260484eab44d19a9e82175	claims/lemmas/L-90412-q4-pig-bulk-additive-modes-are-easy.md	73058e895974895a8acc5ed81c257561d053bbac	FULL_SOURCE_READ
S08	689	1751b5d63d981f1d39e0679a5997a7e32d2f1649	claims/lemmas/L-100500-exact-abel-mertens-wavelet-frame.md	a297f5830d339eb284c80df43bbc24c102f8900c	FULL_SOURCE_READ
S09	689	1751b5d63d981f1d39e0679a5997a7e32d2f1649	claims/lemmas/L-100501-critical-dyadic-inverse-and-frame-firewall.md	8b7ccbe8374f0325ecbcfacefc8622bd81e99cc9	FULL_SOURCE_READ
S10	692	50c4862c801b6388a30363c336d275270025eff4	claims/lemmas/L-101002-phase-hasse-is-a-wavelet-realization-not-an-independent-detector.md	5259e6eeb41d5183a32e1e88dea04824d9869d0c	FULL_SOURCE_READ
S11	699	f23dd81748562dfa2a73f86aecfb9fcd3e2b32b9	claims/lemmas/L-101101-carrier-preserving-short-long-projection.md	7bc0de09585b1f1bc794a0bf457f68a5ff0b3f30	FULL_SOURCE_READ
S12	699	f23dd81748562dfa2a73f86aecfb9fcd3e2b32b9	claims/lemmas/L-101102-exact-sharp-to-minimal-wavelet-derivative-bridge.md	d2d767eef948821292912fde3ee93dfbd30690d5	FULL_SOURCE_READ
S13	382	d5630815f68554649445cbe19989b562dc685bd3	claims/lemmas/L-90705-square-root-hinge-is-a-positive-mixture-of-signed-linear-hinge-responses.md	23ab29cedf0afed900b1b1b6785c81dda88b7c68	FULL_SOURCE_READ
S14	382	d5630815f68554649445cbe19989b562dc685bd3	claims/refutations/R-90701-naive-recursive-residual-monotonicity-fails.md	0eddd60fdf32fc52559549eabd3c5f883112d963	FULL_SOURCE_READ
S15	382	d5630815f68554649445cbe19989b562dc685bd3	claims/refutations/R-90704-average-carry-inverse-does-not-preserve-the-full-convex-cone.md	c95caeabf0589d6179ffed14041bc2d185babf17	FULL_SOURCE_READ
