claim_id	path_or_source	reviewed_sha	short_statement	mathematical_type	review_verdict	lifecycle	rh_relationship	formalization_status	dependencies	derived_vs_inherited	surviving_scope	integration_action	notes
L-92880	claims/lemmas/L-92880-factor67-root-hall-closes-the-finite-common-source-row-gain-gate.md	0bb487c8a0782f601be0a3041743b357ad93726a	One deterministic Hall flow simultaneously gives target equality, score superordination, and positive component-row bonus	ROUTE INFRASTRUCTURE	VERIFIED WITH FIXES	LIVE CONDITIONAL	UPSTREAM OF PROPOSAL	NOT FORMALIZED	L-91690; L-91682; L-91674	New common-flow algebra; flow existence and profile monotonicity inherited	Exact algebra on frozen Hall/monotonicity inputs	RETAIN CONDITIONAL	Does not independently replay directed Hall inequalities
L-92881	claims/lemmas/L-92881-actual-factor67-common-parent-has-an-exact-native-capacity-ledger.md	0bb487c8a0782f601be0a3041743b357ad93726a	Actual-target-mass grouped children and a complete current/full-child native ledger	ROUTE INFRASTRUCTURE	UNPROVEN / GAP	LIVE BLOCKED	LOAD-BEARING	NOT FORMALIZED	L-91840; L-91841; L-91843; L-91732; L-91754; L-91755	Target-mass normalization and operation order new; physical packet identity inherited from conditional telescoping spine	Conditional source/ordinary/detail composition	DO NOT PROMOTE	Standalone public-ledger claim exceeds what is independently exhibited
L-92882	claims/lemmas/L-92882-common-schur-port-demand-is-explicit-and-one-use.md	0bb487c8a0782f601be0a3041743b357ad93726a	All root corrections are absorbed by one aggregate Schur port	ROUTE INFRASTRUCTURE	UNPROVEN / GAP	LIVE BLOCKED	LOAD-BEARING	NOT FORMALIZED	L-91842; L-91725; L-91320	Aggregation algebra new; six actual demand matrices and classwise PSD bounds absent	Positive linear aggregation after concrete domination is supplied	DO NOT PROMOTE	First unresolved theorem inside new PR #489 work even granting PR #488 spine
L-92883	claims/lemmas/L-92883-one-positive-reserve-pays-every-root-correction-at-logarithmic-native-cost.md	0bb487c8a0782f601be0a3041743b357ad93726a	The positive root reserve pays corrections with native cost at most C_base+15124+4290 log X	CONDITIONAL IMPLICATION	VERIFIED WITH FIXES	LIVE CONDITIONAL	UPSTREAM OF ENDPOINT	NOT FORMALIZED	L-91843; L-91844; L-92882	Numerical summation new; physical reserve/base/port packets inherited or unresolved	O(log X) arithmetic conditional on actual packet and port	RETAIN CONDITIONAL	C_base symbolic; port term depends on L-92882
L-92884	claims/lemmas/L-92884-native-slack-cocycle-closes-gate-b-at-logarithmic-cost.md	0bb487c8a0782f601be0a3041743b357ad93726a	Same-index vector slack and Y4 scalar deficit obey an exact recursive cocycle	CONDITIONAL IMPLICATION	VERIFIED WITH FIXES	LIVE CONDITIONAL	DIRECT ENDPOINT INPUT	NOT FORMALIZED	L-92881; L-92883; L-91375; L-91378	Cocycle algebra genuinely derived; root identity and descendant theorem inherited	Exact cocycle after physical packet identity	RETAIN CONDITIONAL	No extra scaling or sign error found
T-92880	claims/theorems/T-92880-standalone-factor67-gates-ab-resolution-proposal.md	0bb487c8a0782f601be0a3041743b357ad93726a	Factor-67 Gates A/B close and imply RH through the resident endpoint consumer	PROPOSED COMPLETE THEOREM	UNPROVEN / GAP	CANDIDATE BLOCKED	CLAIMS RH CONDITIONALLY	NOT FORMALIZED	L-92880--L-92884; T-91312; T-91313	Composition new; physical producer and endpoint consumer substantially inherited	Conditional implication if every producer and consumer hypothesis is proved	DO NOT INTEGRATE AS PROOF	RH remains unproved
X-92880	experiments/X-92880-standalone-gates-ab/verify.py	0bb487c8a0782f601be0a3041743b357ad93726a	Finite regression for coefficients, constants, hashes, and schema markers	DISCOVERY ONLY	EMPIRICAL ONLY	RETAINED REGRESSION	NO DIRECT RH FORCE	EXECUTABLE CHECKER	control.json; imported hashes	Checks scalar/schema consequences, not the actual physical packet	Useful fail-closed regression at stated scope	RETAIN WITH SCOPE LABEL	Does not generate Hall flow, q/4q ledger, six port matrices, or endpoint proof
IMPORT-MANIFEST	imports/t92880/IMPORT_MANIFEST.json	0bb487c8a0782f601be0a3041743b357ad93726a	Standalone frozen dependency manifest	ROUTE INFRASTRUCTURE	VERIFIED WITH FIXES	INCOMPLETE LOCK	PROVENANCE ONLY	HASH LOCK	L-91843; L-91844 and listed imports	Pins several imports but omits direct load-bearing dependencies named in new files	Partial reproducibility lock	REPAIR MANIFEST	Add L-91840; L-91841; L-91842; L-91725; L-91320; L-91674 or define base commit as monolithic dependency
L-91843	PR #488 shared spine at 9acd381fa168db02a03646ab16851daebbf4d0fd	9acd381fa168db02a03646ab16851daebbf4d0fd	Sequential positive stage identities telescope to a corrected native root identity	ROUTE INFRASTRUCTURE	IMPORTED / CONDITIONAL	SHARED SPINE	LOAD-BEARING	NOT FORMALIZED	stagewise positive decompositions	Inherited; not independent confirmation	Exact telescoping if all concrete stage identities hold	RECONSTRUCT CONCRETE STAGES	The theorem assumes P_(i-1)=P_i+R_i at each stage
L-91842	PR #488 shared spine at 9acd381fa168db02a03646ab16851daebbf4d0fd	9acd381fa168db02a03646ab16851daebbf4d0fd	Six classwise Schur demands aggregate to one port when each D_c is PSD-dominated by P_c	ROUTE INFRASTRUCTURE	IMPORTED / CONDITIONAL	SHARED SPINE	LOAD-BEARING	NOT FORMALIZED	classwise demand/reserve matrices	Inherited linearity theorem; no new numerical domination	Exact aggregation after classwise inequalities	INSTANTIATE ACTUAL MATRICES	Cannot be replaced by scalar mass alone
