method	used_exactly	result	remaining_obligation
gcd/source bijection	yes	critical Euler resonance factorization	none
determinant k=ab	yes	finite divisor-pair form	Möbius product cancellation
prime-divisor Type I/II	yes	log derivative split	balanced factor estimate
Vaughan/Heath-Brown	audited	exact reassembly restores resonance	new cancellation theorem
common-divisor dispersion	audited	d is the +uv Euler state	source-faithful dispersion
Mellin dual frequency	yes	|M_o(s+it)|^2	critical reciprocal-zeta bound
positive kernel	yes	PSD autocorrelation	arithmetic signs
large sieve	parent exact bound	O(X) spacing loss remains	long-frequency or arithmetic gain
pretentious distance	audited	fixed power gain implies fixed zero-free strip	new zeta information
square/log-Sobolev	parent firewall	source-blind sign replacement survives	arithmetic cross-core mechanism
classical_zero_free_region	retained	odd-Mertens partial summation gives exp(-c sqrt(log X)) SACF gain	unconditional but no fixed power
