packet_id	source_key	pr	packet_root	observed_head	last_main_manuscript_review_head	previous_published_main_review	pass3_main_review	cumulative_main_review	whole_packet_cleared	remaining_review
LC	S803	803	standalone/2026-09-06-logarithmic-core	db175de165a9077e709b1cb482998171ffc0c6e7	31a35a90b0b924dc98a2c89c463fb59577f45a4e	yes	no	yes	false	Preserve the published earlier file-level scopes; unreplayed or held supporting work remains.
WP	S803	803	standalone/2026-09-06-logarithmic-core/window-one-positivity	db175de165a9077e709b1cb482998171ffc0c6e7	31a35a90b0b924dc98a2c89c463fb59577f45a4e	yes	no	yes	false	Preserve the published earlier file-level scopes; unreplayed or held supporting work remains.
HT	S803	803	standalone/2026-09-06-logarithmic-core/height-transfer-and-prime-squares	db175de165a9077e709b1cb482998171ffc0c6e7	db175de165a9077e709b1cb482998171ffc0c6e7	no	yes	yes	false	Finish the original package/checker/dependency boundaries listed in REPORT and RESUME; no whole-package approval.
AN	S803	803	standalone/2026-09-06-logarithmic-core/annular-scalar-route	db175de165a9077e709b1cb482998171ffc0c6e7	db175de165a9077e709b1cb482998171ffc0c6e7	no	yes	yes	false	Finish the original package/checker/dependency boundaries listed in REPORT and RESUME; no whole-package approval.
ES	S803	803	standalone/2026-09-06-logarithmic-core/euler-tail-stability	db175de165a9077e709b1cb482998171ffc0c6e7	db175de165a9077e709b1cb482998171ffc0c6e7	no	yes	yes	false	Finish the original package/checker/dependency boundaries listed in REPORT and RESUME; no whole-package approval.
FM	S803	803	standalone/2026-09-06-logarithmic-core/fixed-moment-counting-attempt	db175de165a9077e709b1cb482998171ffc0c6e7	db175de165a9077e709b1cb482998171ffc0c6e7	no	yes	yes	false	Finish the original package/checker/dependency boundaries listed in REPORT and RESUME; no whole-package approval.
PC	S803	803	standalone/2026-09-06-logarithmic-core/prime-curvature-and-failure-count	db175de165a9077e709b1cb482998171ffc0c6e7	db175de165a9077e709b1cb482998171ffc0c6e7	no	yes	yes	false	Finish the original package/checker/dependency boundaries listed in REPORT and RESUME; no whole-package approval.
SS	S803	803	standalone/2026-09-06-logarithmic-core/sparse-sign-bootstrap	db175de165a9077e709b1cb482998171ffc0c6e7	db175de165a9077e709b1cb482998171ffc0c6e7	no	yes	yes	false	Finish the original package/checker/dependency boundaries listed in REPORT and RESUME; no whole-package approval.
MC	S803	803	standalone/2026-09-06-logarithmic-core/balanced-mobius-contour	db175de165a9077e709b1cb482998171ffc0c6e7	db175de165a9077e709b1cb482998171ffc0c6e7	no	yes	yes	false	Finish the original package/checker/dependency boundaries listed in REPORT and RESUME; no whole-package approval.
CR	S803	803	standalone/2026-09-06-logarithmic-core/completion-rigidity-review	db175de165a9077e709b1cb482998171ffc0c6e7	db175de165a9077e709b1cb482998171ffc0c6e7	no	yes	yes	false	Finish the original package/checker/dependency boundaries listed in REPORT and RESUME; no whole-package approval.
PR	S803	803	standalone/2026-09-06-logarithmic-core/positive-residual-review	db175de165a9077e709b1cb482998171ffc0c6e7	db175de165a9077e709b1cb482998171ffc0c6e7	no	yes	yes	false	Finish the original package/checker/dependency boundaries listed in REPORT and RESUME; no whole-package approval.
RN	S803	803	standalone/2026-09-08-residual-normalization-and-minima	db175de165a9077e709b1cb482998171ffc0c6e7	db175de165a9077e709b1cb482998171ffc0c6e7	no	yes	yes	false	Four optimized two-jet minima and author numerical/package code NOT independently replayed. Main analytic certificate architecture reviewed.
RG	S803	803	standalone/2026-09-08-residual-spectral-exponent	db175de165a9077e709b1cb482998171ffc0c6e7	31a35a90b0b924dc98a2c89c463fb59577f45a4e	yes	no	yes	false	Preserve the published earlier file-level scopes; unreplayed or held supporting work remains.
RC	S803	803	standalone/2026-09-08-rational-residual-capture	db175de165a9077e709b1cb482998171ffc0c6e7	31a35a90b0b924dc98a2c89c463fb59577f45a4e	yes	no	yes	false	Published pass2 did NOT replay its three balance-only minima. Local attachment variant differs; do not erase this hold without a separate source-matched execution.
JG	S804	804	standalone/2026-09-06-astra-sharp-jordan-green	0f6ee91f1a8c8bece1618bde155d62fb0bfb4cad	0f6ee91f1a8c8bece1618bde155d62fb0bfb4cad	yes	no	yes	false	Preserve the published earlier file-level scopes; unreplayed or held supporting work remains.
CSM	S804	804	standalone/2026-09-06-astra-critical-source-map	0f6ee91f1a8c8bece1618bde155d62fb0bfb4cad	0f6ee91f1a8c8bece1618bde155d62fb0bfb4cad	yes	no	yes	false	Preserve the published earlier file-level scopes; unreplayed or held supporting work remains.
CD	S804	804	standalone/2026-09-06-astra-compact-domain-completion	0f6ee91f1a8c8bece1618bde155d62fb0bfb4cad	0f6ee91f1a8c8bece1618bde155d62fb0bfb4cad	yes	no	yes	false	Preserve the published earlier file-level scopes; unreplayed or held supporting work remains.
DC	S804	804	standalone/2026-09-06-astra-domain-cutoff	0f6ee91f1a8c8bece1618bde155d62fb0bfb4cad	0f6ee91f1a8c8bece1618bde155d62fb0bfb4cad	no	yes	yes	false	Finish the original package/checker/dependency boundaries listed in REPORT and RESUME; no whole-package approval.
MW	S804	804	standalone/2026-09-06-astra-mobius-work-resonance	0f6ee91f1a8c8bece1618bde155d62fb0bfb4cad	0f6ee91f1a8c8bece1618bde155d62fb0bfb4cad	no	yes	yes	false	The original 65536-event campaign and package suite are NOT rerun. New reviewer N=3 work and Lyapunov controls are separate evidence.
DO	S805	805	standalone/2026-09-06-astra-dilation-observability	602d7ddf9dbd2ba79bd6cada149772111ca72150		no	no	no	false	Main manuscripts, source dependencies, numerical witnesses and supporting files are still queued.
