conflict_id	topic	primary_positions	cross_review_position	coverage_delta	final_resolution	resolution_status	affected_claims	integration_effect	notes
C-001	Mellin negative-mass graph typing	Reviewer B collapsed the implication and arithmetic premise into one verified node.	Reviewer A required a true hyperedge.	C final does not alter the analytic consumer.	Split API.MELLIN.SUBPOWER_NEGATIVE_MASS from explicit open producer nodes.	RESOLVED	API.MELLIN.SUBPOWER_NEGATIVE_MASS|OPEN.ARITH.FIXED_DETECTOR_NEGATIVE_MASS	No verified-consumer-only path to RH
C-002	Fixed versus moving detector	PR #641 used a zero-dependent sufficiently large row.	Both cross-reviews block the moving-row conclusion.	C final preserves fixed rows/scalars.	Use rows 2,3 or fixed 5:3; archive moving-row conclusion.	RESOLVED	CONSUMER.MELLIN.MOVING_ROW_SELECTION|CONSUMER.MELLIN.TWO_ROW|CONSUMER.MELLIN.FIVE_THREE	Canonical consumer is fixed
C-003	Actual-Xi order-three strength	Reviewer B accepted order-three positivity with fixes.	Reviewer A accepted PSD but not unproved strictness.	C retains the result as verified-with-fixes.	Canonical theorem is PSD through size three; strict positive definiteness excluded absent separate proof.	RESOLVED_WITH_SCOPE_FIX	OPERATOR.XI.PICK_ORDER3	Extract PSD only	Historical checker remains corrupt.
C-004	Xi reserve multiplicity/resource	Source prose risked simplicity/reserve ambiguity.	Cross-review requires residual multiplicity and one shared ledger with PR #460.	C final does not supply a new reserve.	Spend one coefficient unit, retain residual copies, and alias #446/#460 to one reserve ledger.	RESOLVED_WITH_FIX	OPERATOR.XI.CRITICAL_RESERVE_BUDGET|OPERATOR.XI.RECIPROCAL_CONCAVITY.ACTUAL	Mandatory extraction fix
C-005	SACF versus UOSACF	Reviewer B originally labelled SACF equivalent.	Reviewer A found only SACF→RH; UOSACF has the converse.	C final confirms finite-filter-exhausted UOSACF endpoint.	SACF OPEN_SUFFICIENT; UOSACF OPEN_RH_EQUIVALENT.	RESOLVED	OPEN.Q4.SACF|OPEN.Q4.UOSACF	Correct graph status
C-006	Suzuki first-chaos scope	Primary review was too broad.	Cross-review requires all-intensity naturality and product-system grading.	C final does not change this.	Retain as CONDITIONAL_EXACT API under explicit hypotheses.	RESOLVED_WITH_SCOPE_FIX	API.SUZUKI.FOCK_FIRST_CHAOS	No unconditional operator edge
C-007	PR #700 fixed-exponent uniformity	Reviewer A initially retained with fixes.	Reviewer B required joint uniformity lemma.	C final reviewed the broader genealogy but supplies no missing uniformity proof.	Keep CONDITIONAL_EXACT and exclude from unconditional results.	RESOLVED_WITH_EXCLUSION	ARITH.DICKMAN.FIXED_EXPONENT_INTERVALS	Not a proof premise
C-008	Sparsity×energy independence	Primary review called a genuine AND key.	Cross-review notes log-horizon sparsity is automatic.	C final emphasizes physical occupancy.	Retain inequality, not independent key; require stronger deep-excursion occupancy.	RESOLVED_WITH_SCOPE_FIX	API.CONJUNCTIVE.SPARSITY_ENERGY	Open-cut list corrected
C-009	K0/K1 wavelet–Vaughan alias	PR #692 mixed kernels.	Both cross-reviews accept PR #705 correction.	C final keeps same-kernel terminal class.	Old edge stays FALSE; only same-K1 translation active.	RESOLVED	ARITH.XD.OLD_K0_K1_EDGE|ARITH.XD.SAME_K1_TRANSLATION	Prevents stale equivalence
C-010	Reviewer C targeted-review backlog	D pass one quarantined nine selected C assets and 157 census rows.	A/B delegated exactification to C.	C final reduces targeted rows to zero and pins every actual PR head except no-object #417.	Promote the nine exactified assets to their reviewed final statuses; lock C at a6aa936.	RESOLVED	REVIEW.C.FINAL_COVERAGE|ARITH.FINITE_FARKAS|Q4.FILTER.CRITICAL_ZERO_BARRIER	Removes stale exclusions
C-011	Sequence #417	Old coverage reported unresolved head.	No mathematical review claimed for it.	C final establishes that no remote PR object exists.	Classify as ADMINISTRATIVE sequence gap, not TARGETED_REVIEW_REQUIRED.	RESOLVED	REVIEW.C.FINAL_COVERAGE	No omitted theorem
C-012	Historical issues as evidence	Issues contain valuable scattered information.	Review standard forbids issue prose from conferring theorem status.	C classifies 171 issues and ties extractions to repository evidence.	Integrate issue genealogy/provenance only; promote mathematics only through exact claim/review objects.	RESOLVED	REVIEW.C.ISSUE_ARCHAEOLOGY	Preserves history without lowering proof standard
C-013	Direct-main blind spot	A/B/C v2 were primarily PR-oriented.	A later audit was requested.	PR #717 partitions all 85 direct-main commits into 11 packets.	Add direct-main claim/refutation/packet locks and controlling descendants.	RESOLVED	REVIEW.B.DIRECT_MAIN_CENSUS|DIRECTMAIN.CJ.LOCAL_IDENTITIES|DIRECTMAIN.TAYLOR.L99931	Complete frozen-main coverage
C-014	Direct-main Cauchy Hardy orientation	L-91026 and T-91006 choose conjugate causal factors.	PR #717 identifies it as a local convention defect.	No later proof depends on selecting both orientations.	Choose one Fourier/Hardy convention; label conjugate anti-causal; no output sign inferred before repair.	RESOLVED_WITH_FIX	DIRECTMAIN.CJ.LOCAL_IDENTITIES|OPEN.DIRECTMAIN.CJHI	Mandatory normalization fix
C-015	Direct-main P79 certificate and score	Direct main claimed corrected finite Hall and positive score surplus.	Later PRs #431/#436 supply exact counterexamples.	PR #717 consolidates the corrections.	Mark L-91350 and uniform surplus FALSE; retain exact split identities and L-91355 only.	RESOLVED	DIRECTMAIN.P79.L91350|DIRECTMAIN.P79.SCORE_SURPLUS|DIRECTMAIN.P79.SPLIT_IDENTITIES	Archives T-91303/T-91304 wrappers
C-016	Direct-main T-96000 status	Direct main described a full proof architecture.	PR #544 blocks the global prime-sieve producer; A/B accept analytic consumer.	PR #717 confirms all-row producer absent.	Canonicalize L-96000/L-96001 only; T-96000 GAP_BLOCKED with explicit open all-row node.	RESOLVED	DIRECTMAIN.MELLIN.L96000|OPEN.DIRECTMAIN.MELLIN.ALL_ROWS|DIRECTMAIN.MELLIN.T96000	No proof path
C-017	Direct-main T-99930 interpretation	One synthesis packet mixed strong unconditional results and an open critical estimate.	A/B classify the critical variation as RH-equivalent.	PR #717 recovers L-99931 and exact critical consumer.	Canonicalize L-99930/L-99931 and kernel; keep critical estimate OPEN_RH_EQUIVALENT.	RESOLVED	DIRECTMAIN.TAYLOR.L99930|DIRECTMAIN.TAYLOR.L99931|OPEN.DIRECTMAIN.TAYLOR_CRITICAL	Preserves results without overstating closure
C-018	Integration cutoff versus later PRs	New research appeared after review completion.	User explicitly excludes it from this integration pass.	C and direct-main audits are frozen to main@6772039 and research PR #707.	Record later work as future delta; do not mutate this freeze.	RESOLVED_BY_SCOPE	REVIEW.C.FINAL_COVERAGE|REVIEW.B.DIRECT_MAIN_CENSUS	Stable integration cutoff
