semantic_id	declaration	module	scientific_verdict	formal_verdict	explicit_hypotheses	comparator_topic	comparator_statement	source_sha	source_path	external_lock_ids	axiom_audit_mode	evidence_generation
OPERATOR.XI.PICK_ORDER2	RiemannFormal.Operator.actualXiPickOrderTwo_of_inputs	RiemannFormal.Operator.XiOrderThree	VERIFIED_WITH_FIXES	PROVED_CONDITIONAL	PublishedVerifiedHeightTheorem; GroupedActualXiC2Expansion; actual-Xi order-two PSD bridge	NOT_APPLICABLE		bb7327d21c47410820cda2671f45dbe709a72eea	claims/lemmas/L-91905-every-two-node-infinitesimal-safe-xi-pick-matrix-is-unconditionally-positive.md	EXT.XI.PLATT_TRUDGIAN.2021	GENERATED_FROM_C_TSV	Lean #check/#print; canonical source join; external lock join
OPERATOR.XI.PICK_ORDER3.DETERMINANT	RiemannFormal.Operator.three_node_pick_determinant_identity	RiemannFormal.Operator.PickAlgebra	VERIFIED	PROVED	nonzero node sums; distinct squared nodes; nonzero sampled p-values	XiPickThreeNode		c079c2ef21022be951027de1316aecf1168422c1	claims/lemmas/L-92000-three-node-caratheodory-determinant-factors-into-two-scalar-curvatures.md		GENERATED_FROM_C_TSV	Lean #check/#print; exact shared comparator statement
OPERATOR.XI.PICK_ORDER3.TP_CURVATURE	RiemannFormal.Operator.actualXiCompanionCurvature_of_inputs	RiemannFormal.Operator.XiOrderThree	VERIFIED_WITH_FIXES	PROVED_CONDITIONAL	GroupedActualXiC2Expansion; positive distinct nodes; source-specific companion curvature bridge	NOT_APPLICABLE		c079c2ef21022be951027de1316aecf1168422c1	claims/lemmas/L-92001-the-tp-curvature-of-the-actual-xi-logarithmic-derivative-is-unconditionally-negative.md		GENERATED_FROM_C_TSV	Lean #check/#print; concrete grouped-input dependency scan
OPERATOR.XI.RECIPROCAL_CONCAVITY.SUM	RiemannFormal.Operator.Jet2.reciprocalConcavity_add	RiemannFormal.Operator.ReciprocalConcavity	VERIFIED	PROVED	positive jet values; nonnegative reciprocal curvatures	NOT_APPLICABLE		880d14cb4bcbf542ec199137d60c58d9a8fd723d	claims/lemmas/L-92100-reciprocal-concavity-is-closed-under-positive-sums.md		GENERATED_FROM_C_TSV	Lean #check/#print
OPERATOR.XI.RECIPROCAL_CONCAVITY.ONE_ORBIT	RiemannFormal.Operator.reflectedOffLineOrbit_absorbed_reviewed	RiemannFormal.Operator.XiSourceSpecific	VERIFIED_WITH_FIXES	PROVED	concrete reflected representative; selected low critical reserve; t>1/4; all gap/s/kappa inequalities derived internally	NOT_APPLICABLE		880d14cb4bcbf542ec199137d60c58d9a8fd723d	claims/lemmas/L-92101-one-high-off-line-orbit-is-absorbed-by-a-small-critical-reserve-fraction.md		GENERATED_FROM_C_TSV	Lean #check/#print; exact formula/epsilon/bound declarations
OPERATOR.XI.CRITICAL_RESERVE_BUDGET	RiemannFormal.Operator.buildLockedActualXiReserveAllocation	RiemannFormal.Operator.XiSourceSpecific	VERIFIED_WITH_FIXES	PROVED_CONDITIONAL	one selected critical reserve; reflected-orbit enumeration; exact domains; reciprocal-square finite-prefix tail; exact numerical budget	NOT_APPLICABLE		880d14cb4bcbf542ec199137d60c58d9a8fd723d	claims/lemmas/L-92102-the-complete-hypothetical-off-line-curvature-budget-uses-less-than-one-critical-orbit.md	EXT.XI.PLATT_TRUDGIAN.2021	GENERATED_FROM_C_TSV	Lean #check/#print; exact source lock; one-use ledger fields
OPERATOR.XI.RECIPROCAL_CONCAVITY.ACTUAL	RiemannFormal.Operator.actualXiReciprocalConcavity_of_inputs	RiemannFormal.Operator.XiOrderThree	VERIFIED_WITH_FIXES	PROVED_CONDITIONAL	exact source lock; published height theorem; grouped actual-Xi C2 expansion; unique reflected/critical representatives; residual (m0-1)R0; reserve allocation; source-faithful paid-prefix C2 approximation	NOT_APPLICABLE		880d14cb4bcbf542ec199137d60c58d9a8fd723d	claims/lemmas/L-92103-the-actual-xi-reciprocal-clark-coordinate-is-concave-through-order-three.md	EXT.XI.PLATT_TRUDGIAN.2021	GENERATED_FROM_C_TSV	Lean #check/#print; external-field usage audit
OPERATOR.XI.PICK_ORDER3	RiemannFormal.Operator.actualXiPickOrderThreeConditional	RiemannFormal.Operator.XiOrderThree	VERIFIED_WITH_FIXES	PROVED_CONDITIONAL	ActualXiOrderThreeInputs; positive nodes; one/two/three-node PSD packet; full repeated-node reduction from order-two PSD; paid-prefix reciprocal limit; exact companion bridge	XiPickOrderThreeConditional	ChallengeDeps.XiPickOrderThreeConditional.ChallengeStatement	880d14cb4bcbf542ec199137d60c58d9a8fd723d	claims/theorems/T-92100-all-three-node-infinitesimal-safe-xi-pick-matrices-are-unconditionally-positive.md	EXT.XI.PLATT_TRUDGIAN.2021	GENERATED_FROM_C_TSV	Lean #check/#print; exact shared comparator type; repeated-node source scan
OPERATOR.XI.LOEWNER_LOW_ORDER	RiemannFormal.Operator.actualXiLowOrderLoewner_of_inputs	RiemannFormal.Operator.XiOrderThree	VERIFIED_WITH_FIXES	PROVED_CONDITIONAL	actual-Xi order-two PSD; grouped companion curvature; shared reserve ledger	NOT_APPLICABLE		eb1987502ef9043e782ac6ab1e19c47be9daef93	review/2026-08-21/operator/CLAIMS.tsv	EXT.XI.PLATT_TRUDGIAN.2021	GENERATED_FROM_C_TSV	Lean #check/#print; concrete bridge conjunction
REFUTATION.WEIL.POSITIVE_SCHUR_RESCUE	RiemannFormal.Refutations.positiveSchurCannotRescue	RiemannFormal.Refutations.MatrixFirewalls	REFUTED_MECHANISM	REFUTED_FORMALIZED	visible negative scalar direction; positive complement scalar	OperatorPositiveSchurRescue		0000000000000000000000000000000000000000	review/2026-08-22/reconciliation/GRAPH_REPORT.md		GENERATED_FROM_C_TSV	Lean #check/#print; exact shared comparator statement
