refutation_id	semantic_id	family	false_or_blocked_statement	controlling_source	final_verdict	survives	replacement	integration_action	notes
REF.CONSUMER_MELLIN_MOVING_ROW_SELECTION	CONSUMER.MELLIN.MOVING_ROW_SELECTION	mellin_landau	Selecting a sufficiently large row after introducing a hypothetical zero is not a fixed detector.	641@19cd3939a54ccea73b055b3952b5dd7ed638c4fb:claims/lemmas/L-99242-positive-surrogate-preserves-reciprocal-zeta-poles.md	GAP_BLOCKED	Only independently reviewed local mathematics at its corrected scope.	Detector changes after the hypothetical zero.	ARCHIVE_WITH_GAP	Both cross-reviews identify the same quantifier failure.
REF.ARITH_SHARP_ALPHA_NATIVE_PROMOTION	ARITH.SHARP.ALPHA_NATIVE_PROMOTION	sharp_native	Contracted alpha children do not reproduce the native Euler coefficient.	652@24ab64551225f2dba9aa53a533eb9b0285c6e363:claims/refutations/R-99600-alpha-child-hazard-is-not-the-native-euler-source.md	FALSE	Only independently reviewed local mathematics at its corrected scope.	Native r differs from contracted 2r^2 or net zero.	CANONICAL_REFUTATION	This is the binding source-type firewall.
REF.REFUTATION_WAVELET_FLOOR_KERNEL	REFUTATION.WAVELET.FLOOR_KERNEL	wavelet_xd	Positive floor kernels cancel the reciprocal-zeta detector and cannot prove RH.	675@7b28224ba1b072d4ccd5b93ad37c0a64e7939740:claims/refutations/R-100130-positive-floor-kernel-cancels-the-zeta-detector.md	REFUTED_MECHANISM	Only independently reviewed local mathematics at its corrected scope.	The zeta factor cancels the detector.	CANONICAL_REFUTATION	Exact source path is pinned.
REF.REFUTATION_WAVELET_CRITICAL_DESMOOTHING	REFUTATION.WAVELET.CRITICAL_DESMOOTHING	wavelet_xd	The positive inverse desmoothing has active mass of critical sqrt(X) size.	689@1751b5d63d981f1d39e0679a5997a7e32d2f1649:claims/lemmas/L-100501-critical-dyadic-inverse-and-frame-firewall.md	REFUTED_MECHANISM	Only independently reviewed local mathematics at its corrected scope.	Source-blind positive inversion loses the critical scale.	CANONICAL_REFUTATION	The theorem blocks a recurring shortcut.
REF.ARITH_XD_OLD_K0_K1_EDGE	ARITH.XD.OLD_K0_K1_EDGE	wavelet_xd	The frozen K0 largest-prime versus K1 Vaughan equivalence is mistyped and false.	705@027ea8bd5c879a190e9e22620c245a81f7b93b73:claims/refutations/R-103200-k0-k1-hybrid-equivalence-is-mistyped.md	FALSE	Only independently reviewed local mathematics at its corrected scope.	No cross-kernel alias is valid.	CANONICAL_REFUTATION	PR #705 controls the old graph edge.
REF.REFUTATION_ROOT_EXCESS_ONLY	REFUTATION.ROOT_EXCESS_ONLY	conjunctive	Positive excess alone does not control the unknown root in Q=|g|^2+E.	706@44828a27c63bfc57dce12d67e980db33f4d55c3a:claims/lemmas/L-104100-root-containing-square-firewall.md	REFUTED_MECHANISM	Only independently reviewed local mathematics at its corrected scope.	Excess-only closure is false.	CANONICAL_REFUTATION	This controls HTOC/DGOC-style shortcuts.
REF.OPERATOR_XI_FRACTIONAL_STRING_GROWING_ORDER	OPERATOR.XI.FRACTIONAL_STRING_GROWING_ORDER	xi_pick	The Xi impedance is eventually matrix monotone to a growing order.	461@ea633d416609565b3926f37c9302c93e1b818e2d:claims/lemmas/L-92302-the-xi-impedance-is-eventually-matrix-monotone-to-a-growing-order.md	GAP_BLOCKED	Only independently reviewed local mathematics at its corrected scope.	Uniform moving-order control is absent.	QUARANTINE	Fixed-order asymptotics do not imply the claimed growing-order theorem.
REF.REFUTATION_HEAT_UNIFORM_CENTER	REFUTATION.HEAT.UNIFORM_CENTER	heat_hermite	Uniform-center fractional heat cannot obtain a tunable exponent: Weyl displacement changes parity and conjugates the heat generator.	708@eb1987502ef9043e782ac6ab1e19c47be9daef93:review/2026-08-21/operator/CLAIMS.tsv	REFUTED_MECHANISM	Original source PR #618 @ 2dfa73325a6402418fc64b9e554c1b13dd2b9bf1. Controlling review consolidates PRs #613/#617-#623.	The exact uniform-center exponential type is 1/2.	CANONICAL_REFUTATION	Fixed-center signed heat remains distinct and open.
REF.REFUTATION_BROWNIAN_COFINAL_STABILITY	REFUTATION.BROWNIAN.COFINAL_STABILITY	brownian_weil	Raw all-large/cofinal finite Brownian stability and the current symmetrized finite finishes fail by selected-prime/vertical-limit Bohr instability.	388@ede3f2db2fe0c571964d2e603ba5d91ee463091a:reports/integration-wave/20260811-pr376-brownian-bohr-instability-review.md	REFUTED_MECHANISM	Only independently reviewed local mathematics at its corrected scope.	A genuinely new producer must lie outside the reviewed class.	CANONICAL_REFUTATION	No later descendant supplies a producer outside the firewall.
REF.METHODOLOGY_BROWNIAN_NEW_PRODUCER	METHODOLOGY.BROWNIAN.NEW_PRODUCER	brownian_weil	A height-dependent or genuinely non-Bohr Brownian producer is a research direction, not a theorem node.	0@0000000000000000000000000000000000000000:review/2026-08-22/reconciliation/OPEN_CUTS.md	GAP_BLOCKED	Only independently reviewed local mathematics at its corrected scope.	No such producer currently exists.	METHODOLOGY_ONLY	This prevents a category from becoming a proof premise.
REF.REFUTATION_WEIL_POSITIVE_SCHUR_RESCUE	REFUTATION.WEIL.POSITIVE_SCHUR_RESCUE	brownian_weil	A positive Schur complement cannot rescue an already negative kernel direction: B-Z*C^-1*Z <= B.	0@0000000000000000000000000000000000000000:review/2026-08-22/reconciliation/GRAPH_REPORT.md	REFUTED_MECHANISM	Only independently reviewed local mathematics at its corrected scope.	Corrected arithmetic kernel floor remains open.	CANONICAL_REFUTATION	The August review theorem is imported as binding infrastructure.
