pr	focus	reviewed_sha	review_verdict	review_report	review_report_commit	cutoff_state	present_state	present_head	head_evidence	dependency_code	conflict_and_next_action	advisory_disposition
99	Nearest-zero deflated modulus workflow run	73f4af75611ee1586571055fea245fab1a17b781	VERIFIED	reports/gpt56-04-f/2026-08-01-pre-public-review-pr99-pr112.md	0965166d9b12bec576d7728793d9c2542364f2c1	OPEN	OPEN (direct connector refresh 2026-08-02)		R_ONLY_PRESENT_HEAD_NOT_INDIVIDUALLY_REFRESHED	DX	Extract the reviewed finite/conditional object at frozen scope.	MERGE CANDIDATE
100	Total-zero-count deflation theorem/pipeline	becaa934f59cde17a7e54275a0bab367d901face	VERIFIED WITH FIXES	reports/gpt56-04-f/2026-08-01-pre-public-review-pr99-pr112.md	0965166d9b12bec576d7728793d9c2542364f2c1	OPEN	OPEN (direct connector refresh 2026-08-02)		R_ONLY_PRESENT_HEAD_NOT_INDIVIDUALLY_REFRESHED	DX	Apply review-listed fixes, then review the repaired object.	FIX THEN MERGE
101	Total-count deflation trigger	0db1cd04fa6899c848c1c3f4a5c3e2ce2eedd260	VERIFIED	reports/gpt56-04-f/2026-08-01-pre-public-review-pr99-pr112.md	0965166d9b12bec576d7728793d9c2542364f2c1	OPEN	OPEN (direct connector refresh 2026-08-02)		R_ONLY_PRESENT_HEAD_NOT_INDIVIDUALLY_REFRESHED	DX	Trigger-only; result belongs with parent artifact.	SUPERSEDED/DUPLICATE
102	PR71 zero-deflated certificate trigger	4e5d08488b287286bb93c4a917c3ab37587331f7	VERIFIED	reports/gpt56-04-f/2026-08-01-pre-public-review-pr99-pr112.md	0965166d9b12bec576d7728793d9c2542364f2c1	OPEN	OPEN (direct connector refresh 2026-08-02)		R_ONLY_PRESENT_HEAD_NOT_INDIVIDUALLY_REFRESHED	DX	Trigger-only.	SUPERSEDED/DUPLICATE
103	Expanded total-count-deflated direct-xi production	272e0afac5190ecf06517438e828e33a68b3b76e	VERIFIED WITH FIXES	reports/gpt56-04-f/2026-08-01-pre-public-review-pr99-pr112.md	0965166d9b12bec576d7728793d9c2542364f2c1	OPEN	OPEN (direct connector refresh 2026-08-02)		R_ONLY_PRESENT_HEAD_NOT_INDIVIDUALLY_REFRESHED	DX	Apply review-listed fixes, then review the repaired object.	FIX THEN MERGE
104	Overlapping exact count-envelope optimization	109adb084cbbb6d68b426d65322dbb5b9ac0a3c7	VERIFIED WITH FIXES	reports/gpt56-04-f/2026-08-01-pre-public-review-pr99-pr112.md	0965166d9b12bec576d7728793d9c2542364f2c1	OPEN	OPEN (direct connector refresh 2026-08-02)		R_ONLY_PRESENT_HEAD_NOT_INDIVIDUALLY_REFRESHED	DX	Apply review-listed fixes, then review the repaired object.	FIX THEN MERGE
105	Hardened PR71 zero-deflation production	a587dff2e06980a5dca7867e56965bd9abf88730	VERIFIED	reports/gpt56-04-f/2026-08-01-pre-public-review-pr99-pr112.md	0965166d9b12bec576d7728793d9c2542364f2c1	OPEN	OPEN (direct connector refresh 2026-08-02)		R_ONLY_PRESENT_HEAD_NOT_INDIVIDUALLY_REFRESHED	DX	Extract the reviewed finite/conditional object at frozen scope.	MERGE CANDIDATE
106	High-carrier Loewner precision-ghost repair	7cd5584733ba0a3fca49639b9acd9a8c1faa2b1c	VERIFIED	reports/gpt56-04-f/2026-08-01-pre-public-review-pr99-pr112.md	0965166d9b12bec576d7728793d9c2542364f2c1	OPEN	OPEN (direct connector refresh 2026-08-02)		R_ONLY_PRESENT_HEAD_NOT_INDIVIDUALLY_REFRESHED	DX	Extract the reviewed finite/conditional object at frozen scope.	MERGE CANDIDATE
107	Selected line-zero factor removal and normalized minors	2345b4e2db852b892256527be8310d378fea48e8	VERIFIED WITH FIXES	reports/gpt56-04-f/2026-08-01-pre-public-review-pr99-pr112.md	0965166d9b12bec576d7728793d9c2542364f2c1	OPEN	OPEN (direct connector refresh 2026-08-02)		R_ONLY_PRESENT_HEAD_NOT_INDIVIDUALLY_REFRESHED	DX	Apply review-listed fixes, then review the repaired object.	FIX THEN MERGE
108	Saturated Hardy-Z sign-chain zero bins	f087d51cf906e0c36e4a57174bf044948bcd54fe	VERIFIED WITH FIXES	reports/gpt56-04-f/2026-08-01-pre-public-review-pr99-pr112.md	0965166d9b12bec576d7728793d9c2542364f2c1	OPEN	OPEN (direct connector refresh 2026-08-02)		R_ONLY_PRESENT_HEAD_NOT_INDIVIDUALLY_REFRESHED	DX	Apply review-listed fixes, then review the repaired object.	FIX THEN MERGE
109	Witness-adapted exact count duals	0553db2ebce80358b90de00bcf1bdf98b62c0546	VERIFIED WITH FIXES	reports/gpt56-04-f/2026-08-01-pre-public-review-pr99-pr112.md	0965166d9b12bec576d7728793d9c2542364f2c1	OPEN	OPEN (direct connector refresh 2026-08-02)		R_ONLY_PRESENT_HEAD_NOT_INDIVIDUALLY_REFRESHED	DX	Apply review-listed fixes, then review the repaired object.	FIX THEN MERGE
110	Support-gap Hausdorff witnesses	f7dcf53b077108835adec35dd3518229935e7505	VERIFIED WITH FIXES	reports/gpt56-04-f/2026-08-01-pre-public-review-pr99-pr112.md	0965166d9b12bec576d7728793d9c2542364f2c1	OPEN	OPEN (direct connector refresh 2026-08-02)		R_ONLY_PRESENT_HEAD_NOT_INDIVIDUALLY_REFRESHED	DX	Apply review-listed fixes, then review the repaired object.	FIX THEN MERGE
111	Multi-point direct-xi portfolio cone	c992a15b099367f9fa5f149beec2732ef42a55b1	VERIFIED WITH FIXES	reports/gpt56-04-f/2026-08-01-pre-public-review-pr99-pr112.md	0965166d9b12bec576d7728793d9c2542364f2c1	OPEN	OPEN (direct connector refresh 2026-08-02)		R_ONLY_PRESENT_HEAD_NOT_INDIVIDUALLY_REFRESHED	DX	Apply review-listed fixes, then review the repaired object.	FIX THEN MERGE
112	Exact L-9309 portfolio-cone production branch	65220c068f80dcf7d9df111e77c211e2ef22ee8a	GAP/BLOCKED	reports/gpt56-04-f/2026-08-01-pre-public-review-pr99-pr112.md	0965166d9b12bec576d7728793d9c2542364f2c1	OPEN	OPEN (direct connector refresh 2026-08-02)		R_ONLY_PRESENT_HEAD_NOT_INDIVIDUALLY_REFRESHED	DX	Expected immutable result/basis payload unavailable.	GAP/BLOCKED
