edge_id	source_object	target_object	verdict	hypothesis_or_obstruction	review_units
D-E001	Fixed signed detector with subpower negative mass	Negative-part tail Mellin holomorphy	VALID	Actual logarithmic mass and [1,infinity) tail transform.	D-U002
D-E002	Nonnegative tail plus real-axis analytic continuation	Tail abscissa <=0	VALID	Finite initial abscissa and locally integrable density.	D-U001
D-E003	Rows 2 and 3	Noncancellation in Re(z)>0	VALID	Exact row numerator algebra and |2^-z|<1.	D-U004
D-E004	Fixed 5:3 combination	Noncancellation in Re(z)>0	VALID	Same source normalization and fixed coefficients.	D-U005
D-E005	Literal fixed-row producer plus noncancellation	RH	CONDITIONAL_OPEN_PRODUCER	The required arithmetic sign or negative-mass bound is not proved.	D-U001;D-U004;D-U005
D-E006	SHARP target	Positive component-row kernel	VALID	Exact Mellin convolution and positive activation-cell calculation.	D-U006
D-E007	66 compact Hall inequalities	Complete rough Euler-source feasibility	NOT_ESTABLISHED	Finite compact Hall is not the full rough-source decoder.	D-U007;D-U008
D-E008	Same-index endpoint restriction	RN cocycle	VALID	Retain T(Z/t)/T(Y/t), not a bare support cutoff.	D-U008
D-E009	Subunit labelled removal mass	m>=2 SHARP positivity	VALID_WITH_REPAIR	Inactive adjacent levels use a weak inequality; the first pair is strictly positive.	D-U009
D-E010	Positive H2 primitive	Critical weighted negative variation bound	NOT_ESTABLISHED	Primitive positivity alone does not control downward variation.	D-U010;D-U011
D-E011	Distributional H2 descent	Critical negative mass identity	VALID	Separate absolutely continuous variation from activation atoms.	D-U010;D-U011
D-E012	Complete finite carry field	Fourier / inverse-Laplacian energy	VALID	Include the zero mode and endpoint convention.	D-U012
D-E013	Uniform independent residue average	Jordan2 positive Gram	VALID	Periodized ensemble only.	D-U013;D-U014
D-E014	Periodized Jordan bound	Native fixed-endpoint Q4 bound	NOT_ESTABLISHED	The averaging measures differ.	D-U013;D-U014
D-E015	Fixed filter with actual subpower inverse	Preserved subpower exponent	VALID_WITH_REPAIR	Fixed operator and controlled initial interval.	D-U016
D-E016	Subpower inverses of each frozen order	Subpower inverse for varying-order rows	REFUTED	Periodic orders 2,4,4 annihilate an exponentially growing input.	D-U017
D-E017	RH Mertens estimate	Displayed fixed-band UOSACF converse	VALID_WITH_INPUTS	Earlier source/annular forward identity remains outside this subreview.	D-U015
D-E018	Three carrier roots	Minimal ratio-eight compactifier	VALID	Causal normalized polynomial of minimal degree three.	D-U018
D-E019	Literal duplicate-67 scalar	Geometric scalar inverse	VALID	No silent change to the pair-energy measure.	D-U019
D-E020	Minimal wavelet negative-mass bound	RH	CONDITIONAL_OPEN_PRODUCER	The compact multiplier is pole-safe; the arithmetic bound is open.	D-U020
D-E021	P13 old Hardy energy	P14 identical Cauchy-Poisson energy	REFUTED	Missing (X/8)^2 factor in the endpoint term.	D-U021
D-E022	P14 explicitly defined Cauchy average	Correct min(m,n)^2 Gram	VALID	Initial absolute Fubini; Hardy continuation only with its actual hypotheses.	D-U023
D-E023	Literal old MWOC norm bound	All fixed suffix Mellin tests	REPAIR_PROVED	R4 uses a predetermined countable dense test family.	D-U022
D-E024	Literal old MWOC norm bound	RH	CONDITIONAL_REPAIR_OPEN_PRODUCER	R4 separates every hypothetical reciprocal-zeta pole; norm bound remains open.	D-U022
D-E025	RH	Literal old MWOC norm bound	VALID_WITH_INPUTS	Classical Mertens bound and uniform compact-suffix Abel summation.	D-U022
D-E026	Zero-free half-plane	P15 weighted energy upper abscissa	INPUT_REVIEW_PENDING	Exact reciprocal-zeta growth and Hardy/contour theorem still require a complete source audit.	D-U024
D-E027	Same-K1 decompositions plus L1 errors	Negative-mass equivalence	VALID_WITH_INPUTS	Smooth-sector and Type-I inputs remain imported.	D-U025
D-E028	eta local binomial identity	eta*eta = constant one	VALID	Not eta*eta=delta1.	D-U026
D-E029	Balanced two-field identity	Equal half-divisor source factors	VALID_WITH_INPUTS	L-102009 identity not independently reread here.	D-U027
D-E030	Finite source truncated at N	Hardy norm-three energy estimate	VALID_WITH_REPAIR	Apply full-line norm after truncation and retain [U,4N].	D-U028
D-E031	Finite half-completed field	Exact ratio-four Haar Gram	VALID	All cross terms and endpoint conventions retained.	D-U029
D-E032	Subpower coefficient diagonal	Signed near-collision bound	NOT_ESTABLISHED	Off-diagonal remains unproved.	D-U030
D-E033	Grouped Xi orbit inequalities	Order-two safe-axis PSD	VALID_WITH_INPUTS	Actual zero-height lower bound and grouped Hadamard convergence.	D-U031
D-E034	Two scalar curvature signs	Three-node determinant sign	VALID	Exact determinant factorization and positive prefactor.	D-U032;D-U033
D-E035	Published low-zero verification plus zero-count tail	Total reserve less than one	VALID_WITH_INPUTS	External verification is imported, not rerun.	D-U034;D-U035
