interface	PR496@96f8a6b3	PR500@d73c1e7a	T92930 disposition
positive source versus signed observation	explicit two-ledger theorem	explicit in physical coupling	required and retained
Hall input marginals	abstract root antecedent	explicit odd/even/residual coupling	use PR500
native versus P61 rough lift	not settled	not stated explicitly	exact q=2 firewall; PR-specific falsifier withdrawn
actual rough children	exported and terminalized	internal physical colours	two valid specializations from one native source identity
child capacity type	actual typed packets in fallback	actual same-index placements	never promote to standard Omega(Y) without proof
quantizer	root-global antecedent	one label-blind Markov kernel	use PR500; label erasure after native identity
root signed comparison	two-ledger correction	separate observation vector	retain separate ledger
root native cost	60989 in repaired ledger	60989 direct ledger	one-shot <60989; fallback root <60989
child cost	<6039/8	zero when internal	fallback only
complete cost	<61744	<60989	primary <60989; fallback <61744
recursive tree	absent after first generation	empty exported family	absent in both specializations
endpoint composition	frozen conditional	frozen conditional	frozen and explicitly firewalled
