row	needed_concept	upstream_project	declared_names	pinned_commit	existence_check	exact_scope	reuse_or_adapter	verdict	notes
1	Riemann Hypothesis	Mathlib	RiemannHypothesis	51e6992efd06126df61a496bebf8f49482a4e129	EXISTS	Exact Mathlib proposition quantifying zeta zeros, excluding trivial zeros and s=1.	Direct via projectRH_is_mathlib.	UPSTREAM_MATCH_VERIFIED	Definitionally identical.
2	Riemann zeta	Mathlib	riemannZeta; differentiableAt_riemannZeta; analyticOn_riemannZeta	51e6992efd06126df61a496bebf8f49482a4e129	EXISTS	Analytic away from the junk-value/pole point s=1.	projectRiemannZeta and analyticAt adapter.	ADAPTER_VERIFIED	Exceptional point is explicit.
3	Completed zeta	Mathlib	completedRiemannZeta₀; completedRiemannZeta; differentiable_completedZeta₀; differentiableAt_completedZeta	51e6992efd06126df61a496bebf8f49482a4e129	EXISTS	Lambda0 entire; Lambda analytic away from 0 and 1.	Two distinct project abbreviations and analyticity adapters.	ADAPTER_VERIFIED	No normalization conflation.
4	Completed-zeta functional equation	Mathlib	completedRiemannZeta₀_one_sub; completedRiemannZeta_one_sub	51e6992efd06126df61a496bebf8f49482a4e129	EXISTS	Both equations are s->1-s; Lambda0 entire, Lambda meromorphic convention.	Direct adapters.	ADAPTER_VERIFIED	Correct coordinate.
5	Zeta Dirichlet series	Mathlib	zeta_eq_tsum_one_div_nat_cpow; zeta_eq_tsum_one_div_nat_add_one_cpow; completedZeta_eq_tsum_of_one_lt_re	51e6992efd06126df61a496bebf8f49482a4e129	EXISTS	Only under 1<Re(s).	Ledger reuse; no project theorem needed.	UPSTREAM_MATCH_VERIFIED	No continuation is mislabeled as convergence.
6	Analytic zero order	Mathlib	analyticOrderAt; analyticOrderNatAt; AnalyticAt.analyticOrderAt_eq_natCast	51e6992efd06126df61a496bebf8f49482a4e129	EXISTS	analyticOrderAt is ENat-valued; Zeta23 zeroMult uses toNat.	projectZeroMultiplicity_def is rfl.	ADAPTER_VERIFIED	Finite-order/nonzero seam comes from Zeta23.
7	Meromorphic pole order	Mathlib	meromorphicOrderAt; meromorphicOrderAt_mul; meromorphicOrderAt_inv; meromorphicOrderAt_div	51e6992efd06126df61a496bebf8f49482a4e129	EXISTS	Reciprocal order is negative meromorphic order.	Generic and zeta-specialized inversion proved.	FORMALLY_VERIFIED_WITH_FIXES	No local theorem identifies Zeta23 analytic multiplicity with meromorphic order at rho!=1.
8	Zero set local finiteness	Mathlib	riemannZetaZeros; isDiscrete_riemannZetaZeros; IsCompact.inter_riemannZetaZeros_finite	51e6992efd06126df61a496bebf8f49482a4e129	EXISTS	All zeta zeros, not only open-strip zeros.	Membership and compact-finiteness adapters.	ADAPTER_VERIFIED	Nontrivial convention stays separate.
9	Mellin definition and convergence	Mathlib	mellin; MellinConvergent; HasMellin	51e6992efd06126df61a496bebf8f49482a4e129	EXISTS	mellin f s is integral over (0,infinity) of x^(s-1)f(x); convergence is absolute integrability.	Direct alias.	UPSTREAM_MATCH_VERIFIED	This convention does not directly match L-99270/L-99272's tail transform.
10	Mellin dilation	Mathlib	mellin_comp_mul_left; mellin_comp_mul_right; mellin_comp_rpow; mellin_comp_inv	51e6992efd06126df61a496bebf8f49482a4e129	EXISTS	For a>0, f(a x) gives a^(-s).	mellin_dilation proved by simpa.	ADAPTER_VERIFIED	Exponent is correct for Mathlib's convention.
11	Mellin linear combinations	Mathlib	hasMellin_add; hasMellin_sub; hasMellin_const_smul; mellin_const_smul	51e6992efd06126df61a496bebf8f49482a4e129	EXISTS	Requires convergence of each summand at the same s.	Two-term wrapper proved.	FORMALLY_VERIFIED_WITH_FIXES	No explicit arbitrary finite-combination theorem.
12	Mellin compact kernels	Mathlib	hasMellin_one_Ioc; hasMellin_cpow_Ioc	51e6992efd06126df61a496bebf8f49482a4e129	EXISTS	Indicator on (0,1] with power a has transform 1/(s+a) in stated half-plane.	compact_power_kernel_hasMellin.	ADAPTER_VERIFIED	Does not establish logarithmic-box K_A or convolution identity.
13	Mellin holomorphy in strips	Mathlib	mellin_hasDerivAt_of_isBigO_rpow; mellin_differentiableAt_of_isBigO_rpow; mellin_differentiableAt_of_isBigO_rpow_exp	51e6992efd06126df61a496bebf8f49482a4e129	EXISTS	Local integrability plus endpoint power bounds; b<Re(s)<a.	mellin_analyticAt_of_power_bounds.	ADAPTER_VERIFIED	Hypotheses and strip are explicit.
14	Holomorphic arithmetic	Mathlib	AnalyticAt.add; AnalyticAt.sub; AnalyticAt.mul; AnalyticAt.inv; analyticAt_iff_analytic_mul	51e6992efd06126df61a496bebf8f49482a4e129	EXISTS	Local analytic algebra; multiplier nonzero at point.	Used in fixed defect/multiplier transfer.	FORMALLY_VERIFIED	Exact finite analytic algebra.
15	Project nontrivial-zero convention	Zeta23	Zeta23.IsNontrivialZero; Zeta23.zeroMult; Zeta23.zerosIn	cec57f919ccf34e5fa5372b4ba332f7c848bbb6e	EXISTS	Open strip 0<Re rho<1; multiplicity=(analyticOrderAt zeta rho).toNat; positive-ordinate windows.	Project abbreviations.	ADAPTER_VERIFIED	Name-only matching rejected; definitions inspected.
16	Closed zero seam and finite windows	Zeta23	Zeta23.zetaSeam; Zeta23.zerosIn_finite; Zeta23.riemannZeta_zeros_locallyFinite	cec57f919ccf34e5fa5372b4ba332f7c848bbb6e	EXISTS	Seam fields proved from Mathlib/reflection; finite windows exact.	projectZeroWindow_finite and zetaZeroConfig use.	ADAPTER_VERIFIED	No custom seam axiom.
17	Centered Xi coordinate	Zeta23	Zeta23.gammaOf	cec57f919ccf34e5fa5372b4ba332f7c848bbb6e	EXISTS	gamma=(rho-1/2)/i=Im rho-i(Re rho-1/2).	projectCenteredZero_reconstruct.	ADAPTER_VERIFIED	Sign of imaginary shift is correct.
18	Functional-equation reflection	Zeta23	Zeta23.reflect; Zeta23.zeta_reflect_zero; Zeta23.zeta_mult_reflect	cec57f919ccf34e5fa5372b4ba332f7c848bbb6e	EXISTS	rho->1-conj rho preserves open-strip zeros and analytic multiplicity.	Direct project adapters; full Mathlib-admissible closure kept as a premise.	ADAPTER_VERIFIED	Exceptional-point obligations are not silently erased.
19	Weil explicit formula	Zeta23	Zeta23.WeilEF.EF_lit_zeta	cec57f919ccf34e5fa5372b4ba332f7c848bbb6e	EXISTS	Takes a ZetaSeam; literature Fourier convention and exact zero multiplicities.	Adapter supplies zetaSeam.	ADAPTER_VERIFIED	Project test-function normalizations remain separate.
20	Riemann-von Mangoldt	Zeta23	Zeta23.RvM.riemannVonMangoldt	cec57f919ccf34e5fa5372b4ba332f7c848bbb6e	EXISTS	Explicit argument hGamma : GammaFacts.	zeta23_riemannVonMangoldt keeps argument explicit.	ADAPTER_VERIFIED	No hidden GammaFacts assumption.
21	Gamma and Stirling estimates	Zeta23	Zeta23.GammaFacts; Zeta23.gammaFacts	cec57f919ccf34e5fa5372b4ba332f7c848bbb6e	EXISTS	GammaFacts structure and unconditional theorem gammaFacts in GammaFacts/Complete.	Ledger only.	UPSTREAM_MATCH_VERIFIED	A's imported RvM statement does not import/use Complete automatically.
22	Chebyshev-Mertens	Zeta23	Zeta23.ChebyshevMertens; Zeta23.chebyshevMertens	cec57f919ccf34e5fa5372b4ba332f7c848bbb6e	EXISTS	Classical Chebyshev/Mertens bundle in Zeta23 normalization.	Ledger only.	UPSTREAM_MATCH_VERIFIED	No local consumer depends on this row.
23	Landau-type lemmas	Mathlib	none at pinned commit	51e6992efd06126df61a496bebf8f49482a4e129	NO_MATCH_FOUND	No exact nonnegative tail-Mellin boundary singularity theorem.	Correctly recorded as missing.	BLOCKED_LIBRARY	A local proposition is permissible only if its statement is exact; the delivered one is not.
24	Landau-named files	Zeta23	XiPrime/ZeroCount/Landau; WeilEF/Landau; ThmE/LandauChi	cec57f919ccf34e5fa5372b4ba332f7c848bbb6e	EXISTS_BUT_DIFFERENT	Disk zero counts/log-derivative partial fractions and L-function analogues, not Mellin abscissa singularity.	Correctly not reused.	UPSTREAM_MATCH_VERIFIED	Negative match verified by inspecting theorem statements.
25	Subpower negative-mass holomorphy	Mathlib and Zeta23	none at pinned commits	51e6992efd06126df61a496bebf8f49482a4e129;cec57f919ccf34e5fa5372b4ba332f7c848bbb6e	NO_MATCH_FOUND	No exact integration-by-parts theorem for reviewed logarithmic tail mass.	Correctly recorded missing, but local Prop is misnormalized.	BLOCKED_LIBRARY	Repair statement before using it as an explicit open premise.
