route	pr_or_external_source	reviewed_sha	path_or_source	claim_id	short_statement	mathematical_type	review_verdict	lifecycle	rh_relationship	formalization_status	dependencies	surviving_scope	superseded_or_refuted_by	integration_action	notes
Brownian finite gamma	PR #296	4a68887f9f713aea7f63444030379fb864766a2d	claims/lemmas/L-21705-finite-brownian-gamma-truncations.md	L-21705	Exact Gamma(2,n) Laplace product and Mellin factorization	UNCONDITIONAL THEOREM	VERIFIED	live	independent finite approximant algebra	none	all finite identities		integrate	Gamma factors and shifts checked
Brownian convergence	PR #296	4a68887f9f713aea7f63444030379fb864766a2d	claims/lemmas/L-21706-logarithmic-norlund-xi-approximants.md	L-21706	Strip estimate and local-uniform convergence to the chosen xi normalization	UNCONDITIONAL THEOREM	VERIFIED	live	independent approximation theorem	none	compact-set convergence		integrate	Rouche still requires a cofinal zero-location theorem
Brownian cardinal sampling	PR #296	4a68887f9f713aea7f63444030379fb864766a2d	claims/lemmas/L-21707-norlund-cardinal-derivative-sampling.md	L-21707	Exact finite cardinal derivative-sampling identities	UNCONDITIONAL THEOREM	VERIFIED	live	route infrastructure	none	finite interpolation identities		integrate	No global stability follows automatically
Brownian corrected fiber	PR #318	277bfb19e2e5deed50b5bbc133453b7147046360	claims/lemmas/L-21709-correct-brownian-cardinal-robin-fiber.md	L-21709	Phi_l(z)=cosh(lz/2)+2z sinh(lz/2) is the correct one-fiber determinant	UNCONDITIONAL THEOREM	VERIFIED WITH FIXES	live	independent one-fiber theorem	none	self-adjoint l>0 fiber and one real pair for l<0	older incorrect fiber formula	integrate corrected formula only	Frozen #296 already contains the corrected even determinant
Brownian reflected tail	PR #318	277bfb19e2e5deed50b5bbc133453b7147046360	claims/refutations/R-21703-cardinal-robin-fiber-formula-and-reflected-tail-domination-fail.md	R-21703	Finite reflected-tail domination is incompatible with tail asymptotics	REFUTATION	VERIFIED	closed shortcut	blocks one symmetrized closure	none	exact no-go statement	reflected-tail proposal	integrate prominently	Do not retain this as a live mechanism
Brownian positive mixture	PR #318	277bfb19e2e5deed50b5bbc133453b7147046360	claims/refutations/R-21704-positive-robin-fiber-cone-is-not-real-rooted.md	R-21704	Positive combinations of correct fibers need not preserve real-rootedness	REFUTATION	FALSE	closed shortcut	blocks positive-fiber proof	none	explicit Phi_0+0.1 Phi_8 counterexample	positive-mixture closure	integrate prominently	FALSE applies to the closure claim, not to individual fibers
Brownian aggregate canonical system	PR #318	277bfb19e2e5deed50b5bbc133453b7147046360	claims/theorems/T-21706-corrected-brownian-cardinal-global-criterion.md	T-21706	An aggregate positive canonical system/Hermite-Biehler realization would imply the needed finite stability	CONDITIONAL IMPLICATION	UNPROVEN / GAP	live	independent possible proof route	none	criterion only	mixture shortcuts refuted	keep open	No Hamiltonian or aggregate system constructed
Raw Brownian Dirichlet average	PR #343	fed85f2969a5ab9f09890cd89bd6b57ff2115320	claims/lemmas/L-34001-raw-brownian-factor-is-dirichlet-average-mellin-transform.md	L-34001	D_N(2z) factors through one Dirichlet-average Mellin transform E[Q_N^z]	UNCONDITIONAL THEOREM	VERIFIED	live	genuinely independent raw route	none	all N exact factorization		integrate	This genuinely avoids the positive-mixture obstruction
Raw Brownian explicit numerator	PR #343	fed85f2969a5ab9f09890cd89bd6b57ff2115320	claims/lemmas/L-34003-explicit-dirichlet-mean-mellin-numerator-and-gamma-derivative-form.md	L-34003	Explicit all-N exponential numerator and gamma-derivative form	UNCONDITIONAL THEOREM	VERIFIED	live	route infrastructure	none	all N finite formula		integrate	Branch and gamma conventions checked
Raw Brownian Hermite	PR #343	fed85f2969a5ab9f09890cd89bd6b57ff2115320	claims/lemmas/L-34004-reciprocal-double-knot-hermite-interpolation-identity.md	L-34004	Reciprocal double-knot Hermite interpolation identity	UNCONDITIONAL THEOREM	VERIFIED	live	route infrastructure	none	all finite N		integrate	Exact reciprocal interpolation
Raw Brownian N=2	PR #343	fed85f2969a5ab9f09890cd89bd6b57ff2115320	claims/lemmas/L-34002-n2-dirichlet-average-is-zero-free-in-right-half-plane.md	L-34002	Required right-half-plane zero-freeness for N=2	UNCONDITIONAL THEOREM	VERIFIED	live	finite case only	none	N=2		integrate	Not a cofinal theorem
Raw Brownian N=3	PR #343	fed85f2969a5ab9f09890cd89bd6b57ff2115320	claims/lemmas/L-34005-n3-dirichlet-average-is-zero-free-in-the-closed-right-half-plane.md	L-34005	Required closed-right-half-plane zero-freeness for N=3	UNCONDITIONAL THEOREM	VERIFIED	live	finite case only	none	N=3		integrate	Not a cofinal theorem
Raw Brownian N=4	PR #343	fed85f2969a5ab9f09890cd89bd6b57ff2115320	claims/lemmas/L-34006-n4-dirichlet-average-is-zero-free-in-the-closed-right-half-plane.md	L-34006	Required closed-right-half-plane zero-freeness for N=4	UNCONDITIONAL THEOREM	VERIFIED	live	finite case only	none	N=4		integrate	Strongest proved finite case
Raw Brownian minimum form	PR #343	fed85f2969a5ab9f09890cd89bd6b57ff2115320	claims/lemmas/L-34009-negative-brownian-shifts-have-exact-square-threshold.md; claims/lemmas/L-34010-brownian-factor-is-the-laplace-transform-of-an-explicit-beta-prime-minimum.md	L-34009; L-34010	Exact adverse-shift threshold and explicit tilted-minimum bilateral Laplace form	UNCONDITIONAL THEOREM	VERIFIED	live	reformulates the independent endpoint	none	all finite N structural normal form		integrate	Increasing hazard is not itself a complex zero-free theorem
Raw Brownian all-N stability	PR #343	fed85f2969a5ab9f09890cd89bd6b57ff2115320	claims/theorems and route conclusion	RAW-ALL-N	E[Q_N^z] is nonzero in the RH-facing half-plane for all large N or a cofinal sequence	PROPOSED COMPLETE THEOREM	UNPROVEN / GAP	first open theorem	would imply RH by the stated convergence/Rouche chain	none	open target only		retain as open	This is the decisive missing theorem
Carrier finite certificate	PR #65	7296bf55449a4b510e4823028744deb793516e14	carrier theorem and retained certificate	CARRIER-FINITE	A fixed finite carrier vector has a positive certified form	FINITE SEMIDECISION	VERIFIED	live finite result	neither RH nor a cofinal theorem	none	one declared finite instance		integrate with finite label	No strict negative witness
Screw convexity	PR #98	2f012ebd4bd782f0ba93a6ecc4f98f62b262be20	screw lemmas and experiment files	SCREW-CONVEX	Exact screw convexity/minimization algebra	ROUTE INFRASTRUCTURE	VERIFIED	live	partial operator route	none	finite analytic reduction		integrate	Large scan remains EMPIRICAL ONLY
Screw scan	PR #98	2f012ebd4bd782f0ba93a6ecc4f98f62b262be20	retained numerical outputs	SCREW-SCAN	Numerical finite screw reconnaissance	DISCOVERY ONLY	EMPIRICAL ONLY	empirical	no global RH conclusion	none	inspected retained output		archive as reconnaissance	Not rerun
