decision	packet	prior_item	disposition	current_scope	basis	exclusion
F4-01	FR	R2-FR-02	LIFT_SELECTED_NUMERICAL_HOLD	Fixed T=log2 degree-four ideal correction <1/1200 and ordinary compact-input error <1/1000; >300-fold squared-error improvement	Full 4094-cell producer, complete tail and compactification audit; normal/O identical; published actual_source match	FR whole check.py/231 controls and original package rejection suite not executed
F4-02	CD	R1-CD-3	LIFT_SELECTED_NUMERICAL_HOLD	Eight prescribed N cutoffs through128; ramp error normalized by2; N64<1/19000; exact nonmonotonicities	261881 nonzero cells plus255 zero cells; full infinite tails; current published blob match	Not optimized minima, not monotone/cofinal estimate
F4-03	SSQ	R1-SSQ-3	LIFT_SELECTED_NUMERICAL_HOLD	Six endpoint-sample energy prefixes through M128, actual prime count and Li_2 lower endpoint	Full run incl trial/sieve through16384 and complete Ei tails; current published blob match	No global coarse-energy tail or cell-mean equality
F4-04	MW	pass3 large-campaign hold	RETAIN_NUMERICAL_WITH_STRICT_REPLAY	Fifteen full stopped-input checkpoints across all65536 events	Full original normal/O replay and exact published blob match	Original expected-receipt parser excluded from type-strict acceptance
F4-05	MW	F4-04 independent corroboration	RETAIN_INDEPENDENT_RECONSTRUCTION	Every65535 interevent cell and complete stable future; all15 checkpoint intervals compared	Independent linear sieve, rational logarithms and direct polynomial integration; no author module	Method independence not a second distinct-human referee claim
F4-06	MW	Original certify.py --expect	REPAIR_AT_REVIEW_BOUNDARY	Duplicate keys and float/Boolean aliases accepted by original CLI in both modes; changed endpoint rejects	Actual subprocess probe; strict replay wrapper gives4 pristine plus18 refusals per mode	Original research code unchanged; future promotion of its own CLI needs repair/delta review
F4-07	ADG	R2-ADG-03 infinite application	RETAIN_REPAIRED_STATEMENT	Infinite-reservoir strong Schur residual requires Y(H) subset Dom(A) and bounded AY	Direct expansion with bounded A^-1; actual one-prime form-domain/nonoperator-domain counterexample	Finite graph certificates unaffected; no full xi coupling identified
F4-08	LC	R1-LC-4	RESOLVE_IMPORT_AND_SOURCE_HOLD	RH-conditional strict finite effective matrix; fixed-L primitive logarithmic core	Hall/Littlewood RH-conditional multiplicity input checked; compact-distribution uniqueness and exact W binding	No unbounded-window sign or numerically instantiated search cost
F4-09	WP	R2-WP-02 source binding	RETAIN_WITH_COMPLETED_BINDING	Actual W on diameter<=1; positive effective S1 in specified basis	Direct periodic H^-1/H1 duality and energy-completed infimum; pass2 numerical replay inherited	Original whole package not promoted; not uniform L2 gap
F4-10	CSM	R1-CSM source obligations	RETAIN_SOURCE_QUALIFIED	Literal factorial source, pure Blaschke domain, causal isometry and maximal-domain distinction	Construction and DOMAIN_AND_APPROXIMATION reread; removable values and common-inner cancellation checked	Distributional Jordan desmoothing is not bounded old-metric intertwiner
F4-11	HC	R1-HC-2 FR dependency	RETAIN_WITH_COMPLETED_REALIZATION_BINDING	Growing-horizon excess above intrinsic floor, with compact ordinary realization	Clipped outer/Sobolev/Fejer proof and actual target class checked; FR selected realization replay complete	No estimate of C_B(T); enormous ranks and unspecified constants retained
F4-12	IE	R1-IE-4 / R2-IE-03	RESOLVE_HC_RATE_DEPENDENCY	Rate of finite entropy to J under exact HC target class	Unit target q=1 qualifies; logarithm Lipschitz on fixed positive projection floor	J not evaluated as zero; pass2 trial remains inherited
F4-13	CCT	R1-CCT-4	RESOLVE_SELECTED_ANALYTIC_INTERFACE	Finite-cutoff outerness and RH-conditional complete logarithmic/entropy convergence	Higher-prime-power L2 tail, taper horizon, lower boundary and canonical analytic logarithm checked	Cramer upper bound remains RH-conditional; no L2 exponentiation claim
F4-14	OEC	pass2 ABEL_AND_ATTEMPT queue	RETAIN_AUXILIARY_AT_SCOPE	Positive-entropy-moment Abel continuation and exact shifted Euler identity	Nonunit total mass2^-epsilon, prime2 and all higher powers retained	Entropy-moment upper premise OPEN; sigma=0 substitution invalid
F4-15	EPD/PDS/SSQ	pass2/pass3 attempt-note queue	RETAIN_SCOPED_FAILED_ATTEMPTS	Actual physical discrepancy, complete tail and old-level/increment work	Attempt files checked against principal definitions; no resetting or model-source substitution	Continuous countermodels are not ordinary primes or RH counterexamples
F4-16	ANT/GCP/CCS	pass3-confirmation synthesis	INHERIT_WITH_ALIAS_RECONCILIATION	One shared squarefree anchoring result; distinct geometric/root-Schur and native-source/survival additions	Pinned confirmation inherited; no new conflicting source head observed	No graph-to-physical metric identification or coherent upper estimate
F4-17	TSR	R1-TSR publication/source boundary	RETAIN_SOURCE_QUALIFIED	All-rank rational full-factor classification and stated monodromy obstruction	Current branch-only exact object, README and source attribution confirmed; earlier4320-row reconstruction inherited	Not global automorphy, scheme multiplicities or simultaneous curve realization
F4-18	RC/BL/TE/ADG	pass3 four inherited corrections	MANDATORY_EXTRACTION_REPAIRS	Equation18; squared norm; prescribed interval; eleven prime bases	REPAIRS R01-R04 carry exact source and proof route	Do not edit historical sources or silently strengthen numerical endpoints
F4-19	DC10	R2-DC10-02	KEEP_OLDER_APPLICATION_CONDITIONAL	Self-contained divisor identity/gap retained separately from old restricted-window application	Old exact source dependencies remain named in extraction boundaries	No fresh audit of all old theta/heat/renormalization layers or unrestricted means
F4-20	ALL45	Original unselected executable obligations	ARCHIVE_ONLY_NOT_TRUSTED_ACCEPTANCE	Only selected source-pinned replay paths and inherited reviewer receipts promoted as evidence	Perpacket EXTRACTION.tsv numerical_evidence and other_author_executables columns	Other author programs may be preserved as exploratory; no package-wide clearance
F4-21	ALL45	Open research endpoints	KEEP_OPEN	All RH-bearing arithmetic upper/sign/capture premises remain unproved	Implications distinguished from available premises throughout handoff	No solve-RH task delegated to reviewer
F4-22	INTEGRATION	Final handoff	READY_FOR_SCOPED_PREPARATION	Prepare selected extraction from then-current main with six repairs and exact evidence; review resulting tree before merge	45-row extraction selection; file/head locks; final report and executable boundaries	No main/canonical/formal changes or integration merge in this pass
