node_id	status	scope
H.MELLIN.ANALYSIS	ASSUMPTION	classical measure/complex-analysis infrastructure, exact Mellin convention
H.MELLIN.NATIVE_SOURCE	OPEN	literal fixed detector, meromorphic identity and positive-real germs
H.MELLIN.NEGATIVE_MASS	OPEN	actual every-epsilon logarithmic negative-mass estimate
H.MELLIN.ZERO_ADAPTERS	ASSUMPTION	actual zeta finite multiplicity, zero localization/reflection
H.XI.SPECTRAL_DATA	ASSUMPTION	X3 summability, actual multiplicities and fixed source completeness
H.XI.ACTUAL_BINDING	OPEN	audited entire-Xi source binding, low reserve and external height/count inputs
H.XI.COMPILED_REPAIR	OPEN	new shared source and index types plus all affected Lean consumers compiled
XI.PSD3.PAPER	DERIVED	conditional low-order paper theorem for complete repaired spectral source
XI.PSD3.TRUSTED	DERIVED	compiled source-specific theorem after formal repair and external binding
H.OP.KERNEL	ASSUMPTION	literal W on each finite interval; exact arithmetic normalization
H.OP.CONTINUUM_CERT	OPEN	validated continuum lower matrix with all roundoff and trial-constraint errors
H.OP.ALL_LENGTHS	OPEN	effective matrix nonnegative on unbounded prescribed lengths
H.OP.GLOBAL_ADAPTER	ASSUMPTION	global boundedness and exact xi/coefficient/RH adapter; not re-reviewed here
OP.ONE_WINDOW.PSD	DERIVED	full L2 positivity on one specified finite window
OP.ALL_WINDOWS.PSD	DERIVED	full bounded-source positivity
RH	DERIVED	Riemann Hypothesis; not reached without open premises
