family	canonical_claim_count	inspection	review_units	coverage_boundary
brownian_weil	6	ONE_RESIDENT_ELEMENTARY_STATEMENT	D-U067	Not a claim-by-claim review of every canonical row; unlisted source proofs and computations retain no new D verdict.
c4mbi	1	MANIFEST_ONLY		Not a claim-by-claim review of every canonical row; unlisted source proofs and computations retain no new D verdict.
carry_critical_hinge	3	INDEX_ONLY		Not a claim-by-claim review of every canonical row; unlisted source proofs and computations retain no new D verdict.
conjunctive	18	FOCUSED_PROOFS	D-U068;D-U069;D-U070;D-U071;D-U072;D-U073;D-U074	Not a claim-by-claim review of every canonical row; unlisted source proofs and computations retain no new D verdict.
dickman_bellman	3	FOCUSED_PROOFS_WITH_UNREAD_INPUTS	D-U064;D-U065	Not a claim-by-claim review of every canonical row; unlisted source proofs and computations retain no new D verdict.
direct_main_cauchy_jordan	3	MANIFEST_ONLY		Not a claim-by-claim review of every canonical row; unlisted source proofs and computations retain no new D verdict.
direct_main_mellin	4	INDEX_ONLY		Not a claim-by-claim review of every canonical row; unlisted source proofs and computations retain no new D verdict.
direct_main_p79	6	INDEX_ONLY		Not a claim-by-claim review of every canonical row; unlisted source proofs and computations retain no new D verdict.
direct_main_taylor	6	INDEX_ONLY		Not a claim-by-claim review of every canonical row; unlisted source proofs and computations retain no new D verdict.
factor67_lorenz	1	INDEX_ONLY		Not a claim-by-claim review of every canonical row; unlisted source proofs and computations retain no new D verdict.
finite_certificates	2	INDEX_ONLY		Not a claim-by-claim review of every canonical row; unlisted source proofs and computations retain no new D verdict.
heat_hermite	6	FOCUSED_PROOFS_WITH_UNREAD_INPUTS	D-U041;D-U042;D-U043;D-U044	Not a claim-by-claim review of every canonical row; unlisted source proofs and computations retain no new D verdict.
historical_native_assets	7	INDEX_ONLY		Not a claim-by-claim review of every canonical row; unlisted source proofs and computations retain no new D verdict.
mellin_landau	12	FOCUSED_PROOFS	D-U001;D-U002;D-U003;D-U004;D-U005;D-U006	Not a claim-by-claim review of every canonical row; unlisted source proofs and computations retain no new D verdict.
native_endpoint	1	INDEX_ONLY		Not a claim-by-claim review of every canonical row; unlisted source proofs and computations retain no new D verdict.
owner_vaughan	6	FOCUSED_PROOFS_WITH_UNREAD_INPUTS	D-U026;D-U027;D-U028;D-U029;D-U030	Not a claim-by-claim review of every canonical row; unlisted source proofs and computations retain no new D verdict.
q4	11	FOCUSED_PROOFS	D-U012;D-U013;D-U014;D-U015;D-U016;D-U017	Not a claim-by-claim review of every canonical row; unlisted source proofs and computations retain no new D verdict.
review_infrastructure	3	METADATA_ONLY		Not a claim-by-claim review of every canonical row; unlisted source proofs and computations retain no new D verdict.
safe_line_operator	4	FOCUSED_PROOFS_WITH_UNREAD_INPUTS	D-U059;D-U060	Not a claim-by-claim review of every canonical row; unlisted source proofs and computations retain no new D verdict.
sharp_native	9	FOCUSED_PROOFS	D-U007;D-U008;D-U009;D-U010;D-U011	Not a claim-by-claim review of every canonical row; unlisted source proofs and computations retain no new D verdict.
suzuki_hardy	4	FOCUSED_PROOFS_WITH_UNREAD_INPUTS	D-U061;D-U062;D-U063	Not a claim-by-claim review of every canonical row; unlisted source proofs and computations retain no new D verdict.
terminal	1	METADATA_ONLY		Not a claim-by-claim review of every canonical row; unlisted source proofs and computations retain no new D verdict.
wavelet_xd	9	FOCUSED_PROOFS_WITH_UNREAD_INPUTS	D-U018;D-U019;D-U020;D-U021;D-U022;D-U023;D-U024;D-U025	Not a claim-by-claim review of every canonical row; unlisted source proofs and computations retain no new D verdict.
xi_pick	13	FOCUSED_PROOFS	D-U031;D-U032;D-U033;D-U034;D-U035;D-U036;D-U037;D-U038;D-U039;D-U040	Not a claim-by-claim review of every canonical row; unlisted source proofs and computations retain no new D verdict.
legacy_robin		RESIDENT_PACKET	D-U045;D-U046;D-U047;D-U048;D-U049	Additional resident surface; not added to the 139-row canonical denominator.
legacy_corrections		RESIDENT_PACKET	D-U050;D-U051;D-U052;D-U053;D-U054	Additional resident surface; not added to the 139-row canonical denominator.
legacy_xi		RESIDENT_PACKET	D-U055;D-U056;D-U057;D-U058	Additional resident surface; not added to the 139-row canonical denominator.
formal_metadata		METADATA_ONLY	D-U066	Additional resident surface; not added to the 139-row canonical denominator.
