packet_id	reviewer_a_coverage	reviewer_b_coverage	reviewer_c_expected_coverage	later_controlling_sources	coverage_assessment	delta_required
DM-001	Not arithmetic remit; imported integration state only	PR #708 imports reviewed Brownian no-go and surviving finite/local results	No need beyond genealogy confirmation	Merged PR #388 and August 11 integration	FULLY_CONTROLLED_METADATA	Add the seven direct-main synchronization commits to the freeze genealogy; no new claim rows.
DM-002A	No direct arithmetic coverage	Operator-family coverage in PR #708, but not an exact 85-commit census	May encounter descendants, not responsible for this direct-main packet	PR #400; PRs #403-#404	PARTIAL_FAMILY_COVERAGE	Add exact L-91014--L-91020 provenance and canonical local theorem rows.
DM-002B	No direct coverage	Heat/Hardy/operator family and RH-equivalence principles covered at family level	May cover descendants only	PR #400; PRs #403-#404	PARTIAL_FAMILY_COVERAGE	Add exact L-91021--L-91029/T-91005 rows; distinguish unconditional terminal results from RH-equivalent recurrence.
DM-002C	None	First-chaos source-to-output gate recognized in PR #708	No duplicate review needed	PR #400 exact correction/reframing	CONTROLLED_BY_LATER_REVIEW	Register T-91006 as historical wrapper and CJHI/first-chaos domination as open.
DM-003A	Native-source type firewalls and controlling later descendants covered in PR #709	No exact direct-main census	Likely genealogy overlap; avoid duplicate breadth work	R-91308/R-91309; PR #431; PR #436	CONTROLLED_BUT_DIRECT_PACKET_UNINDEXED	Archive L-91347/T-91303 and retain only conditional scalar Hall-flow algebra.
DM-003B	Native source/normalization family and hostile fixtures covered in PR #709	No exact direct-main packet row in PR #708	May census later P79 descendants/certificates	PR #431 and PR #436	FULLY_CONTROLLED_SCIENTIFICALLY	Add exact direct-main false/gap/surviving-identity provenance to final reconciliation.
DM-003C	Sequential/causal source ledgers overlap in PR #709	No exact direct-main row	May encounter PR #439 descendants	PR #439	CONTROLLED_LOCAL_THEOREM	Canonicalize L-91355 as an exact abstract budget with physical typing open.
DM-004	Fixed-row/two-row/5:3 Mellin consumer audited in PR #709	PR #708 explicitly records fixed-row moving-selection concern and fixed two-row replacement	Could encounter producer genealogy, not needed for this direct-main transform	PR #544; PR #708; PR #709	ANALYTICALLY_CONTROLLED_PRODUCER_GAP	Index L-96000/L-96001 as direct-main analytic predecessors; exclude T-96000 producer claim.
DM-005	None needed	None needed	Possible duplicate/recovery census	none	DUPLICATE_RECOVERY	Classify two commits as publication probes.
DM-006	None needed	None needed	None needed	none	DOCUMENTATION_ONLY	Record README branding commit, no scientific claim.
DM-007	SHARP m>=2, critical wall, distributional descent and RH-equivalent variation covered in PR #709	Mellin/critical-wavelet consumer overlap in PR #708	May encounter later critical descendants	PR #663; PR #668; PR #709	PARTLY_SUBSUMED_WITH_UNCOVERED_TAYLOR_LEMMA	Add L-99931 as a standalone result; pin L-99930/L-99932/R-99930 genealogy; mark terminal estimate RH-equivalent.
