finding_id	original_finding	repaired_evidence	disposition	residual_scope	build_status	integration_effect	notes
BUILD-001	No exact-head Lean build, comparator build, registry/blueprint validation, no-sorry run, or compiled axiom audit was established.	PR #733 preserves the full requested command sequence in its repair report, but head 072b4dbd0e4e407728a59110eb4f7214e23f8f8d has no observable workflow run or combined status and this environment has no Lean/Lake executable.	UNRESOLVED_BLOCKER	All declarations remain source-reviewed rather than independently compiled; comparator solutions and generated registries are not execution-certified.	BUILD_NOT_EXECUTED	Do not treat any PROVED or REFUTED_FORMALIZED row as compiled-trust evidence until the exact suite passes.	Absence of a build is not evidence that a theorem is false.
AXIOM-RUNNER-001	The authoritative axiom script did not directly run Reviewer B's Arithmetic/AxiomAudit.lean or comparator/PrintAxioms/ArithmeticFixedRows.lean.	Arithmetic/AxiomAudit.lean was expanded substantially, but formal/scripts/check_axioms.sh at the repaired head still invokes only RiemannFormal/AxiomAudit.lean and comparator/PrintAxioms/RH.lean.	UNRESOLVED_BLOCKER	Reviewer B headline axiom output is not part of the authoritative compiled audit.	BUILD_NOT_EXECUTED	Trust reconciliation must either wire the B print modules into the authoritative runner or run and retain them explicitly.	This is a mechanical trust-boundary defect, not a mathematical defect.
AXIOM-COVERAGE-001	Several B headline declarations were absent from direct #print axioms coverage.	Arithmetic/AxiomAudit.lean now prints rows 2/3, 5:3, renamed first-owner helper, label/parity fixtures, RN and normalization firewalls, role reconstruction boundary, half-divisor, wavelet helpers, K0/K1, and non-circular arithmetic input packages.	RESOLVED	Compilation and authoritative runner inclusion remain covered by BUILD-001 and AXIOM-RUNNER-001.	BUILD_NOT_EXECUTED	Accept the print-source inventory; do not yet accept compiled axiom output.	Comparator solution prints remain resident in comparator/PrintAxioms/ArithmeticFixedRows.lean.
FIRST-OWNER-001	firstOwner_eq_nativeEuler was a generic list recursion falsely named and mapped as the full labelled sequential first-owner theorem L-99601.	The declaration was replaced by scalarFirstOwnerExpansion_eq_finiteEulerProduct, its module text explicitly disclaims L-99601, B.tsv marks ARITH.SHARP.SEQUENTIAL_FIRST_OWNER BLOCKED_MATHEMATICS, and the blueprint marks the node notready.	RESOLVED_BY_HONEST_DOWNGRADE	Labelled occurrences, commuting shifts, complete future-prime products, accumulated parity, native normalization, and disjoint/exhaustive ownership remain unformalized.	BUILD_NOT_EXECUTED	Retain the generic scalar helper only; exclude the canonical first-owner theorem.	No overstrong canonical proof status remains.
SOURCE-ROLE-001	Role-indexed source types were presented too strongly even though public constructors permit coefficient extraction and reconstruction under another role.	Foundations.lean now states the exact limitation and exports rebuildAtRole plus rebuildAtRole_coefficient as an explicit witness that roles prevent implicit substitution but not provenance laundering.	RESOLVED_BY_HONEST_DOWNGRADE	A provenance-safe conclusion-facing source ledger remains unformalized.	BUILD_NOT_EXECUTED	Accept direct type separation only; exclude provenance preservation.	B.tsv conservatively blocks the complete ARITH.SOURCE.TYPING_FIREWALLS claim.
FIXED-MOVING-001	FixedArithmeticDetector and MovingArithmeticDetector did not encode independence from a hypothetical zero or proof horizon.	Foundations.lean now says data shape alone proves no quantifier order, defines MovingArithmeticDetector.QueryIndependent explicitly, and proves only that a fixed detector's constant moving presentation is query-independent.	RESOLVED_BY_HONEST_DOWNGRADE	Historical preselection/provenance of an externally supplied fixed detector is still an explicit semantic obligation.	BUILD_NOT_EXECUTED	Accept the explicit query-independence API; exclude any claim that the structure constructor itself proves fixedness in time.	No hidden quantifier upgrade remains in B's registry.
LABEL-PARITY-001	Parity and labelled-prime conventions were only skeletal and did not establish full occurrence ownership.	SourceIdentities.lean adds two distinct labels over prime 67, proves same-prime/distinct-label and accumulated parity fixtures, while explicitly leaving the full first-owner theorem blocked.	PARTIALLY_RESOLVED_WITH_EXCLUSION	Finite labelled subsets, unique ownership, complete future completion, and coefficient reconstruction remain excluded.	BUILD_NOT_EXECUTED	Accept the duplicate-label and parity fixtures only.	This partial result is source-locked as LOCAL_HELPER_PROVED.
RN-FIXTURE-001	The RN/raw-cutoff witness was a toy ratio rather than the reviewed (Y,Z,t)=(16,4,4) fixture.	SourceIdentities.lean now defines the SHARP target, rawSupportCutoff, and sharpRNDensity and proves parent=5, child=1, density=1/5, raw cutoff=1, their inequality, and the transport identity at (16,4,4).	RESOLVED	The full compact Hall moat and supported RN source theorem remain blocked separately.	BUILD_NOT_EXECUTED	Accept the exact hostile fixture and finite transport identity.	B.tsv does not promote the fixture to the full compact-Hall theorem.
RESPONSE-CAPACITY-001	Response/capacity typing used only a toy coefficient witness and risked promotion to a full source theorem.	The repaired branch builds typed ChildResponse and ChildCapacity objects from the exact (16,4,4) cell and proves their coefficients differ.	RESOLVED	Provenance-safe maps for arbitrary source trees remain excluded under SOURCE-ROLE-001.	BUILD_NOT_EXECUTED	Accept the exact finite response-versus-capacity fixture.	The full canonical source ledger stays BLOCKED_MATHEMATICS.
R-VS-2R2-001	The r versus 2r^2 firewall needed a quantified rather than merely representative statement.	SourceIdentities.lean proves nativeOnePrimeMagnitude r differs from parityContractedMagnitude r for every rational 0<r<1/2, retaining a representative exact witness.	RESOLVED	Embedding this scalar coefficient into every historical source tree is not claimed.	BUILD_NOT_EXECUTED	Accept the exact alpha-child coefficient refutation at its declared scalar scope.	B.tsv records REFUTED_FORMALIZED rather than a positive source theorem.
P-NORMALIZATION-001	The p^-1 versus p^-1/2 firewall was only the numeral fact 1/4 != 1/2.	SourceIdentities.lean defines normalizedPrimeActivity p=1/p and primeAmplitude p=1/sqrt(p) and proves strict inequality and non-equality for every real p>1.	PARTIALLY_RESOLVED_WITH_EXCLUSION	The full normalized-box operator identity I-p^-1 U_p versus I-p^-1/2 U_p and its source action are not formalized.	BUILD_NOT_EXECUTED	Accept the quantified scalar normalization separator only; exclude the complete normalized source operator theorem.	B.tsv blocks the full source-typing claim and B_SOURCE_LOCKS labels the scope precisely.
CONSUMER-001	fixed_native_subpower_negative_mass_implies_RH was circular because a consumes field already contained the desired implication and source data were unused.	The circular theorem and consumes field were removed. FixedDetectorAssembly.lean now exports only native source/detector/numerator packages and finite specification theorems; no Reviewer B theorem concludes RH.	RESOLVED_BY_HONEST_DOWNGRADE	Final A+B analytic composition, negative-mass estimate, Mellin identity, Landau theorem, multiplicity, defect, and reflection remain reconciliation inputs.	BUILD_NOT_EXECUTED	Accept B's non-circular arithmetic input packages; exclude an RH consumer theorem from this branch.	API.MELLIN.SUBPOWER_NEGATIVE_MASS is now BLOCKED_MATHEMATICS in B.tsv.
WAVELET-RATIO8-001	ratioEight_support proved only 2^3=8 while its name implied the canonical ratio-eight support theorem.	It was renamed dyadic_four_tap_index_span and the module, registry, source lock, and blueprint explicitly disclaim the canonical piecewise ratio-eight kernel.	RESOLVED_BY_HONEST_DOWNGRADE	Exact sqrt(2) taps, piecewise support, and endpoint conventions remain blocked.	BUILD_NOT_EXECUTED	Retain only the generic index-span helper.	ARITH.WAVELET.MINIMAL_RATIO8 remains BLOCKED_MATHEMATICS.
WAVELET-FACTOR67-001	factor67_antisymmetry contained no factor 67 or canonical piecewise kernel.	It was renamed affine_nuisance_sign_flip and the repaired prose explicitly states that no factor-67 theorem is asserted.	RESOLVED_BY_HONEST_DOWNGRADE	The actual factor-67 negative-copy identity remains unformalized.	BUILD_NOT_EXECUTED	Retain the generic affine cancellation helper only.	No overclaiming declaration name remains.
ABEL-MERTENS-001	finite_abel_mertens was generic summation by parts rather than the canonical compact Abel-Mertens wavelet frame.	It was renamed finite_sum_by_parts; B.tsv, B_SOURCE_LOCKS, module comments, and blueprint all mark the exact frame and endpoint assembly blocked.	RESOLVED_BY_HONEST_DOWNGRADE	Canonical wavelet/Mertens frame and endpoint conventions remain excluded.	BUILD_NOT_EXECUTED	Accept generic finite summation by parts only.	The semantic mapping is now conservative.
SAME-K1-001	sameK1Translation_coefficient was an identity wrapper rather than the reviewed L1(dX/X) largest-prime/Vaughan translation.	It was renamed sameKernelIdentity_coefficient; B.tsv removes the false old K0/K1 edge as a dependency and blocks the quantitative same-K1 theorem.	RESOLVED_BY_HONEST_DOWNGRADE	The actual L1(dX/X) translation theorem remains unformalized.	BUILD_NOT_EXECUTED	Retain only the type-preservation smoke test.	The historical false cross-kernel edge does not re-enter proved reachability.
