source_id	repository	commit_sha	path	git_blob_sha	inspection_scope	role	acquisition	status
SRC-P0	GettysburgResearch/riemann	8d16f8d9c475db290bc85e53d775b93b9bcdb336	AGENTS.md	0ad1dc2034c5d83e777343f77b41dcaf3683ef14	full file returned and inspected	review policy	GitHub connector text at exact ref; no local full-blob replay	INSPECTED_AT_PIN
SRC-P1	GettysburgResearch/riemann	8d16f8d9c475db290bc85e53d775b93b9bcdb336	docs/REVIEWING.md	de7a9b67e1332d825c1688db07a0887e324f5ccb	full file returned and inspected	review policy	GitHub connector text at exact ref; no local full-blob replay	INSPECTED_AT_PIN
SRC-P2	GettysburgResearch/riemann	8d16f8d9c475db290bc85e53d775b93b9bcdb336	canonical/2026-08-22/manifest.json	446aec7e1c6d7b1d40a7747f3c9b161d03efdad3	full file returned and inspected	release source boundary	GitHub connector text at exact ref; no local full-blob replay	INSPECTED_AT_PIN
SRC-C0	GettysburgResearch/riemann	e0d1cb976030048275b5c2cda4275341650a350c	reviews/C/pass3/COVERAGE.tsv	287b5e8169e7df0e46ba08f2ee4243b61de508de	full file returned and inspected	inherited coverage, not acceptance	GitHub connector text at exact ref; no local full-blob replay	INSPECTED_AT_PIN
SRC-C1	GettysburgResearch/riemann	e0d1cb976030048275b5c2cda4275341650a350c	reviews/C/pass2/FORMAL_CATALOG_AUDIT.tsv	1c8437c69188cac8e5b5d03e6cc87b10d14ae0d2	returned leading catalog rows only; response truncated; not fresh full 37-row review	historical catalog sample	GitHub connector text at exact ref; no local full-blob replay	INSPECTED_AT_PIN
SRC-C2	GettysburgResearch/riemann	e0d1cb976030048275b5c2cda4275341650a350c	reviews/C/CENSUS.tsv	7f3bae32843289e5079e0e8eb4f9da60122f77a0	lines 460-510 only: late PR/source/routing rows; not a full census refresh	inherited version pins and routing scope	GitHub connector text at exact ref; no local full-blob replay	INSPECTED_AT_PIN
SRC-X0	GettysburgResearch/riemann	8d16f8d9c475db290bc85e53d775b93b9bcdb336	formal/comparator/ChallengeDeps/RiemannComparatorChallengeDeps/XiPickOrderThreeConditional.lean	7d3dd6c98fd453d1810d80b0e1a39e2e4fbc7ab5	consecutive ranges 1-299 and 300-end; complete definitions	proof/source definition	GitHub connector text at exact ref; no local full-blob replay	INSPECTED_AT_PIN
SRC-X1	GettysburgResearch/riemann	8d16f8d9c475db290bc85e53d775b93b9bcdb336	formal/RiemannFormal/Operator/XiSourceSpecific.lean	da684227de5443511b60d1fafa0b1ccafa1883ee	1-270, 270-onward returned portion, and 500-end; overlapping full coverage	proof/source definition	GitHub connector text at exact ref; no local full-blob replay	INSPECTED_AT_PIN
SRC-X2	GettysburgResearch/riemann	8d16f8d9c475db290bc85e53d775b93b9bcdb336	formal/RiemannFormal/Operator/ReciprocalConcavity.lean	2f6604c5c3f4d7e0b18d047748d21b2701827aad	full file returned and inspected	proof/source definition	GitHub connector text at exact ref; no local full-blob replay	INSPECTED_AT_PIN
SRC-X3	GettysburgResearch/riemann	8d16f8d9c475db290bc85e53d775b93b9bcdb336	formal/RiemannFormal/Operator/PickAlgebra.lean	d19c19e0acb468bff19849cfebcdfbb8501e1b16	full file returned and inspected	proof/source definition	GitHub connector text at exact ref; no local full-blob replay	INSPECTED_AT_PIN
