review_id	packet_id	source_file_or_section	recommendation	exact_scope	remaining_condition_or_review
R1-JG-1	JG	PROOF.md	RETAIN_PAPER_SCOPE	All-scale all-time Jordan density at kappa>=2; strict pointwise positivity at kappa=2	Not critical-domain completeness; finish source attribution and supporting-file review
R1-JG-2	JG	REAL_AXIS.md	RETAIN_PAPER_SCOPE	Prime-deletion scalar margin for 0<s<=1	No completed critical Hardy intertwiner follows
R1-CSM-1	CSM	CONSTRUCTION.md	RETAIN_PAPER_SCOPE	Literal positive factorial source and its analytically continued Laplace transform	Analytic removable value; exact shifted parameters
R1-CSM-2	CSM	DOMAIN_AND_APPROXIMATION.md	RETAIN_PAPER_SCOPE	Closed cyclic source range with full Blaschke zero divisor; source-range isometry	Retain possible nonconstant inner factor
R1-CSM-3	CSM	DOMAIN_AND_APPROXIMATION.md	RETAIN_PAPER_SCOPE	Maximal multiplier domain and finite positive Grams	Maximal domain may differ from original source range; no all-H2 extension
R1-CD-1	CD	PROOF.md sections 1-6	RETAIN_PAPER_SCOPE	Ordinary compact inverse inputs; exact horizon and terminal balance	Do not replace compact inputs by Dirac distributions
R1-CD-2	CD	PROOF.md sections 1-6	RETAIN_IMPORTED_CONDITIONAL	Damped convergence and zero-forced complete output error	Keep unconditional b>1 separate from RH-conditional b>1/2; no endpoint substitution
R1-CD-3	CD	Numerical campaign	HOLD_REPLAY	Reported actual-source finite improvements	Producer primitives and complete tail not independently replayed in pass 1
R1-LC-1	LC	PROOF.md sections 2-3	RETAIN_PAPER_SCOPE	Logarithmic Friedrichs domain and constrained operator core at fixed L	Exact source perturbation and finite constraints; not original compact-block inverse
R1-LC-2	LC	PROOF.md sections 4-5	RETAIN_PAPER_SCOPE	Fixed family dense strong-residual range and simultaneous vanishing-width Schur enclosures	No uniform rate in L and no actual S_L sign
R1-LC-3	LC	PROOF.md section 6	RETAIN_PAPER_SCOPE	Existence/correctness of strict finite primitive certification procedure	Actual-W interval matrix engine not delivered or reviewed as implemented
R1-LC-4	LC	PROOF.md section 7.1	HOLD_INPUT_RECONCILIATION	RH-conditional strict effective matrix via compact-distribution uniqueness	Exact Littlewood/multiplicity source and parent adapter reconciliation in pass 2
R1-WP-1	WP	PROOF.md sections 1-8	RETAIN_PAPER_SCOPE	Conditional positive-extension proof for full complex L2 unit window and effective S1	Requires every stated finite coefficient and infinite-tail inequality
R1-WP-2	WP	certificate and interval implementation	HOLD_REPLAY	Claimed actual length-one positive certificate	Independently check 2049 coefficients; 256 phase classes; gamma and arithmetic primitives; full tail
