pr	focus	reviewed_sha	review_verdict	review_report	review_report_commit	cutoff_state	present_state	present_head	head_evidence	dependency_code	conflict_and_next_action	advisory_disposition
4	Cutoff-free Weil block bootstrap and D-0001 normalization	a02020fcfdd90a10fffe31f397f7cffeb8d6eed7	GAP/BLOCKED	reports/gpt56-08/2026-08-01-pre-public-review-prs-4-43.md	d1cf0320fb80dbe4d39e0e36d1c8af69bdcf3ff6	OPEN	OPEN (direct connector refresh 2026-08-02)		R_ONLY_PRESENT_HEAD_NOT_INDIVIDUALLY_REFRESHED	D0	Complete source/dictionary audit before any RH-level carrier import.	GAP/BLOCKED
19	Robin witness pipeline and CA reconnaissance	1c397d65d204c4a332a505ac7510121923c28fcc	VERIFIED WITH FIXES	reports/gpt56-08/2026-08-01-pre-public-review-prs-4-43.md	d1cf0320fb80dbe4d39e0e36d1c8af69bdcf3ff6	OPEN	OPEN (direct connector refresh 2026-08-02)		R_ONLY_PRESENT_HEAD_NOT_INDIVIDUALLY_REFRESHED	RB	Apply review-listed fixes, then review the repaired object.	FIX THEN MERGE
21	Literature/claim atlas and finite-witness kernels	2028e331486b2c4b9f0ab41cbbb85cc0bc48cfa4	VERIFIED WITH FIXES	reports/gpt56-08/2026-08-01-pre-public-review-prs-4-43.md	d1cf0320fb80dbe4d39e0e36d1c8af69bdcf3ff6	OPEN	OPEN (direct connector refresh 2026-08-02)		R_ONLY_PRESENT_HEAD_NOT_INDIVIDUALLY_REFRESHED	LT	Apply review-listed fixes, then review the repaired object.	FIX THEN MERGE
22	Li-coefficient search and certificate reductions	749ecfd0d2af53fa6eb8fdb786b7ad0c218cd462	VERIFIED	reports/gpt56-08/2026-08-01-pre-public-review-prs-4-43.md	d1cf0320fb80dbe4d39e0e36d1c8af69bdcf3ff6	OPEN	OPEN (direct connector refresh 2026-08-02)		R_ONLY_PRESENT_HEAD_NOT_INDIVIDUALLY_REFRESHED	LT	Extract the reviewed finite/conditional object at frozen scope.	MERGE CANDIDATE
23	Prime-power edge excursions in finite Weil matrices	c767c494c842680f6db7dd927b4e5aacd4dd2f4b	VERIFIED WITH FIXES	reports/gpt56-08/2026-08-01-pre-public-review-prs-4-43.md	d1cf0320fb80dbe4d39e0e36d1c8af69bdcf3ff6	OPEN	OPEN (direct connector refresh 2026-08-02)		R_ONLY_PRESENT_HEAD_NOT_INDIVIDUALLY_REFRESHED	LT	Apply review-listed fixes, then review the repaired object.	FIX THEN MERGE
24	Independent Robin barrier and canonical reduction	ae477857d036fc182adb8db4e34e846fde7931b3	VERIFIED	reports/gpt56-08/2026-08-01-pre-public-review-prs-4-43.md	d1cf0320fb80dbe4d39e0e36d1c8af69bdcf3ff6	OPEN	OPEN (direct connector refresh 2026-08-02)		R_ONLY_PRESENT_HEAD_NOT_INDIVIDUALLY_REFRESHED	RB	Extract the reviewed finite/conditional object at frozen scope.	MERGE CANDIDATE
27	Carrier-shifted compact-support Weil tests	814880e75639d78ffe88bf1aca340218936abeac	VERIFIED WITH FIXES	reports/gpt56-08/2026-08-01-pre-public-review-prs-4-43.md	d1cf0320fb80dbe4d39e0e36d1c8af69bdcf3ff6	OPEN	OPEN (direct connector refresh 2026-08-02)		R_ONLY_PRESENT_HEAD_NOT_INDIVIDUALLY_REFRESHED	D0	Apply review-listed fixes, then review the repaired object.	FIX THEN MERGE
30	Scalar-to-packet carrier bridge	e8d9a0d446308d7a179d354f4bb5c0cda698a779	VERIFIED WITH FIXES	reports/gpt56-08/2026-08-01-pre-public-review-prs-4-43.md	d1cf0320fb80dbe4d39e0e36d1c8af69bdcf3ff6	OPEN	OPEN (direct connector refresh 2026-08-02)		R_ONLY_PRESENT_HEAD_NOT_INDIVIDUALLY_REFRESHED	D0	Apply review-listed fixes, then review the repaired object.	FIX THEN MERGE
33	Cross-route certification and pruning lemmas	eed9b53ec995dfca119048eae060aab630f6065b	VERIFIED	reports/gpt56-08/2026-08-01-pre-public-review-prs-4-43.md	d1cf0320fb80dbe4d39e0e36d1c8af69bdcf3ff6	OPEN	OPEN (direct connector refresh 2026-08-02)		R_ONLY_PRESENT_HEAD_NOT_INDIVIDUALLY_REFRESHED	LT	Extract the reviewed finite/conditional object at frozen scope.	MERGE CANDIDATE
34	Canonical Robin certificate through 10^54	eda7ba6e378851ebe7ec1441b6503ba365eb0e35	VERIFIED WITH FIXES	reports/gpt56-08/2026-08-01-pre-public-review-prs-4-43.md	d1cf0320fb80dbe4d39e0e36d1c8af69bdcf3ff6	OPEN	OPEN (direct connector refresh 2026-08-02)		R_ONLY_PRESENT_HEAD_NOT_INDIVIDUALLY_REFRESHED	RB	Apply review-listed fixes, then review the repaired object.	FIX THEN MERGE
37	Complete-tail piecewise carrier scaling	79280f9524200d158d23d5a01091b58f272477f6	VERIFIED WITH FIXES	reports/gpt56-08/2026-08-01-pre-public-review-prs-4-43.md	d1cf0320fb80dbe4d39e0e36d1c8af69bdcf3ff6	OPEN	OPEN (direct connector refresh 2026-08-02)		R_ONLY_PRESENT_HEAD_NOT_INDIVIDUALLY_REFRESHED	D0	Apply review-listed fixes, then review the repaired object.	FIX THEN MERGE
38	xi'/xi passivity and CA support-line transfer	5c360c9202244051b27e2fc2a2b39bebe002e6d5	VERIFIED WITH FIXES	reports/gpt56-08/2026-08-01-pre-public-review-prs-4-43.md	d1cf0320fb80dbe4d39e0e36d1c8af69bdcf3ff6	OPEN	OPEN (direct connector refresh 2026-08-02)		R_ONLY_PRESENT_HEAD_NOT_INDIVIDUALLY_REFRESHED	XI	Apply review-listed fixes, then review the repaired object.	FIX THEN MERGE
40	Powered shared-budget Robin envelope	36148418ee5c6ce1c294f66a0fc75a258810f796	VERIFIED	reports/gpt56-08/2026-08-01-pre-public-review-prs-4-43.md	d1cf0320fb80dbe4d39e0e36d1c8af69bdcf3ff6	OPEN	OPEN (direct connector refresh 2026-08-02)		R_ONLY_PRESENT_HEAD_NOT_INDIVIDUALLY_REFRESHED	RB	Extract the reviewed finite/conditional object at frozen scope.	MERGE CANDIDATE
43	Right-side xi differential/Stieltjes witnesses	f0220189f99d3500b7b65742eea302c5a2d54a75	VERIFIED	reports/gpt56-08/2026-08-01-pre-public-review-prs-4-43.md	d1cf0320fb80dbe4d39e0e36d1c8af69bdcf3ff6	OPEN	OPEN (direct connector refresh 2026-08-02)		R_ONLY_PRESENT_HEAD_NOT_INDIVIDUALLY_REFRESHED	XI	Extract the reviewed finite/conditional object at frozen scope.	MERGE CANDIDATE
