candidate_semantic_id	source_pr	source_head_sha	source_path	source_claim_id	candidate_statement	why_in_scope	cross_status	evidence_needed	reviewer_c_d_handoff
CONSUMER.MELLIN.FIVE_THREE	649	433fd3662f7b2e4ba384ce64f196380e88624090	claims/lemmas/L-99261-five-three-row-zero-free-mellin-witness.md	L-99261	Fixed 5:3 scalar numerator is zero-free in Re(z)>0.	Explicit P0 overlap assignment; absent from Reviewer B registry.	MISSED_CLAIM_CANDIDATE	Exact algebra already light-replayable; add source path and open producer premise.	C/D should reconcile against Reviewer A's canonical scalar node.
Q4.PIG.CARRY_FOURIER_CORE	383	d764be15bd8ea902ad260484eab44d19a9e82175	claims/lemmas/L-90411-exact-carry-fourier-inverse-laplacian.md	L-90411	Fixed carry Gram has an exact Fourier/inverse-Laplacian form.	Older Q4 standalone mathematics inside declared remit.	MISSED_CLAIM_CANDIDATE	Controlling-correction audit and source-head reconstruction.	C should decide canonical standalone extraction.
Q4.PIG.HAAR_JORDAN_CORE	383	d764be15bd8ea902ad260484eab44d19a9e82175	claims/lemmas/L-90416-exact-bridge-haar-localization-of-pig.md;claims/lemmas/L-90417-complete-residue-carry-covariance-is-a-jordan2-gcd-square.md	L-90416/L-90417	Exact Haar localization and Jordan-2 GCD-square model.	Substantial local Q4/carry structure omitted by endpoint-only summary.	MISSED_CLAIM_CANDIDATE	Check duplicate numeric IDs and controlling corrections.	C/D should split exact identities from refuted endpoint transfer.
Q4.PIG.FOURTEEN_ROW_RENEWAL	383	d764be15bd8ea902ad260484eab44d19a9e82175	claims/lemmas/L-90427-phase-locked-source-has-fourteen-row-carry-image.md;claims/lemmas/L-90430-normalized-phase-filtered-mobius-renewal.md	L-90427/L-90430	Phase-locked source has finite fourteen-row image and one normalized Möbius renewal.	Direct Q4 finite-source standalone structure.	MISSED_CLAIM_CANDIDATE	Check column-one and factor-two corrections on the same head.	C/D should preserve only corrected versions.
Q4.FOURIER_GOLDBACH_NORMAL_FORM	386	66e60006bedbababefae22ad8f88f06753139a2b	claims/lemmas/L-90703-q4-innovation-is-singular-cosine-energy-and-goldbach-correlation.md	L-90703	Q4 innovation is exact singular cosine energy and weighted Goldbach correlation.	Standalone normal form and source-blind norm-loss firewall in declared remit.	MISSED_CLAIM_CANDIDATE	Exact replay and statement-to-use audit.	C should catalogue as local reduction/no-go.
Q4_HERMITE.ALL_SUBLINEAR_EXCESS	520	41db5f783c751e66c786f18fa7fbd6d9bf229a8d	claims/theorems/T-94051-all-sublinear-first-hermite-frontier.md	T-94051	Phase-locked Q4-Hermite hierarchy claims positivity beyond every prescribed sublinear excess over constant four.	Directly relevant to First-Hermite/Q4 separation and stronger than the listed (4-epsilon) wedge.	MISSED_CLAIM_CANDIDATE	Hostile reconstruction of growing-order gamma and prime-envelope estimates; do not inherit verifier status.	C/D should decide whether verified, gap-blocked or only candidate.
Q4.SCALE4.POSITIVE_DIVISOR_COMPILER	540	d2984600a848aca04f27b46bda86bd92229a4a0b	claims/lemmas/L-95050-scale-four-inverse-has-a-positive-coefficient-one-divisor-compiler.md;claims/refutations/R-95050-no-source-free-linear-transfer-from-a-log-derivative-to-its-reciprocal.md	L-95050/R-95050	Positive coefficient-one divisor compiler and exact boundary firewall.	Standalone source theorem/no-go in Q4 remit.	MISSED_CLAIM_CANDIDATE	Exact coefficient replay and capacity-scale scope audit.	C/D should extract local theorem, not closure.
Q4.PASSIVE_SCALE_STATE	563	c4cc65cccb3f13a6499506cf3c26bd521c455864	standalone/2026-08-17-q4-passive-state-half-derivative/PROOF_PACKET.md	L-95280--L-95282/R-95280	Exact passive scale state, compact boundary drive, Peano curvature and source-blind half-derivative no-go.	Named explicitly in Reviewer B's original remit but absent from freeze census.	MISSED_CLAIM_CANDIDATE	Split proof packet into exact internal claim paths or retain packet provenance.	C/D should reconcile before Q4 canonical extraction.
Q4.FINITE_ODD_CORE_PRECONDITIONER	573	0865242eb9dc0ed6094afc8a87a52b974c6f1307	claims/lemmas/L-95310-double-dyadic-preconditioning-makes-the-q4-odd-core-packet-finite.md;claims/lemmas/L-95311-the-finite-odd-core-packet-has-polylogarithmic-diagonal-energy.md	L-95310/L-95311	Safe preconditioning yields a finite odd-core packet with polylog diagonal.	Major predecessor of PR #580 and explicit remit candidate.	MISSED_CLAIM_CANDIDATE	Check stable inverse and no-go R-95310.	C/D should add genealogy and standalone results.
Q4.ONE_SIDED_MOMENT_COMPRESSION	595	e66a91166b80cbf0a520e3a78ea96582d263d563	claims/lemmas/L-95510-one-sided-subpower-sacf-is-the-minimal-q4-gate.md;claims/lemmas/L-95511-exact-bandwise-squarefree-moment-compression.md	L-95510/L-95511	Only upper SACF side is difficult; exact fifteen-moment compression.	Controls normalization between SACF and UOSACF; absent from Reviewer B census.	MISSED_CLAIM_CANDIDATE	Line-by-line normalization audit.	D should use this to repair Q4 graph.
