review_id	packet	source_commit	claim	recommendation	exact_scope	dependencies_or_open_boundary	review_evidence
P3-001	GCP	528b33ac8d57b5a046260ee45d585cd3fe720f4c	Root Green and secular constants	RECOMMEND_RETAIN_COMPONENT	Squarefree finite and fixed-finite-prime geometric reservoirs	Product reservoirs are not arbitrary integer cutoffs	Main proof; reviewer capacity reconstruction
P3-002	GCP	528b33ac8d57b5a046260ee45d585cd3fe720f4c	Sharp anchored log-log asymptotics	RECOMMEND_RETAIN_COMPONENT	All primes through P; distinct squarefree/geometric leading constants	Centered gaps remain constant; no PNT or RH claim	Main analytic proof
P3-003	GCP	528b33ac8d57b5a046260ee45d585cd3fe720f4c	Specified root-coupling Schur threshold	RECOMMEND_RETAIN_COMPONENT	Mean-zero form and the declared root functional	Actual Weil/Xi coupling not identified	Main proof; finite sign/Green controls
P3-004	GCP	528b33ac8d57b5a046260ee45d585cd3fe720f4c	Actual P13 capacity constants	FINITE_RECONSTRUCTION_PASSED	All 63 visible subsets in each reservoir; directed logarithms	Not author package replay or canonical tightening	checks.py capacity
P3-005	CCS	f782788933dc21a0fe6a844950f5ca532eba7d86	Squarefree anchoring overlap	RECOMMEND_SHARED_EXTRACTION	Same formula and asymptotic as GCP squarefree part	Not two independent discoveries or independent review votes	Both frozen manuscripts
P3-006	CCS	f782788933dc21a0fe6a844950f5ca532eba7d86	Root-killed survival and mean lifetime	RECOMMEND_RETAIN_COMPONENT	Finite product chain; stationary initialization and squared-norm weight	Not a stochastic model for actual primes	Main proof; rational Poisson control
P3-007	CCS	f782788933dc21a0fe6a844950f5ca532eba7d86	Native coherent projection and complete edge energy	RECOMMEND_RETAIN_COMPONENT	Literal stopped Mobius field; every prime power and full future	Complement estimate does not upper-bound coherent energy	COHERENT_SOURCE; checks.py work
P3-008	CCS	f782788933dc21a0fe6a844950f5ca532eba7d86	Subpower native signed work	OPEN_NOT_PROVED	One original source and unbounded cutoffs	Would feed zero-forced lower bound; graph does not supply it	COHERENT_SOURCE
P3-009	ANT	db175de165a9077e709b1cb482998171ffc0c6e7	Classical-scale full native residual upper bound	RECOMMEND_RETAIN_COMPONENT	Actual prefix and three jets; all sufficiently large integer Y	o(Y), not fixed power saving; Mertens/convexity imports	Main proof
P3-010	ANT	db175de165a9077e709b1cb482998171ffc0c6e7	Sharp graph-to-physical comparison order	RECOMMEND_RETAIN_COMPONENT	Uniform over fixed-ratio tail coefficients; sufficiently large Y	Theta(Y/log Y) cost; selected native minimizer not refuted	Main proof; exact null-jet panels
P3-011	ANT	db175de165a9077e709b1cb482998171ffc0c6e7	Complete variation-profile constant	FINITE_RECONSTRUCTION_PASSED	4095 exact cells plus full analytic tail	Variation constant only; not optimal adapter constant	checks.py ant
P3-012	HT	db175de165a9077e709b1cb482998171ffc0c6e7	Height-to-annulus continuum range	RECOMMEND_RETAIN_SOURCE_QUALIFIED	Specified external height and complete counting tail; X<=10^22	No new zero census or direct large prime scan	Main proof; elementary scalar interval controls
P3-013	HT	db175de165a9077e709b1cb482998171ffc0c6e7	Prime-square and higher-power accounting	RECOMMEND_RETAIN_COMPONENT	Exact annulus and given limiting normalization	Prime-only baseline must change; no arithmetic saving	Main proof
P3-014	AN	db175de165a9077e709b1cb482998171ffc0c6e7	Square-sampled compact-annulus criterion	RECOMMEND_RETAIN_SOURCE_QUALIFIED	Fixed noncancelling filter; all prime powers; eventual/all sample assertions as stated	Actual eventual arithmetic lower bound remains open	Main proof; finite D_m controls
P3-015	ES	db175de165a9077e709b1cb482998171ffc0c6e7	Positive completion stability countermodel	RECOMMEND_RETAIN_COMPONENT	Modified infinite source preserving specified finite/classical data	Not ordinary zeta; full Euler/divisor/functional identities not all retained	Main proof
P3-016	FM	db175de165a9077e709b1cb482998171ffc0c6e7	Fixed raw-moment counting obstruction	RECOMMEND_RETAIN_COMPONENT	Specified moment strategy and same source	Does not refute sparse-sign criterion or RH	PROOF_ATTEMPT
P3-017	PC	db175de165a9077e709b1cb482998171ffc0c6e7	Curvature and sample interpolation	RECOMMEND_RETAIN_COMPONENT	Full knot source and prescribed samples	Count lower exponent is not automatically positive density	Main proof
P3-018	SS	db175de165a9077e709b1cb482998171ffc0c6e7	Any fixed sparse-sign power saving criterion	RECOMMEND_RETAIN_SOURCE_QUALIFIED	Prescribed r=1,2 grids and fixed threshold; same spectral amplitude source	Power saving open; positive-density addendum needs attained edge	Main proof
P3-019	MC	db175de165a9077e709b1cb482998171ffc0c6e7	Balanced contour and complete high-frequency bound	RECOMMEND_RETAIN_SOURCE_QUALIFIED	Actual prefix and both jets; analytic square with zeta numerator	Low-frequency signed integral remains open	Main proof; source conventions
P3-020	MC	db175de165a9077e709b1cb482998171ffc0c6e7	Uniform absolute-majorant obstruction	RECOMMEND_RETAIN_COMPONENT	Admissible prefix/jet-preserving variations	Not an obstruction to a selected native signed estimate	Main proof
P3-021	CR	db175de165a9077e709b1cb482998171ffc0c6e7	Residue and completion rigidity	RECOMMEND_RETAIN_COMPONENT	Source cutoff and exact jet hypotheses	Fixed functional cannot be improved by optimizing within its jet class	Main proof; exact Laurent coefficients
P3-022	PR	db175de165a9077e709b1cb482998171ffc0c6e7	Full residual and finite-support positivity	RECOMMEND_RETAIN_COMPONENT	Every fixed finite balanced polynomial and complete future	Does not make all-support infimum positive	Main proof
P3-023	RN	db175de165a9077e709b1cb482998171ffc0c6e7	Derivative normalization bounded projection	RECOMMEND_RETAIN_COMPONENT	Explicit binary correction and permitted support enlargement	Squared norm cost 1/log2; idempotent not contraction	Main proof
P3-024	RN	db175de165a9077e709b1cb482998171ffc0c6e7	Tangent coercivity and finite conditioning	RECOMMEND_RETAIN_COMPONENT	Actual integer coefficients; orthonormal tangent coordinates	Conditioning does not bound target distance	Main proof
P3-025	RN	db175de165a9077e709b1cb482998171ffc0c6e7	Four complete two-jet minima	FINITE_RECONSTRUCTION_PASSED	Y=2,4,8,16; N=2Y; exact prefix and p(1)=0,p'(1)=1	Not nested fixed-prefix classes; no unbounded minimum bound	gram_checks.py rn
P3-026	RC	db175de165a9077e709b1cb482998171ffc0c6e7	Three complete one-jet minimum brackets	FINITE_RECONSTRUCTION_PASSED	Y=2,3,4; N=4Y; H=4096; p(1)=0 only	No derivative normalization or all-support infimum conclusion	rc_checks.py
P3-027	RC	db175de165a9077e709b1cb482998171ffc0c6e7	Tight numerical endpoint attribution	RECOMMEND_WORDING_REPAIR	Section 8's three brackets	Use separate minima of equation (18), not central (8) alone	Main proof section 8; result.json; fresh KKT
P3-028	DC	0f6ee91f1a8c8bece1618bde155d62fb0bfb4cad	Exact cutoff construction and complete tail	RECOMMEND_RETAIN_SOURCE_QUALIFIED	Specified higher-degree target and compact/stopped source domain	Not IE exponential target or old ramp; no norm smallness	CONSTRUCTION; TAIL_AND_DAMPING
P3-029	DC	0f6ee91f1a8c8bece1618bde155d62fb0bfb4cad	Rank-dependent Gram floor	RECOMMEND_RETAIN_COMPONENT	Declared finite family and complete source	Not rank-uniform; numerical practicality not established	GRAM_FLOOR
P3-030	DC	0f6ee91f1a8c8bece1618bde155d62fb0bfb4cad	Damping/source-domain distinction	RECOMMEND_RETAIN_COMPONENT	Old generator versus damped generator with commutator retained	Not a contraction on the unchanged source space	TAIL_AND_DAMPING
P3-031	MW	0f6ee91f1a8c8bece1618bde155d62fb0bfb4cad	Complete Lyapunov input work	RECOMMEND_RETAIN_COMPONENT	Literal four-state input; all stopped future	Input norm is not output norm	WORK_IDENTITY; checks.py work
P3-032	MW	0f6ee91f1a8c8bece1618bde155d62fb0bfb4cad	Actual cutoff-three positive signed work	FINITE_RECONSTRUCTION_PASSED	Directed constant greater than 1/20	Large N=65536 campaign still unreplayed	checks.py work
P3-033	MW	0f6ee91f1a8c8bece1618bde155d62fb0bfb4cad	Critical-zero input resonance	RECOMMEND_RETAIN_SOURCE_QUALIFIED	Classical existence of critical zero; full input norm	Bounded-input subsequence fails; bounded output not refuted	RESONANCE
P3-034	DO	602d7ddf9dbd2ba79bd6cada149772111ca72150	Complete dictionary, finite gain and leakage	RECOMMEND_RETAIN_COMPONENT	Full step-space source and every coefficient	Uniform relative full gain remains open	Main proof; full-Gram controls
P3-035	DO	602d7ddf9dbd2ba79bd6cada149772111ca72150	Missing squarefree dual separation	FINITE_RECONSTRUCTION_PASSED	Exact finite duals; index-five squared norm 52	Same Mellin common zeros do not imply same closed span	checks.py arithmetic
P3-036	BG	602d7ddf9dbd2ba79bd6cada149772111ca72150	Solved odd-detail problem	RECOMMEND_RETAIN_COMPONENT	Original detail relaxation and asymptotic	Not full residual optimum	Main proof; exact rational optimizers
P3-037	BG	602d7ddf9dbd2ba79bd6cada149772111ca72150	Failed actual 8-to-16 detail lift	FINITE_RECONSTRUCTION_PASSED	Full coarse correction optimized after detail choice	U8>delta8; does not disprove other full-gain strategies	gram_checks.py do_bg
P3-038	BG	602d7ddf9dbd2ba79bd6cada149772111ca72150	Nonzero full coefficient at index nine	FINITE_RECONSTRUCTION_PASSED	Actual finite N=16 optimum	Finite optimality is not asymptotic support necessity	gram_checks.py do_bg
P3-039	GT	602d7ddf9dbd2ba79bd6cada149772111ca72150	Full norm/operator transfers and growth classification	RECOMMEND_RETAIN_SOURCE_QUALIFIED	Specified finite source, norm and zero-edge regimes	Unknown Theta is not evaluated; retain conditional external lemma	Main proof; SOURCES
P3-040	GT	602d7ddf9dbd2ba79bd6cada149772111ca72150	Squarefree target versus ambient density	RECOMMEND_RETAIN_SOURCE_QUALIFIED	Classical conditional damped approximation and exact duals	Not ambient equality or raw strong convergence	Main proof; Baez-Duarte source check
