review_id	family	source_ids	source_sha	source_path	source_claim	verdict	scope	reason	required_action	proof_reference	extraction_destination
D3-U001	brownian_weil	S01	902a4cfeb36392c07878591e4a8381e3f4c7b2db	research/external/anthropic-zeta23/proofs/XI_CARDINAL_GRAM_CAPTURE.md	GC1-GC8: theta normalization and zero division	ACCEPT_COMPONENT	Actual Xi; each fixed zero and finite multiplicity	Theta inversion gives smooth even Phi; opposite-tail zero-resolvent formulas preserve every Gaussian derivative weight.	Retain the actual-zero condition at each division; no arbitrary resolvent tail claim.	R16	research/integrated/operator_no_go/XI_CARDINAL_DOMAIN.md
D3-U002	brownian_weil	S01	902a4cfeb36392c07878591e4a8381e3f4c7b2db	research/external/anthropic-zeta23/proofs/XI_CARDINAL_GRAM_CAPTURE.md	GC9-GC15: complete cardinal and Schur bound	ACCEPT_COMPONENT	Every finite distinct zero packet containing a fixed target pair	One global G-class source takes values 1,-1,0 on the full zero set; minimum-norm interpolation and Schur complement give the rank-one bound.	Keep target dependence, multiplicity, inherited metric and rank-one rather than scalar minimum-eigenvalue conclusion.	R16	research/integrated/operator_no_go/XI_CARDINAL_DOMAIN.md
D3-U003	brownian_weil	S01	902a4cfeb36392c07878591e4a8381e3f4c7b2db	research/external/anthropic-zeta23/proofs/XI_CARDINAL_GRAM_CAPTURE.md	GC16-GC30: compact and finite Gabor capture	ACCEPT_WITH_CLARIFICATION	Adaptable supports and finite mode blocks after each packet is chosen	Finite evaluation right inverses correct compact approximants; P-topology controls the complete unseen-zero sum.	State extension by zero of f/phi and permit support/mode count to grow after packet selection; do not transfer to an arbitrary predetermined grid.	R16	research/integrated/operator_no_go/XI_CARDINAL_DOMAIN.md
D3-U004	brownian_weil	S01	902a4cfeb36392c07878591e4a8381e3f4c7b2db	research/external/anthropic-zeta23/proofs/XI_CARDINAL_GRAM_CAPTURE.md	Cardinal range adapter to J_sigma	ACCEPT_COMPONENT	Every fixed sigma>0 and fixed modulation	Super-Gaussian derivatives imply (1-D^2)(q/w_sigma) is in L2; its image under J_sigma is q exactly.	Discharge the earlier cardinal-range dependency only; keep D-F11 normalization and arithmetic positivity open.	R16	research/integrated/operator_no_go/XI_CARDINAL_DOMAIN.md
D3-U005	q4	S02	d764be15bd8ea902ad260484eab44d19a9e82175	claims/lemmas/L-90427-phase-locked-source-has-fourteen-row-carry-image.md	L-90427.1-.9 and .16-.17	ACCEPT_COMPONENT	Finite carry rows and complete divisor source	Convolution reconstructs the five sparse coefficients; prefix average gives exactly fourteen nonzero rows and the mandatory u1 term.	Keep source-specific compression distinct from universal bounded rank.	fourteen_row_and_divisor_reconstruction; R19	research/integrated/q4/FOURTEEN_ROW_AND_RENEWAL.md
D3-U006	q4	S02	d764be15bd8ea902ad260484eab44d19a9e82175	claims/lemmas/L-90427-phase-locked-source-has-fourteen-row-carry-image.md	L-90427.14-.15 activation gauge	ACCEPT_WITH_REPAIR	All positive endpoints with log_+; printed expansion only X>=4	At X=1 all true sums vanish but the expanded gauge is negative. Positive-part logarithms give the correct finite-scale identity.	Explicitly restore X>=4 (or earlier X>=15) or use the all-endpoint gauge.	R19; D-F14	research/integrated/q4/FOURTEEN_ROW_AND_RENEWAL.md
D3-U007	q4	S03	d764be15bd8ea902ad260484eab44d19a9e82175	claims/lemmas/L-90430-normalized-phase-filtered-mobius-renewal.md	L-90430 centered symbol and renewal	ACCEPT_COMPONENT	Unit-circle symbol; renewal X>=16	Centered symbol is a real quadratic in cos(theta) with exact extrema; the two forcing moments give kappa_minus log(X/4).	Do not treat uncentered phase polynomial as positive or the divisor renewal as contractive.	centered_symbol_and_forcing	research/integrated/q4/FOURTEEN_ROW_AND_RENEWAL.md
D3-U008	q4	S05	193ca24d4ebecabb2c51efb62fa16c37947ad90c	claims/lemmas/L-95520-safe-zero-moment-tower-for-q4.md	L-95520 fixed moment tower	ACCEPT_COMPONENT	Each fixed integer M; zero extension below one	Binomial inverse and exact coefficient sum preserve polylog/subpower bounds with fixed order.	No varying-order extension; first-pass D-F01 remains binding.	fixed_filter_inverse_mass	research/integrated/q4/FIXED_FILTER_SCOPE.md
D3-U009	q4	S04	193ca24d4ebecabb2c51efb62fa16c37947ad90c	claims/refutations/R-95520-polylog-stable-filters-cannot-add-safe-line-zero.md	R-95520 interior-root inverse barrier	ACCEPT_WITH_CLARIFICATION	Fixed polynomial; prefix mass or coefficient limsup	An interior pole of 1/P forbids subexponential coefficient mass by its convergence radius; individual coefficients may vanish infinitely often.	Replace per-index exponential wording by radius/limsup or prefix-mass statement.	filter_radius_not_pointwise_growth	research/integrated/q4/FIXED_FILTER_SCOPE.md
D3-U010	q4	S06	d2984600a848aca04f27b46bda86bd92229a4a0b	claims/lemmas/L-95050-scale-four-inverse-has-a-positive-coefficient-one-divisor-compiler.md	L-95050 positive divisor compiler	ACCEPT_COMPONENT	Dirichlet series Re s>1; each integer n	Dyadic Euler factor gives g4 and Lambda4; logarithmic coefficient comparison normalizes a terminating proper-divisor Markov chain.	No additive carry-cost or global reciprocal transfer.	scale_four_positive_compiler	research/integrated/q4/POSITIVE_DIVISOR_COMPILER.md
