defect_id	defect	evidence	cross_verdict	severity	repair
QA-001	External propositions are name-only arbitrary Props	XiOrderThreeExternalInputs permits any six Props and the bundle is ignored by the finite proofs.	EXTERNAL_INPUT_NOT_LOCKED	High	Define exact propositions and verify source locks; reject inert external bundles.
QA-002	Repeated-node conclusion is assumed	actualXiPickOrderThreeConditional takes hrepeated returning the desired IsPSD3.	QA_FALSE_POSITIVE	High	Derive repeated-node PSD using equal node/value data and duplicate-row lemmas.
QA-003	Conditional comparator does not cover the registered headline	XiPickOrderThreeConditional challenge is ordered-distinct only; C_OPERATOR_QA marks OPERATOR.XI.PICK_ORDER3 comparator_checked=true.	QA_FALSE_POSITIVE	High	Comparator must match actualXiPickOrderThreeConditional including repeated-node behavior, or map it to a distinct semantic ID.
QA-004	Source-specific one-orbit theorem mapped to a generic assumed-payment lemma	C.tsv marks ONE_ORBIT PROVED although L-92101 cross formula/epsilon/high-orbit bound are absent.	STATEMENT_MISMATCH	High	Split generic API from source theorem and downgrade full semantic row.
QA-005	Manual evidence booleans are trusted	check_statement_sources.py validates that booleans equal true but does not derive source_locked/comparator_checked/axiom_audited.	QA_FALSE_POSITIVE	High	Derive each evidence flag from exact files and machine outputs.
QA-006	Axiom audit is not registry-complete by construction	check_axioms.sh discovers #print lines, but no script proves every C.tsv headline appears among them.	QA_FALSE_POSITIVE	Medium	Generate axiom audit declarations from C.tsv or compare the two sets fail-closed.
QA-007	Declaration existence check is leaf-name regex only	verify_declaration_map.py searches theorem leaf in the named module and does not inspect fully qualified namespace or type.	QA_FALSE_POSITIVE	Medium	Use Lean environment introspection and compare full declaration names/types.
QA-008	External bibliographic source lock conflated with canonical source provenance	QA report source_locked=true only because canonical SHA/path matches; no high-zero source theorem is locked.	EXTERNAL_INPUT_NOT_LOCKED	High	Separate scientific claim provenance from every external analytic input lock.
QA-009	Inert hypotheses are not detected	_external is unused in actualXi reciprocal/companion/reserve proofs and only forwarded in finite order-three proof.	QA_FALSE_POSITIVE	High	Add lints/audit ensuring each claimed external input participates in a concrete bridge theorem.
QA-010	Build evidence absent	No workflow run/status is visible for PR #735 or the exact-head CI probe; local environment lacks Lean/cache access.	BUILD_FAILURE	High	Require successful full frozen-head build, comparator builds, scripts, and archived axiom output.
QA-011	Challenge placeholder boundary is statically correct	Exactly three sorry occurrences are in the three Challenge files; Solution, ChallengeDeps and RiemannFormal patches contain none.	FORMALLY_VERIFIED	None	Retain current boundary and verify in successful CI.
QA-012	No custom axiom/opaque/unsafe declaration found in the target patch	Static patch scan found no declaration; check_no_sorry.sh is designed to reject line-start axiom/opaque in trusted targets.	FORMALLY_VERIFIED_WITH_FIXES	Low	Confirm with successful full-tree script and axiom output.
