reviewer	relative_path	bytes	sha256
A	raw/A/00_freeze_initial.log	394	f49faed18c5d67232126fab2c988150b4e1e9474589cb411eb331008727931d4
A	raw/A/01_tool_versions.log	414	81a82f5bb8454309fc2de4a70f9ebc93323efe4ec6296789ef03e9c6b8fd90db
A	raw/A/02_formal_tool_versions.log	193	97c924f7fd0af36ea652eb46b0864d769096110eaf45a452baac931f6ef56514
A	raw/A/03_static_trust_scan.log	191	783f35078946e2f26da8f94fbea5f8fa10187ef33e5ef71e140275f1a72f6b68
A	raw/A/04_static_axiom_inventory.log	4584	5705a420a0265ff2a062806d901d31dd7401dcc51614cde82a1ec444f3a3c743
A	raw/A/05_manifest_packages.log	1609	c601d89b1978219825708272346e526afb3f1a62eb5c0e5961756727ec66f60e
A	raw/A/06_changed_files_from_base.log	1405	401d29b60dd7cf02017e7c17f938224306765860e71a4d4418a540e54d8adb19
A	raw/A/10_lake_exe_cache_get.log	3061	fb4eebfc4ef723b37bcd7def6453be5a08f45071dcfa38c73feb3fe4977b0e46
A	raw/A/11_lake_exe_cache_get_retry.log	257	a7e8b30f0ded5f9213a297f27e5cfe8e24bc0e3ab382ef818a27b6f694aa6e83
A	raw/A/12_lake_build.log	21133	b84f0b2aa2e6add6973de01000c014d755453a16cf96ef9f527af32900522d00
A	raw/A/13_generate_registry.log	53	86ceb75d0fd3cafbec014a0c3f765f20aa9be91f95edd44c1fc1204f1fb15523
A	raw/A/14_validate_registry.log	72	92c20b00c724cb2213190017fc4eb005f26ef84585f553091de9cf68275e448e
A	raw/A/15_verify_source_locks.log	87	885ec2faac089180188f521d8f26a00dbd9b7c65360c446642bf294366c25138
A	raw/A/16_validate_blueprint.log	44	322b4eb9eaa6095e089648da52013f9507cc649217ff5b895658ec566611b8b1
A	raw/A/17_check_no_sorry.log	38	98edc20750ffa9fb2ea2d47922938c797a9d5b1be9131b18bab2f9b673e23e2f
A	raw/A/18_check_axioms.log	203	d9e03aa2f95bb8261d6a7c912a336c5a6adf992ac31c1aebade821f692c7e3e5
A	raw/A/19_lake_build_Challenge_MellinAPI.log	3361	428c91414d574610acc01801b2b6c322e3cbc7670cb31463848f4f294b20de25
A	raw/A/20_lake_build_Solution_MellinAPI.log	3361	84b90d8a3d6b6a6ed739cd7c82aa4a490d4c29be059638d32e5e4661cc35aa16
A	raw/A/21_run_validation.log	15202	5e4c17d466af27f61f2b599543fa38c705005436da26850d3589b185d86770fa
A	raw/A/22_lean_Analysis_AxiomAudit.log	250	b2283ea1f6bec94b14b17a10b69e0ca0578f487388b96bee9f552ad187b542f1
A	raw/A/23_lean_PrintAxioms_MellinAPI.log	1520	0ec8bffb1eeb33f08f01e9af546b4207aadf4697514f6967ed7b9bde5711ebda
A	raw/A/24_lean_PrintAxioms_RH.log	1513	dc2ec23bbf379b50520030f2b337be3eaffd8cae1dd66e9222d697cd59415054
A	raw/A/25_lake_build_root_Challenge_MellinAPI.log	3361	9d8b89fc82a8a89e3fab1f64bc313a577cfa8bf46ddcc5578e53a1d73eaaeb39
A	raw/A/26_lake_build_root_ChallengeDeps_MellinAPI.log	3089	9ea38b399a0c9ad21972dff5746c39ba169ddc7e53a2c6c7e5851f7b61eb7805
A	raw/A/27_lake_build_root_Solution_MellinAPI.log	3361	2c4e84e70622c0fb1e6cfc463ea7abeed774fa44f213d9f1d5fc961823a4eded
A	raw/A/99_freeze_final.log	395	53b4bf15ebd386330316b5fb99c55f73d992f3f317122a84c02aa866b2e2c19e
B	raw/B/00_initial_git_status.log	34	38d190766e7ddf9b48928d5a0998521ebc1aeb717f11f6a7e77030af23b50e79
B	raw/B/01_freeze_metadata.log	1067	885e700816b3eaca37c45d0504ba876c9d981454d708b0e85e88bfa5373790e0
B	raw/B/02_tool_versions.log	715	529f972ed9354cd01da20f1dbfa921f666e7685e0854b9d8ed43cbb9c6c38374
B	raw/B/03_dependency_checkout_heads.log	2385	b926dbc66bcf856354a70c535ebec78d8b0ac34cd7dd792b1221388c47e9d8ef
B	raw/B/04_bootstrap_ancestry.log	66	dba2e586698cc7e1881a9abef27c9ec11ff4f4034fe988c32d55ccdf6a57663f
B	raw/B/05_committed_blob_sha256.log	193	7d4f74a9ac1baf6c3636ed3d8bd6dc8497e98e57eb8a864f9992574c0ac75ba4
B	raw/B/10_lake_exe_cache_get.log	52442	15c63d0bb51938b7089600a9ba943a268392f247e3b0d184b98a2b72338e23d0
B	raw/B/11_lake_build.log	15053	f55f98e28456d842c37e581eb47c55b3c586f9ff2ee1a8601964db1d1c8bee44
B	raw/B/12_generate_registry.log	67	c49f53eb5a76a36685a2685eb3f67183d3ef12e0e041a3a69c6ef98b18f28694
