claim_id	source_ids	source_commits	source_paths	source_claim	exact_scope	verdict	dependencies	evidence	required_repair	proposed_destination	formal_execution	independence
C4-M1	SRC-M0;SRC-M3	8d16f8d9c475db290bc85e53d775b93b9bcdb336	formal/RiemannFormal/Analysis/Foundations.lean;formal/RiemannFormal/Analysis/SingularityTransfer.lean	NonremovableAt; fixed_holomorphic_defect_transfer	Total-function nonanalyticity is weaker than punctured nonextendibility; existing full-equality transfers survive	SCOPE_REPAIR_REQUIRED	analytic inverse of a nonvanishing germ	proofs/MELLIN_ANALYTIC_GAPS.md#M1	Use a new punctured-germ predicate for germ-only identities; do not globally reject valid existing proofs	new analytic predicate and transfer lemma, separately reviewed	NOT_COMPILED	fresh C-successor reconstruction; no independent endorsement of own A or #793 work
C4-M2	SRC-M1	8d16f8d9c475db290bc85e53d775b93b9bcdb336	formal/RiemannFormal/Analysis/MellinAPI.lean	TailMellinConvergent; tailMellin	All complex derivatives on every compact strictly inside the half-plane of absolute tail convergence	PAPER_PROOF_RECONSTRUCTED	local integrability; weighted absolute integrability; dominated convergence	proofs/MELLIN_ANALYTIC_GAPS.md#M2	Implement weighted domination in Lean; retain exact lower endpoint and exponent	formal analytic lemma, new identity	NOT_COMPILED	fresh C-successor reconstruction; no independent endorsement of own A or #793 work
C4-M3	SRC-M2	8d16f8d9c475db290bc85e53d775b93b9bcdb336	formal/RiemannFormal/Analysis/LandauConsumer.lean	MellinLandauBoundarySingularity	Every locally integrable eventual nonnegative tail with finite real abscissa has no analytic extension across that real boundary	PAPER_PROOF_RECONSTRUCTED	C4-M2; compact-head analyticity; positive Taylor coefficients; Tonelli	proofs/MELLIN_ANALYTIC_GAPS.md#M3	Compile the exact existing Prop using the proof; not an unconditional detector claim	new Lean implementation of exact Landau interface	NOT_COMPILED	fresh C-successor reconstruction; no independent endorsement of own A or #793 work
C4-M4	SRC-M2	8d16f8d9c475db290bc85e53d775b93b9bcdb336	formal/RiemannFormal/Analysis/LandauConsumer.lean	SubpowerNegativeMassHolomorphy	Subpower logarithmic negative mass implies absolute convergence and holomorphy on Re(s)>0, locally uniformly with all derivatives	PAPER_PROOF_RECONSTRUCTED	local integrability; every epsilon subpower hypothesis; dyadic domination	proofs/MELLIN_ANALYTIC_GAPS.md#M4	Implement in Lean; preserve epsilon, constant, threshold and compact dependence	new Lean implementation of negative-mass holomorphy	NOT_COMPILED	fresh C-successor reconstruction; no independent endorsement of own A or #793 work
C4-M5	SRC-M4	8d16f8d9c475db290bc85e53d775b93b9bcdb336	formal/RiemannFormal/Analysis/FixedDetectorConsumer.lean	hContinuationExtension	Initial equality extends to the full connected right half-plane under the core analyticity and convergence fields	PAPER_PROOF_RECONSTRUCTED	C4-M2; identity theorem; existing core hypotheses	proofs/MELLIN_ANALYTIC_GAPS.md#M5	Replace adapter argument only after compilation; do not drop core construction	fixed-source identity extension lemma	NOT_COMPILED	fresh C-successor reconstruction; no independent endorsement of own A or #793 work
C4-M6	SRC-M4;SRC-U1	8d16f8d9c475db290bc85e53d775b93b9bcdb336	formal/RiemannFormal/Analysis/FixedDetectorConsumer.lean;formal/RiemannFormal/Upstream/Zeta23Bridge.lean	ShiftedReciprocalPoleOrder	Nonzero affine coordinate preserves finite zero/pole multiplicity; shifted reciprocal has order -m	PAPER_PROOF_RECONSTRUCTED	analytic local factorization; pinned multiplicity interpretation	proofs/MELLIN_ANALYTIC_GAPS.md#M6	Compile affine composition adapter; audit transitive Zeta23 proof separately	new affine meromorphic-order adapter	NOT_COMPILED	fresh C-successor reconstruction; no independent endorsement of own A or #793 work
C4-M7	SRC-M4;SRC-M5	8d16f8d9c475db290bc85e53d775b93b9bcdb336	formal/RiemannFormal/Analysis/FixedDetectorConsumer.lean;formal/RiemannFormal/Analysis/Reflection.lean	fixedDetector_negativeMass_implies_RH	Fixed meromorphic detector criterion with open subpower arithmetic premise, also handling abscissa minus infinity	CONDITIONAL_PAPER_PROOF	C4-M2;C4-M3;C4-M4; fixed source germ; zero localization/reflection; open negative mass	proofs/MELLIN_ANALYTIC_GAPS.md#M7	Assign generalized criterion new identity; keep native estimate open	new conditional consumer, not RH theorem without premises	NOT_COMPILED	fresh C-successor reconstruction; no independent endorsement of own A or #793 work
C4-M8	SRC-M4;SRC-U0	8d16f8d9c475db290bc85e53d775b93b9bcdb336;51e6992efd06126df61a496bebf8f49482a4e129	formal/RiemannFormal/Analysis/FixedDetectorConsumer.lean;Mathlib/NumberTheory/LSeries/RiemannZeta.lean	shiftedReciprocalZeta	At the zeta pole use analytic reciprocal value zero or prove assigned total value compatibility	NORMALIZATION_REPAIR_CONTRACT	C4-X1; actual gamma/xi identity off exceptional points	proofs/MELLIN_ANALYTIC_GAPS.md#M8	Audit the real half-node separately; no unevaluated zeta(1) assertion is made	new meromorphic reciprocal definition/bridge	NOT_COMPILED	fresh C-successor reconstruction; no independent endorsement of own A or #793 work
C4-M9	SRC-M5	8d16f8d9c475db290bc85e53d775b93b9bcdb336	formal/RiemannFormal/Analysis/Reflection.lean	functionalEquationReflection_closes_RH	Right-side exclusion and full admissible-zero reflection imply exact Mathlib RH	CONDITIONAL_ASSEMBLY_SUPPORTED	RHAdmissibleZero convention; supplied reflection and right-side exclusion	proofs/MELLIN_ANALYTIC_GAPS.md#M7	No repair to finite assembly; reflect/open-strip inputs still need proof terms	retain exact conditional reflection lemma	NOT_COMPILED	fresh C-successor reconstruction; no independent endorsement of own A or #793 work
C4-M10	SRC-U1	8d16f8d9c475db290bc85e53d775b93b9bcdb336	formal/RiemannFormal/Upstream/Zeta23Bridge.lean	projectRiemannZeta_meromorphicOrderAt_eq_zeroMultiplicity; zeta23_riemannVonMangoldt	Local adapter uses finite analytic multiplicity; RvM still receives GammaFacts; imported Weil theorem is not rederived here	IMPORT_BOUNDARY_RETAINED	Zeta23 closed seam; Mathlib analytic order; GammaFacts for RvM	proofs/MELLIN_ANALYTIC_GAPS.md#M6	Fresh upstream build and proof review required for stronger acceptance	retain typed import dependencies	NOT_COMPILED	fresh C-successor reconstruction; no independent endorsement of own A or #793 work
C4-X1	SRC-X0;SRC-U0	8d16f8d9c475db290bc85e53d775b93b9bcdb336;51e6992efd06126df61a496bebf8f49482a4e129	formal/comparator/ChallengeDeps/RiemannComparatorChallengeDeps/XiPickOrderThreeConditional.lean;Mathlib/NumberTheory/LSeries/RiemannZeta.lean	riemannXi; centeredXi; completedRiemannZeta_eq	Entire xi formula has removable values 1/2, agrees with raw product off 0,1, and has functional equation	PROPOSED_REPAIR_PROOF	pinned differentiable completedRiemannZeta0 and reflection; algebra	proofs/XI_SOURCE_REPAIR.md#X1	Replace shared definition and all consumers under new reviewed identity; compile candidate	reviewed normalization repair; lean/EntireXiRepair.lean candidate	NOT_COMPILED	fresh C-successor reconstruction; no independent endorsement of own A or #793 work
C4-X2	SRC-X0	8d16f8d9c475db290bc85e53d775b93b9bcdb336	formal/comparator/ChallengeDeps/RiemannComparatorChallengeDeps/XiPickOrderThreeConditional.lean	ActualXiOrderThreeInputs.diagonalPositive	Old node at x=1/2 is exactly zero; strict positive headline input is empty	CONFIRMED_SOURCE_DEFECT	total complex division; raw product at s=1	proofs/XI_SOURCE_REPAIR.md#X1	Do not count old conditional endpoint as inhabited actual-Xi theorem	hold five affected canonical actual-Xi endpoints	NOT_COMPILED	fresh C-successor reconstruction; no independent endorsement of own A or #793 work
C4-X3	SRC-U0	51e6992efd06126df61a496bebf8f49482a4e129	Mathlib/NumberTheory/LSeries/RiemannZeta.lean	module overview versus completedRiemannZeta_eq	Overview signs disagree with declaration body; repair uses declaration, not overview	DOCUMENTATION_MISMATCH	direct body reading at pinned Mathlib revision	proofs/XI_SOURCE_REPAIR.md#X1	Source lock exact declaration; upstream prose correction optional separate work	upstream citation note, not mathematical axiom	NOT_COMPILED	fresh C-successor reconstruction; no independent endorsement of own A or #793 work
C4-X4	SRC-X0	8d16f8d9c475db290bc85e53d775b93b9bcdb336	formal/comparator/ChallengeDeps/RiemannComparatorChallengeDeps/XiPickOrderThreeConditional.lean	GroupedActualXiC2Expansion.offLineEnumeration	Nat to off-line orbit injective enumeration excludes empty and finite off-line spectra independently of normalization	CONFIRMED_SOURCE_DEFECT	evaluation at 0; elementary cardinality	proofs/XI_SOURCE_REPAIR.md#X2	Use arbitrary countable index with finite exhaustion or optional padding	new source enumeration contract	NOT_COMPILED	fresh C-successor reconstruction; no independent endorsement of own A or #793 work
C4-X5	SRC-X0	8d16f8d9c475db290bc85e53d775b93b9bcdb336	formal/comparator/ChallengeDeps/RiemannComparatorChallengeDeps/XiPickOrderThreeConditional.lean	offLineComplete; otherCriticalComplete; orbits	Individual field equivalences do not alone ensure exhaustive actual source, unique mixed list, or selected-reserve disjointness	FIELD_CONTRACT_GAP	literal definitions; not a countermodel to the full already-empty input	proofs/XI_SOURCE_REPAIR.md#X2	Specify bijection to actual locations, analytic multiplicity and disjointness explicitly	source-completeness contract	NOT_COMPILED	fresh C-successor reconstruction; no independent endorsement of own A or #793 work
C4-X6	SRC-X1	8d16f8d9c475db290bc85e53d775b93b9bcdb336	formal/RiemannFormal/Operator/XiSourceSpecific.lean	ReserveTailInputs; numericalBudget	Coarse upper counting bound implies reciprocal-square tail; H>=1024 gives total reserve at most 297/512	CONDITIONAL_PAPER_PROOF	upper-zero counting N+(T)<=T log T for all T>=H; Stieltjes integration	proofs/XI_SOURCE_REPAIR.md#X3	Bind all-height count input; scalar inequality can be internalized	tail lemma plus exact numerical budget	NOT_COMPILED	fresh C-successor reconstruction; no independent endorsement of own A or #793 work
C4-X7	SRC-X0;SRC-X1	8d16f8d9c475db290bc85e53d775b93b9bcdb336	formal/comparator/ChallengeDeps/RiemannComparatorChallengeDeps/XiPickOrderThreeConditional.lean;formal/RiemannFormal/Operator/XiSourceSpecific.lean	GroupedActualXiC2Expansion value/first/second limits	Absolute derivative tails give C2 on all t>=0 for the repaired countable spectrum	PROPOSED_REPAIR_PROOF	summable m/gamma^2 and m/b^2; H>=1024; complete fixed indexing	proofs/XI_SOURCE_REPAIR.md#X4	Construct formal C2 terms for repaired index; not sign continuation from t>1/4	new full-positive-domain source expansion	NOT_COMPILED	fresh C-successor reconstruction; no independent endorsement of own A or #793 work
