pr	title	family	head_status	current_disposition	reason_for_pass2	priority	recommended_work	heavy_policy	notes
374	[DESCRIPTIVE] August 11 scientific cutoff integration	older_dependency_or_review	UNRESOLVED_OR_NOT_APPLICABLE	ADMINISTRATIVE_TEST	EXACT_HEAD_RECOVERY_OR_SHA_REPAIR	P2_MISC	recover exact current head/title; read controlling PR body and exact source path; assign first broken arrow; inspect retained computation provenance only	HEAVY_CAMPAIGN_NOT_RE_RUN	Exact current PR head was not pinned from the frozen connector extract; no SHA was guessed.
377	[DESCRIPTIVE] August cutoff correction packet	factor54_endpoint_operator_genealogy	UNRESOLVED_OR_NOT_APPLICABLE	ADMINISTRATIVE_TEST	EXACT_HEAD_RECOVERY_OR_SHA_REPAIR	P2_MISC	recover exact current head/title; read controlling PR body and exact source path; assign first broken arrow; inspect retained computation provenance only	HEAVY_CAMPAIGN_NOT_RE_RUN	Exact current PR head was not pinned from the frozen connector extract; no SHA was guessed.
378	[UNPINNED TITLE] PR #378 — factor54 endpoint operator genealogy	factor54_endpoint_operator_genealogy	UNRESOLVED_OR_NOT_APPLICABLE	TARGETED_REVIEW_STILL_REQUIRED	THEOREM_GENEALOGY_REVIEW;EXACT_HEAD_RECOVERY_OR_SHA_REPAIR	P2_EARLY_POST_CUTOFF_OPERATOR_HEAT	recover exact current head/title; read controlling PR body and exact source path; assign first broken arrow; inspect retained computation provenance only	HEAVY_CAMPAIGN_NOT_RE_RUN	Exact current PR head was not pinned from the frozen connector extract; no SHA was guessed. Literal GitHub title not pinned; descriptive family label used.
379	[UNPINNED TITLE] PR #379 — factor54 endpoint operator genealogy	factor54_endpoint_operator_genealogy	UNRESOLVED_OR_NOT_APPLICABLE	TARGETED_REVIEW_STILL_REQUIRED	THEOREM_GENEALOGY_REVIEW;EXACT_HEAD_RECOVERY_OR_SHA_REPAIR	P2_EARLY_POST_CUTOFF_OPERATOR_HEAT	recover exact current head/title; read controlling PR body and exact source path; assign first broken arrow; inspect retained computation provenance only	HEAVY_CAMPAIGN_NOT_RE_RUN	Exact current PR head was not pinned from the frozen connector extract; no SHA was guessed. Literal GitHub title not pinned; descriptive family label used.
380	[UNPINNED TITLE] PR #380 — factor54 endpoint operator genealogy	factor54_endpoint_operator_genealogy	UNRESOLVED_OR_NOT_APPLICABLE	TARGETED_REVIEW_STILL_REQUIRED	THEOREM_GENEALOGY_REVIEW;EXACT_HEAD_RECOVERY_OR_SHA_REPAIR	P2_EARLY_POST_CUTOFF_OPERATOR_HEAT	recover exact current head/title; read controlling PR body and exact source path; assign first broken arrow; inspect retained computation provenance only	HEAVY_CAMPAIGN_NOT_RE_RUN	Exact current PR head was not pinned from the frozen connector extract; no SHA was guessed. Literal GitHub title not pinned; descriptive family label used.
381	[UNPINNED TITLE] PR #381 — factor54 endpoint operator genealogy	factor54_endpoint_operator_genealogy	UNRESOLVED_OR_NOT_APPLICABLE	TARGETED_REVIEW_STILL_REQUIRED	THEOREM_GENEALOGY_REVIEW;EXACT_HEAD_RECOVERY_OR_SHA_REPAIR	P2_EARLY_POST_CUTOFF_OPERATOR_HEAT	recover exact current head/title; read controlling PR body and exact source path; assign first broken arrow; inspect retained computation provenance only	HEAVY_CAMPAIGN_NOT_RE_RUN	Exact current PR head was not pinned from the frozen connector extract; no SHA was guessed. Literal GitHub title not pinned; descriptive family label used.
382	[UNPINNED TITLE] PR #382 — factor54 endpoint operator genealogy	factor54_endpoint_operator_genealogy	UNRESOLVED_OR_NOT_APPLICABLE	TARGETED_REVIEW_STILL_REQUIRED	THEOREM_GENEALOGY_REVIEW;EXACT_HEAD_RECOVERY_OR_SHA_REPAIR	P2_EARLY_POST_CUTOFF_OPERATOR_HEAT	recover exact current head/title; read controlling PR body and exact source path; assign first broken arrow; inspect retained computation provenance only	HEAVY_CAMPAIGN_NOT_RE_RUN	Exact current PR head was not pinned from the frozen connector extract; no SHA was guessed. Literal GitHub title not pinned; descriptive family label used.
384	[UNPINNED TITLE] PR #384 — factor54 endpoint operator genealogy	factor54_endpoint_operator_genealogy	UNRESOLVED_OR_NOT_APPLICABLE	TARGETED_REVIEW_STILL_REQUIRED	THEOREM_GENEALOGY_REVIEW;EXACT_HEAD_RECOVERY_OR_SHA_REPAIR	P2_EARLY_POST_CUTOFF_OPERATOR_HEAT	recover exact current head/title; read controlling PR body and exact source path; assign first broken arrow; inspect retained computation provenance only	HEAVY_CAMPAIGN_NOT_RE_RUN	Exact current PR head was not pinned from the frozen connector extract; no SHA was guessed. Literal GitHub title not pinned; descriptive family label used.
385	[UNPINNED TITLE] PR #385 — factor54 endpoint operator genealogy	factor54_endpoint_operator_genealogy	UNRESOLVED_OR_NOT_APPLICABLE	TARGETED_REVIEW_STILL_REQUIRED	THEOREM_GENEALOGY_REVIEW;EXACT_HEAD_RECOVERY_OR_SHA_REPAIR	P2_EARLY_POST_CUTOFF_OPERATOR_HEAT	recover exact current head/title; read controlling PR body and exact source path; assign first broken arrow; inspect retained computation provenance only	HEAVY_CAMPAIGN_NOT_RE_RUN	Exact current PR head was not pinned from the frozen connector extract; no SHA was guessed. Literal GitHub title not pinned; descriptive family label used.
387	[UNPINNED TITLE] PR #387 — factor54 endpoint operator genealogy	factor54_endpoint_operator_genealogy	UNRESOLVED_OR_NOT_APPLICABLE	TARGETED_REVIEW_STILL_REQUIRED	THEOREM_GENEALOGY_REVIEW;EXACT_HEAD_RECOVERY_OR_SHA_REPAIR	P2_EARLY_POST_CUTOFF_OPERATOR_HEAT	recover exact current head/title; read controlling PR body and exact source path; assign first broken arrow; inspect retained computation provenance only	HEAVY_CAMPAIGN_NOT_RE_RUN	Exact current PR head was not pinned from the frozen connector extract; no SHA was guessed. Literal GitHub title not pinned; descriptive family label used.
