claim	status	scope
L-30402.1--L-30402.7	PROPOSED_COMPLETE	adjacent-tree divisor-source map and capacity upper bound
L-30402.8--L-30402.11	PROPOSED_COMPLETE	one already-paired shifted critical fiber
L-30403.5	UNPROVEN	exact applicability to complete frozen source manifest
L-30403.6	FALSE	polylog first-generation atomic norm
L-30403.8	FALSE	polylog sum of boundary atomic norms
T-30401.4	FALSE	polylog aggregate boundary source norm
T-30401.8--T-30401.11	UNPROVEN	full Cycle-Debt and RH composition
L-30501	PROPOSED_COMPLETE	linear first-boundary atomic-norm lower bound
L-30502	PROPOSED_COMPLETE	boundary as difference of two positive central flows
optimized coupled-flow debt	OPEN	quantitative Pascal-cycle optimization
RH	UNPROVEN	no accepted proof
