source	commit	path	git_blob	inspection	bytes_assurance	local_copy	sha256
812	2d683186cb3dd4f304159d8176215ceae8ac59fb	standalone/2026-09-07-astra-future-realization/interval_core.py	92f484bc6bc7b12bf26313bd7d323c637cd834b9	FULL_CODE_AUDIT_AND_EXECUTION	LOCAL_BYTES_REHASHED_TO_CONNECTOR_BLOB	sources/FR/interval_core.py	1aa6bfa49f791ffde5224e21c8c92291a2e06b35130034d1de975b4d7a93fa17
812	2d683186cb3dd4f304159d8176215ceae8ac59fb	standalone/2026-09-07-astra-future-realization/certificate.py	dbf67ac52636916a59a9c7a11aa87356518143bc	FULL_CODE_AUDIT_AND_EXECUTION	LOCAL_BYTES_REHASHED_TO_CONNECTOR_BLOB	sources/FR/certificate.py	22211a064e747a3934efb457743d23f24d797a6af71533bbc224f6bc6c714e9b
804	0f6ee91f1a8c8bece1618bde155d62fb0bfb4cad	standalone/2026-09-06-astra-compact-domain-completion/certificate.py	a0f15cd4fdef7cc6aa24bfea2939e04b08d19525	FULL_CODE_AUDIT_AND_EXECUTION	LOCAL_BYTES_REHASHED_TO_CONNECTOR_BLOB	sources/CD/certificate.py	25aebf55734b0ee9c75a8f494a5e0cbe998d0c92f8e73bc572ac775ac8e3d16b
804	0f6ee91f1a8c8bece1618bde155d62fb0bfb4cad	standalone/2026-09-06-astra-mobius-work-resonance/certify.py	3d1e3b10135a8504a5d3639b507211014be7eecc	FULL_CODE_AUDIT_AND_EXECUTION	LOCAL_BYTES_REHASHED_TO_CONNECTOR_BLOB	sources/MW/certify.py	da4f279e1e06b0ab9c0b260c8e40a884170d8abe936bbab45b57465c00d0be8c
818	bd7bc8ee27927df5d58a3203b328c11cdc1f04db	standalone/2026-09-08-astra-square-grid-localization/check.py	a8e35ea57c3a5cad5872e5b9d1134ae42ca35e6a	FULL_CODE_AUDIT_AND_EXECUTION	LOCAL_BYTES_REHASHED_TO_CONNECTOR_BLOB	sources/SSQ/check.py	0e711fb7cc0c61303b1b2f3c5ed96239851cbd5783a5899946db92e73e152768
812	2d683186cb3dd4f304159d8176215ceae8ac59fb	standalone/2026-09-07-astra-future-realization/SOURCE_LOCK.json	91c86f2ec7439a5b934e501e46989c5df1eb89f0	SUBSTANTIVE_SOURCE_OR_AUXILIARY_READ	CONNECTOR_REPORTED_BLOB; manuscript not locally copied/executed	NOT_COPIED	NOT_COPIED
812	2d683186cb3dd4f304159d8176215ceae8ac59fb	standalone/2026-09-07-astra-future-realization/NUMERICS.md	f93b1e61f5a4115b3b3288e9635e0c03a1601734	SUBSTANTIVE_SOURCE_OR_AUXILIARY_READ	CONNECTOR_REPORTED_BLOB; manuscript not locally copied/executed	NOT_COPIED	NOT_COPIED
812	2d683186cb3dd4f304159d8176215ceae8ac59fb	standalone/2026-09-07-astra-future-realization/PROOF.md	cd5d68c82169f32da6b41eb788b7313ed5d7e547	LINES100_380_REALIZATION_AND_TAIL; earlier principal scope inherited	CONNECTOR_REPORTED_BLOB; manuscript not locally copied/executed	NOT_COPIED	NOT_COPIED
812	2d683186cb3dd4f304159d8176215ceae8ac59fb	standalone/2026-09-07-astra-future-realization/check.py	076d91bd011b24cd323d7abe579552b100020f8c	FULL_CODE_READ; original package main not executed	CONNECTOR_REPORTED_BLOB; manuscript not locally copied/executed	NOT_COPIED	NOT_COPIED
812	2d683186cb3dd4f304159d8176215ceae8ac59fb	standalone/2026-09-07-astra-future-realization/VALIDATION.md	f23656b618f7c17019ae56676269debac62c86f1	SUBSTANTIVE_SOURCE_OR_AUXILIARY_READ	CONNECTOR_REPORTED_BLOB; manuscript not locally copied/executed	NOT_COPIED	NOT_COPIED
