semantic_id	family	statement_short	source_pr	source_head_sha	source_path	source_claim_id	primary_review_verdict	cross_review_verdict	coverage_status	final_verdict	quantifier_scope	proof_kind	required_fix	first_broken_arrow	rh_relationship	supersedes	superseded_by	computation_status	canonicalization_recommendation	reconciliation_reason	notes
OPERATOR.BIRMAN_SCHWINGER.NORMAL_FORM	xi_pick	Negative index of H=A-G*G equals Birman-Schwinger gains above one under the stated coercive hypotheses.	438	bb7327d21c47410820cda2671f45dbe709a72eea	claims/lemmas/L-91900-birman-schwinger-loop-detects-every-bound-state-and-negative-direction.md	L-91900	B:VERIFIED	A×B:NOT_DISPUTED	C:REPRESENTED	VERIFIED	A>=cI with closed bounded coupling	operator theorem		No complete arithmetic small-gain theorem is supplied.	standalone operator theorem			NOT_APPLICABLE	CANONICALIZE	Reviewer B reconstructed the operator normal form.	
OPERATOR.XI.PICK_ORDER2	xi_pick	Every actual-Xi infinitesimal safe Pick packet of size at most two is positive.	438	bb7327d21c47410820cda2671f45dbe709a72eea	claims/lemmas/L-91905-every-two-node-infinitesimal-safe-xi-pick-matrix-is-unconditionally-positive.md	L-91905	B:VERIFIED_WITH_FIXES	A×B:ACCEPT_WITH_FIXES	C:REPRESENTED	VERIFIED_WITH_FIXES	all safe real nodes	analytic zero-orbit theorem	State centered grouping, differentiated local convergence, multiplicity, and exact external input.	Order three requires additional curvature.	unconditional low-order theorem			NOT_APPLICABLE	CANONICALIZE_WITH_FIXES	No finite numerical sample is used as proof.	
OPERATOR.XI.PICK_ORDER3.DETERMINANT	xi_pick	The 3x3 Caratheodory determinant factors into reciprocal-p and tp divided-difference curvatures.	445	c079c2ef21022be951027de1316aecf1168422c1	claims/lemmas/L-92000-three-node-caratheodory-determinant-factors-into-two-scalar-curvatures.md	L-92000	B:VERIFIED	A×B:AGREE_VERIFIED	C:REPRESENTED	VERIFIED	three positive safe nodes	exact algebra		Curvature signs require separate theorems.	standalone exact factorization			NOT_APPLICABLE	CANONICALIZE	Independent symbolic replay matches the factorization.	
OPERATOR.XI.PICK_ORDER3.TP_CURVATURE	xi_pick	The companion tp curvature has the required nonpositive second divided-difference sign on the safe axis.	445	c079c2ef21022be951027de1316aecf1168422c1	claims/lemmas/L-92001-the-tp-curvature-of-the-actual-xi-logarithmic-derivative-is-unconditionally-negative.md	L-92001	B:VERIFIED_WITH_FIXES	A×B:AGREE_WITH_FIXES	C:REPRESENTED	VERIFIED_WITH_FIXES	t>1/4; grouped actual-Xi zeros	analytic orbitwise curvature	State grouped convergence and multiplicity summation.	Reciprocal curvature remains separate.	unconditional curvature theorem			NOT_APPLICABLE	CANONICALIZE_WITH_FIXES	The needed repair is analytic bookkeeping.	
OPERATOR.XI.RECIPROCAL_CONCAVITY.SUM	xi_pick	Positive reciprocal-concave C2 functions are closed under positive sums and locally C2-convergent positive series.	446	880d14cb4bcbf542ec199137d60c58d9a8fd723d	claims/lemmas/L-92100-reciprocal-concavity-is-closed-under-positive-sums.md	L-92100	B:VERIFIED	A×B:AGREE_VERIFIED	C:REPRESENTED	VERIFIED	positive C2 functions	exact differential inequality		Application requires a valid orbit decomposition.	standalone theorem			NOT_APPLICABLE	CANONICALIZE	The cross term is an exact nonnegative square.	
OPERATOR.XI.RECIPROCAL_CONCAVITY.ONE_ORBIT	xi_pick	One high off-line orbit is absorbed by an explicit O(m/b^2) fraction of one low critical orbit.	446	880d14cb4bcbf542ec199137d60c58d9a8fd723d	claims/lemmas/L-92101-one-high-off-line-orbit-is-absorbed-by-a-small-critical-reserve-fraction.md	L-92101	B:VERIFIED	A×B:ACCEPT_WITH_FIXES	C:REPRESENTED	VERIFIED_WITH_FIXES	t>1/4; c>r; kappa<1	exact rational curvature domination	State the representative and multiplicity convention and the c>r, kappa<1 hypotheses.	Global summability/source lock remains separate.	conditional-on-height local theorem			NOT_APPLICABLE	CANONICALIZE_WITH_FIXES	The exact cross-curvature algebra withstands independent replay.	
OPERATOR.XI.CRITICAL_RESERVE_BUDGET	xi_pick	The complete hypothetical off-line curvature budget uses less than one coefficient unit of a fixed verified critical orbit.	446	880d14cb4bcbf542ec199137d60c58d9a8fd723d	claims/lemmas/L-92102-the-complete-hypothetical-off-line-curvature-budget-uses-less-than-one-critical-orbit.md	L-92102	B:VERIFIED_WITH_FIXES	A×B:ACCEPT_WITH_SOURCE_LOCK_FIXES	C:REPRESENTED	VERIFIED_WITH_FIXES	all hypothetical off-line representatives above the verified height	global reserve allocation	Correct the Platt-Trudgian bibliographic/source lock; state N(T) bound and orbit counting; do not claim the external computation was rerun.	External source lock and grouped infinite sum must be explicit.	strong unconditional result using published finite-height input			NOT_APPLICABLE	CANONICALIZE_AFTER_SOURCE_LOCK_REPAIR	The exact allocation bound is tiny and no double-spend occurs; PR #446 and #460 share one ledger.	Canonicalize as a shared critical-reserve resource node; do not add it twice in conjunctive graphs.
OPERATOR.XI.RECIPROCAL_CONCAVITY.ACTUAL	xi_pick	The actual-Xi reciprocal Clark coordinate is concave on t>1/4 after grouped zero-orbit assembly.	446	880d14cb4bcbf542ec199137d60c58d9a8fd723d	claims/lemmas/L-92103-the-actual-xi-reciprocal-clark-coordinate-is-concave-through-order-three.md	L-92103	B:VERIFIED_WITH_FIXES	A×B:ACCEPT_WITH_MULTIPLICITY_FIX	C:REPRESENTED	VERIFIED_WITH_FIXES	t>1/4	locally C2 grouped zero-sum theorem	Retain the residual (m0-1)R0 if the selected critical orbit has multiplicity m0; state grouped C2 convergence.	No higher-order Pick positivity follows.	unconditional curvature theorem			NOT_APPLICABLE	CANONICALIZE_AFTER_FIXES	The omission is bookkeeping, not a missing curvature estimate; using only one coefficient unit avoids a hidden simplicity dependency.	
OPERATOR.XI.PICK_ORDER3	xi_pick	Every actual-Xi infinitesimal safe Pick matrix of size at most three is positive semidefinite.	446	880d14cb4bcbf542ec199137d60c58d9a8fd723d	claims/theorems/T-92100-all-three-node-infinitesimal-safe-xi-pick-matrices-are-unconditionally-positive.md	T-92100	B:VERIFIED_WITH_FIXES	A×B:AGREE_PSD_WITH_FIXES	C:DELTA_VERIFIED_WITH_FIXES	VERIFIED_WITH_FIXES	all safe real packets of size <=3	analytic theorem	Replace the corrupt historical replay; repair external lock; retain residual multiplicity; state PSD canonically and omit distinct-node positive-definite strictness unless separately proved.	Pick order four and all-order positivity remain open.	strong unconditional theorem, not RH			SOURCE_REPLAY_CORRUPT; CLEAN_LIGHT_REPLAY_PASS; EXTERNAL_HIGH_ZERO_NOT_RERUN	CANONICALIZE_AFTER_FIXES	All independent reviews accept PSD through order three after the same local repairs.	
OPEN.OPERATOR.XI.PICK_ORDER4_PLUS	xi_pick	Actual-Xi infinitesimal safe Pick positivity holds for every finite packet size from four upward.	438	bb7327d21c47410820cda2671f45dbe709a72eea	claims/lemmas/L-91904-the-infinitesimal-safe-pick-kernel-is-a-countable-rh-criterion.md	L-91904	B:OPEN_RH_EQUIVALENT	A×B:AGREE_OPEN	C:CURRENT_GATE	OPEN_RH_EQUIVALENT	all finite safe rational packets	countable RH criterion		OPEN.OPERATOR.XI.PICK_ORDER4_PLUS	equivalent to RH together with reviewed criterion			NOT_APPLICABLE	REGISTER_OPEN_EQUIVALENCE	Order three does not bootstrap abstractly.	
