defect_id	packet_id	severity	object	defect	evidence	required_fix	downstream_effect
DM-PROV-001	DM-001	LOCAL	range classification	The first seven post-base commits update the August 11 integration state but introduce no theorem.	Cumulative compare index 7 changes only integration/2026-08-11 files.	Classify separately as metadata rather than inflating the scientific packet count.	No scientific verdict change.
DM-PROV-002	DM-002A/DM-002B/DM-002C	NON_MINOR	Cauchy/Jordan dependency graph	T-91005/T-91006 cite resident criteria, terminal-pair results and L-91014--L-91029 without exact path/SHA locks.	Direct-main theorem dependency prose has claim IDs but no immutable dependency manifest.	Create exact source records for each imported criterion and theorem; separate direct-main local identities from later PR #400 corrections.	Prevents verdict inheritance and accidental use of superseded shortcuts.
DM-PROV-003	DM-002B/DM-002C	LOCAL	Hardy spectral-factor orientation	L-91026 places the chosen factor's poles at -ia,-2ia,-4ia under its convention, while T-91006 writes the conjugate factor and demands +ia,+2ia,+4ia as causal.	The two files use conjugate rational factors with identical modulus but opposite Hardy half-plane.	Choose one Fourier convention and identify the other as the anti-causal/conjugate factor; regenerate all causal labels consistently.	Local normalization fix for the factorization; non-minor only if an output orientation is inferred.
DM-PROV-004	DM-002C	NON_MINOR	T-91006 scientific status	The file is titled as a full proposal but its sole conclusion-producing CJHI theorem is explicitly open.	T-91006 boundary says CJHI OPEN / RH-BEARING and RH UNPROVED.	Catalogue as open interface/historical wrapper, not verified theorem.	No path to RH.
DM-PROV-005	DM-003B	BLOCKER	split proof DAG	T-91304 is on main while several load-bearing ancestors live only at the displayed PR #399 head.	PR #431 freezes main d688cc and PR #399 head 4b8b430... conjunctively.	Every retained claim must carry exact repository, PR, SHA, path and subclaim anchor.	T-91304 cannot inherit completeness from main alone.
DM-PROV-006	DM-003B	BLOCKER	L-91350/X-91127 certificate	The formula omits parent support cutoffs and the retained JSON is not the checked-in script's hash-locked output schema.	PR #431 t=79,p=83,y=1 counterexample and artifact audit.	Exclude the artifact and point to later causal L-91354/X-91312 with separate retained-heavy status.	Direct-main finite Hall theorem is false as certified.
DM-PROV-007	DM-003B	BLOCKER	L-91351 score typing	A finite prefix result is promoted to A_P(x)>1/25 for every real x>=83.	PR #436 exact A_P(83)<0 counterexample.	Split exact row/target/score identities from false sign and use literal entropy replacement.	Removes favorable-score premise from T-91304.
DM-PROV-008	DM-003B	BLOCKER	T-91304 recurrence weights	Pointwise theta_b(n) is later used as an undefined scalar theta_b weighting signed endpoint loss.	PR #431 reconstruction.	Supply packet homogeneity/measure-valued consumer and a one-use noninherited row/collar/port ledger.	Global recurrence remains open.
DM-PROV-009	DM-004	BLOCKER	T-96000 finite producer	L-96000 imports global row positivity from L-94200--L-94201, but that source object and its global one-use FRONTIER-CHAIN proof are not established in the direct-main packet.	PR #544 retains the transform but rejects the global prime-sieve transport.	Pin the analytic consumer separately and mark the producer as an open hypothesis.	T-96000 is conditional, not a proof.
DM-PROV-010	DM-004	LOCAL	detector quantifiers	L-96001 selects j after a hypothetical zero is introduced, while later canonical consumers use fixed rows 2,3 or fixed 5:3.	L-96001 says choose any j>=J(rho); PR #708 records a moving-selection concern.	State the quantifiers explicitly: all rows must be produced nonnegative simultaneously. Prefer the later finite fixed family for canonical integration.	Not the primary blocker if simultaneous all-row positivity is genuinely proved; otherwise invalid.
DM-PROV-011	DM-007	LOCAL	L-99932 Landau dependency	The specialized nonnegative-density/negative-mass Landau theorem is cited by description rather than exact source path/SHA.	L-99932 depends on the specialized Mellin-Landau theorem generically.	Pin the reviewed PR #653/#652 consumer theorem and its hypotheses.	Local provenance repair; the open arithmetic estimate remains unchanged.
DM-PROV-012	DM-007	NON_MINOR	T-99930 interpretation	The proven supercritical/Taylor ladder and the open critical envelope appear in one synthesis theorem and can be misread as near-closure.	T-99930 explicitly leaves the critical envelope/negative mass OPEN / RH-BEARING; PR #668 classifies the corresponding variation as RH-equivalent.	Split unconditional results from the RH-equivalent terminal criterion in canonical registries.	Preserves standalone results without overstating RH progress.
DM-PROV-013	ALL	NON_MINOR	direct-to-main review provenance	The 85-commit range deposits four research families directly on main without one immutable packet-level independent-review manifest.	Claims, experiments and full proposal wrappers are interleaved with integration metadata, tests and publication probes.	Adopt this packet registry in reconciliation and pin every canonical extraction to exact source and controlling review heads.	Needed before moving the scientific cutoff.
