unit	denominator	new_work	evidence	disposition	remaining_action	owner
C3-historical-census	340 historical PR sources; 566 retained inventory rows	inherited only, not a fresh global refetch	C3 source pins preserved; main and C head verified	NOT_REACQUIRED	refresh source heads and compare mathematics only where content changed	C/integrator
C3-record-wrapper	X-105560 and external seven-point payload	not rerun this pass	prior C defects and scalar repair retained; own prior A result not a second independent C review	HOLD_EXTERNAL_ADAPTER_AND_PROVENANCE	retain C3 plus A supplement at separate exact pins; integrator reconciles	integrator/non-author
C3-manifest-contract	original scanner and actual graph	not rerun this pass	new C4 delivery validator is separate; no original graph closure claim	HOLD_ACTUAL_GRAPH	independent expected roots and complete recognized-source schema	C/integrator
C3-majorant	bounded one-cell ledger versus full native fibre	not rerun this pass	no new fibre/cross-conductor inference	HOLD_NATIVE_ESTIMATE	full source closure and actual signed estimate	scientific primary reviewer
C3-actual-xi-normalization	raw Xi plus strict half-node positivity	source contradiction confirmed; entire definition paper repair supplied	C4-X1 through X3; uncompiled candidate	PAPER_REPAIR_COMPLETE_FORMAL_PENDING	new shared source definition, consumer and comparator repair	formal implementer/integrator
C3-actual-xi-cardinality	empty finite infinite off-line spectra	fixed-source contract and explicit models supplied	C4-X4/X5/X15	PAPER_CONTRACT_COMPLETE_FORMAL_PENDING	complete countable indexing and disjoint multiplicity semantics in Lean	formal implementer
C3-actual-xi-C2	whole positive domain and full source	majorants, Hadamard identification, full-domain reserve and C2 assembly supplied conditionally	C4-X6 through X12	PAPER_PROOF_COMPLETE_BINDING_PENDING	bind actual height/count/growth/reserve; compile exact revised interface	formal implementer/independent source reviewer
C3-actual-xi-consumer	all positive node packets through size three	finite determinants, scalar curvature and repeated-node pullbacks reconstructed	C4-X13/X14/X16	CONDITIONAL_PAPER_CLOSURE	no order-four or RH; compiled inhabited API remains required	formal implementer
C3-Mellin-Landau	exact missing formal analytic Prop	paper proof supplied with finite abscissa and eventual sign	C4-M2/M3	PAPER_PROOF_COMPLETE_FORMAL_PENDING	compile actual theorem body; native arithmetic remains open	formal implementer
C3-Mellin-negative-mass	exact missing holomorphy Prop	paper proof and quantitative tail domination supplied	C4-M4	PAPER_PROOF_COMPLETE_FORMAL_PENDING	compile every-epsilon/compact-domain proof; do not infer native estimate	formal implementer
C3-Mellin-adapters	identity extension, affine multiplicity, singularity germ	paper proofs and scope/normalization corrections supplied	C4-M1/M5/M6/M7/M8/M9	PAPER_REPAIR_COMPLETE_FORMAL_PENDING	punctured-germ definition and removable reciprocal source	formal implementer/integrator
C3-upstream-formal	Mathlib/Zeta23 transitive closure	selected pinned declaration and local bridge only	GammaFacts and imported seam retained	NOT_EXHAUSTIVE	full transitive statements and exact-version build	formal reviewer
C3-postcut-research	79 inherited postcut PRs plus branch/attachment dependencies	selected math files only	no all-79 claim splitting denominator manufactured	NOT_EXHAUSTIVE	source-level claim split and closure for remaining packets	C/integrator
C3-external-imports	787-789 and external formal/certificate payloads	no new full external campaign or PDF audit	prior scoped dispositions retained; not silently upgraded	HOLD_ORIGINAL_SOURCES_AND_EXECUTION	original versions, theorem premises, formal builds, physical integrals and rights	C/external specialist
C3-operator-author-hold	792 two named finite-window/Schur proofs	new successor reconstruction with all source constants and sign directions	C4-O1 through O10; two full proof files read	SCOPED_PAPER_RECONSTRUCTION_COMPLETE	full branch/global xi adapter and actual lower continuum matrix remain open	integrator/non-author reviewer
C3-operator-sign	actual all-window effective sign and original RH endpoint	none produced	C4-O11 explicitly OPEN	OPEN_MATHEMATICS	validated continuum sign then unbounded-length theorem	scientific primary reviewer
C3-formal-execution	Lean Lake Comparator Nanoda	none; executables unavailable in active environment	candidate is NOT_COMPILED	NOT_EXECUTED	exact source/toolchain build and independent-kernel receipt	formal runner
C3-security-rights-release	all-history secrets/PII, rights, ACL, launch enforcement	no new global scan or owner-setting action	policy read only; inherited live observations not called current audit	NOT_CLEARED	owner checks and separate private findings handling	owner/security/legal specialist
C3-A-B-reconciliation	source-qualified scientific disagreements and scope changes	routing/questions retained	role reassignment is not independence; prior A/#793 not endorsed	PENDING_INTEGRATOR_RECONCILIATION	reconcile exact source revisions; retain targeted B reviews	integrator
