object	status	role
R-91312 normalization firewall	EXACT	blocks canonical P61 row as native root
L-91373 compact canonical-row census	DIRECTED EXACT	finite evidence for canonical row
L-91375 positive typed causal debt	EXACT	local producer after positive entry
L-91376 butterfly dual scope	EXACT	Route C firewall
L-91377 full Möbius native dictionary	EXACT	native root normalization
L-91378 radix-four positive dual	EXACT	deficit equals weighted detail slack
L-91379 rough reservoir decomposition	EXACT	one-use source/physical ledger
T-91312 subcritical consumer	CONDITIONAL EXACT	bounded deficit after hereditary reset
T-91313 endpoint consumer	CONDITIONAL EXACT	one-sided small slack implies RH
T-91314 Native-Root Capacity Theorem	OPEN	first conclusion-producing producer
O-91377 one-prime row	DISCOVERY	strong candidate current generator
CFFP	OPEN	RH-bearing
Riemann Hypothesis	UNPROVEN	final conclusion
