source_id	repository	pr	commit_sha	path	git_blob	reading_scope
AS_AINTA_KERNEL	ainta/zeta-simple-zeros	external	040c5e899e658aed7b56a2a87f501798fe10761d	src/zeta_simple_zeros/kernel.py	dda7a856bd7c5f9cd79d7647a3e40820386c7780	Fresh fixed-source text inspected in omissions supplement; exact disposition and limitations in supplement/REPORT.md
AS_AINTA_VERIFIER	ainta/zeta-simple-zeros	external	040c5e899e658aed7b56a2a87f501798fe10761d	src/zeta_simple_zeros/verify_seven.py	ed0bf0a6703238ad390745135d8d7d6f594c1e5e	Fresh fixed-source text inspected in omissions supplement; exact disposition and limitations in supplement/REPORT.md
AS_AINTA_ROUND	ainta/zeta-simple-zeros	external	040c5e899e658aed7b56a2a87f501798fe10761d	src/zeta_simple_zeros/rounding.py	1ea233e6387735659cc1aa51507d77a9efb0563c	Fresh fixed-source text inspected in omissions supplement; exact disposition and limitations in supplement/REPORT.md
AS_AINTA_TEX	ainta/zeta-simple-zeros	external	040c5e899e658aed7b56a2a87f501798fe10761d	paper/riemann.tex	fed199bb7e641c718ac1f33d5e885c0b412d5080	Fresh fixed-source text inspected in omissions supplement; exact disposition and limitations in supplement/REPORT.md
AS_269	GettysburgResearch/riemann	731	6d440eb6c82d989c046e87e13f9bdabf087f920f	claims/lemmas/L-105211-seven-gap-pressure-global-average.md	dba2b97a4f6560afe0824cab25f11dca2a2838dc	Fresh fixed-source text inspected in omissions supplement; exact disposition and limitations in supplement/REPORT.md
AS_SPIKE	GettysburgResearch/riemann	731	6d440eb6c82d989c046e87e13f9bdabf087f920f	claims/lemmas/L-106550-spectral-defect-beyond-unit-cap.md	a2123bc7df024fceb7918036a91b0926223c358e	Fresh fixed-source text inspected in omissions supplement; exact disposition and limitations in supplement/REPORT.md
AS_280	GettysburgResearch/riemann	731	6d440eb6c82d989c046e87e13f9bdabf087f920f	claims/lemmas/L-106551-280-point-seven-gap-pressure-lift.md	3803c74e27260da1f65531da06cda7c8c376f9af	Fresh fixed-source text inspected in omissions supplement; exact disposition and limitations in supplement/REPORT.md
AS_RECORD269	GettysburgResearch/riemann	726	e8e6d85221a9a85fb2a5f82a1807802f89b06b7b	claims/theorems/T-105560-reviewed-simple-zero-record.md	e318d4d8e8cd498419d15ab4bcf8e016d12ab403	Fresh fixed-source text inspected in omissions supplement; exact disposition and limitations in supplement/REPORT.md
AS_568_OLD	GettysburgResearch/riemann	568	085d046905bfd32a5725632650039e58bb7fc1f7	experiments/X-97010-parity-grouping-hardening/verify.py	c946104810907deb55db18a4f2897e28618a04db	Fresh fixed-source text inspected in omissions supplement; exact disposition and limitations in supplement/REPORT.md
AS_568_NEW	GettysburgResearch/riemann	568	3a70470e3a8bbd60e0b7387ea46fd391cfb1d2e2	experiments/X-97010-parity-grouping-hardening/verify.py	f0e8f85e195162d745477cfb69e68b9b24443289	Fresh fixed-source text inspected in omissions supplement; exact disposition and limitations in supplement/REPORT.md
AS_568_JSON_OLD	GettysburgResearch/riemann	568	085d046905bfd32a5725632650039e58bb7fc1f7	experiments/X-97010-parity-grouping-hardening/results/verification.json	faac15c97c7c39a118f5f8cf4473c9e4e22e30e4	Fresh fixed-source text inspected in omissions supplement; exact disposition and limitations in supplement/REPORT.md
AS_568_JSON_NEW	GettysburgResearch/riemann	568	3a70470e3a8bbd60e0b7387ea46fd391cfb1d2e2	experiments/X-97010-parity-grouping-hardening/results/verification.json	16236ebf67030b3c81178ec0077c3f69e137ef0d	Fresh fixed-source text inspected in omissions supplement; exact disposition and limitations in supplement/REPORT.md
AS_CONREY_FUNCTIONAL	GettysburgResearch/riemann	720	80779dd04ca64704744ef50dfcac964344e2445e	claims/lemmas/L-104602-conrey-variational-functional-reconstructed.md	311ef386ad7fead466940257ed4c63beb1db8a98	Fresh fixed-source text inspected in omissions supplement; exact disposition and limitations in supplement/REPORT.md
AS_CONREY_FIFTH	GettysburgResearch/riemann	720	80779dd04ca64704744ef50dfcac964344e2445e	claims/lemmas/L-104634-self-contained-fifth-derivative-input.md	3086c9010696ee8f0bf854b808242e3b446a3421	Fresh fixed-source text inspected in omissions supplement; exact disposition and limitations in supplement/REPORT.md
AS_CRT	GettysburgResearch/riemann	723	7b01a312b06f6948e0ce15d6d8be5e8b57d8fe81	claims/lemmas/L-105105-fixed-window-crt-jet-selectors.md	8b3ae10bed84fcf6b00c9e8e80b66bc5d4079de0	Fresh fixed-source text inspected in omissions supplement; exact disposition and limitations in supplement/REPORT.md
AS_CARTAN	GettysburgResearch/riemann	723	7b01a312b06f6948e0ce15d6d8be5e8b57d8fe81	claims/lemmas/L-105114-anchored-equal-disk-minimum-modulus.md	6a6f578aaee81f8d09362cbdf13ecd840370102a	Fresh fixed-source text inspected in omissions supplement; exact disposition and limitations in supplement/REPORT.md
AS_WATERFILL	GettysburgResearch/riemann	723	7b01a312b06f6948e0ce15d6d8be5e8b57d8fe81	claims/lemmas/L-105116-capped-cartan-radius-water-filling.md	259bf86cb18290ac9b919a4f94eb8908ec714b80	Fresh fixed-source text inspected in omissions supplement; exact disposition and limitations in supplement/REPORT.md
AS_SAFERAY	GettysburgResearch/riemann	724	452978883b0009f002cfec426dfd5eb10041a15c	claims/lemmas/L-105209-complete-safe-ray-one-sided-saddle-for-the-high-companion.md	23863492825318d0e26dfd78aa7d2adbe8b7d422	Fresh fixed-source text inspected in omissions supplement; exact disposition and limitations in supplement/REPORT.md
