pr	previous_head	reconciled_head	title	status	evidence_scope	mathematical_effect
399		9deddaa92c1b709b052e0994bd9a6dc0bb307366	research: terminal P79 and positive-kernel recursion close; one-prime arithmetic splice remains	EXACT_CURRENT_HEAD_RECOVERED	Current PR metadata at pass-one read-back.	NONE_AUTOMATIC; provenance recovery does not upgrade verdict
400		7dc9fec9eb5fab4ee9340ddbc5a52e36a6ab617e	correction/advance: Suzuki closes the amplitude embedding; the RH gate is first-chaos model-space domination	EXACT_CURRENT_HEAD_RECOVERED	Current PR metadata at pass-one read-back.	NONE_AUTOMATIC; provenance recovery does not upgrade verdict
401		82fe81e52d8c221c8649376d759aa8d0ee64c0c7	radical: Xi Pick positivity as a Brownian–theta passive network	EXACT_CURRENT_HEAD_RECOVERED	Current PR metadata at pass-one read-back.	NONE_AUTOMATIC; provenance recovery does not upgrade verdict
402		f5e8be06dfed171baca362316a24b1ce017ad235	correction: factor-four renewal energy is exactly an innerness test	EXACT_CURRENT_HEAD_RECOVERED	Current PR metadata at pass-one read-back.	NONE_AUTOMATIC; provenance recovery does not upgrade verdict
403		885716b9cf97c7c4deea3b4590b99e5faf13bc1f	full proposal + reduction: one-charge infravacuum positive-energy completion	EXACT_CURRENT_HEAD_RECOVERED	Current PR metadata at pass-one read-back.	NONE_AUTOMATIC; provenance recovery does not upgrade verdict
404	ab71aa1fe0b1fd192011bbf40f032d2f42889ea0	ab71aa1fe0b1fd192011bbf40f032d2f42889ea0	correction + advance: prime and Fisher Hardy colligations are explicit; the common renormalized source map remains	EXACT_CURRENT_HEAD_RECOVERED	Current PR metadata at pass-one read-back.	NONE_AUTOMATIC; provenance recovery does not upgrade verdict
405		97d40e6574ba54d827fd361c70d550eeb60c9faf	review: PR #399 factor-54 full proof proposal	EXACT_CURRENT_HEAD_RECOVERED	Current PR metadata at pass-one read-back.	NONE_AUTOMATIC; provenance recovery does not upgrade verdict
406		b59e6fdbc8ac84231ad697c02687f199e83fb1b4	Accidental connector test — closed	EXACT_CURRENT_HEAD_RECOVERED	Current PR metadata at pass-one read-back.	NONE_AUTOMATIC; provenance recovery does not upgrade verdict
407		bf17e32c53724267ffc536073e586c1e9059d2d0	withdrawn full-proof claim + retained hostile audit: parallel least-prime partition was not proved	EXACT_CURRENT_HEAD_RECOVERED	Current PR metadata at pass-one read-back.	NONE_AUTOMATIC; provenance recovery does not upgrade verdict
408	ea3948ea21d90b9c9824874c5051dcc76e216a5b	ea3948ea21d90b9c9824874c5051dcc76e216a5b	breakthrough: plastic-cutoff Julia absorption and three-front exhaustion attack	EXACT_CURRENT_HEAD_RECOVERED	Current PR metadata at pass-one read-back.	NONE_AUTOMATIC; provenance recovery does not upgrade verdict
409		709a20509cbff9fb19dc094c9bbf05f13d74c628	harden Brownian route: Stein current aligns with Beta–Jacobi; endpoint port has sharp (2,2) completion	EXACT_CURRENT_HEAD_RECOVERED	Current PR metadata at pass-one read-back.	NONE_AUTOMATIC; provenance recovery does not upgrade verdict
410		5e0c23dcbd68f2decf79da43642dc3c077a48bb4	harden quasi-Lévy route: root-lock is unique and cannot propagate pointwise down the dyadic recurrence	EXACT_CURRENT_HEAD_RECOVERED	Current PR metadata at pass-one read-back.	NONE_AUTOMATIC; provenance recovery does not upgrade verdict
411		cc097bbe1a0ce6d13bd97ee3951d13762cb632d2	advance: gamma-ladder and compensated Green completion isolate the CPPD gate	EXACT_CURRENT_HEAD_RECOVERED	Current PR metadata at pass-one read-back.	NONE_AUTOMATIC; provenance recovery does not upgrade verdict
412		f848f3cd2fb7ca6e46dbab5a053a8e51fc97729a	advance: Hadamard parity rotation turns CPPD into one domain-wall Cayley transfer	EXACT_CURRENT_HEAD_RECOVERED	Current PR metadata at pass-one read-back.	NONE_AUTOMATIC; provenance recovery does not upgrade verdict
413		3ba7021d4ed2aa0f42e42917114be06510919bac	advance: one fixed Cauchy node turns crossed zeros into a dyadic annular exhaustion problem	EXACT_CURRENT_HEAD_RECOVERED	Current PR metadata at pass-one read-back.	NONE_AUTOMATIC; provenance recovery does not upgrade verdict
414		0fe80e32781e109aee1882f2a069dbb2e3787f7e	advance: eta pairing localizes the global pole bridge to one dyadic zero	EXACT_CURRENT_HEAD_RECOVERED	Current PR metadata at pass-one read-back.	NONE_AUTOMATIC; provenance recovery does not upgrade verdict
415		9bac15fed27af5730da9fb6bd27538a65032f639	hostile hardening: exact target/score cone firewall for the factor-54 source typing	EXACT_CURRENT_HEAD_RECOVERED	Current PR metadata at pass-one read-back.	NONE_AUTOMATIC; provenance recovery does not upgrade verdict
416		23aa9adc48a6c3176b799944dfbac11e665407ef	advance factor-54 route: target-exact survival–hazard telescope and positive one-prime row recurrence	EXACT_CURRENT_HEAD_RECOVERED	Current PR metadata at pass-one read-back.	NONE_AUTOMATIC; provenance recovery does not upgrade verdict
417			[NO REMOTE PR OBJECT] sequence number #417	NO_REMOTE_PR_OBJECT	No matching pull request in current repository PR metadata resource.	NONE_AUTOMATIC; provenance recovery does not upgrade verdict
418		de0329a0004dc6954c8de4cb12179197d25533b9	advance: safe prime parity is an explicit Clark–Redheffer impedance	EXACT_CURRENT_HEAD_RECOVERED	Current PR metadata at pass-one read-back.	NONE_AUTOMATIC; provenance recovery does not upgrade verdict
419		1bba24ab1cadc7ca4529d6e345ed2be1afd71b07	advance: logarithmic Green mass linearizes the one-node annular telescope	EXACT_CURRENT_HEAD_RECOVERED	Current PR metadata at pass-one read-back.	NONE_AUTOMATIC; provenance recovery does not upgrade verdict
420		c978fc2c0f52f67800a0542a962e49c6110a5b8f	advance: the global dyadic zero and gamma pole form one compact covariant bridge	EXACT_CURRENT_HEAD_RECOVERED	Current PR metadata at pass-one read-back.	NONE_AUTOMATIC; provenance recovery does not upgrade verdict
421		0f34ba29bc9ac5ce5f1127aaaeba370c4455ebdc	advance: logarithmic Clark entropy linearizes the safe prime Redheffer cascade	EXACT_CURRENT_HEAD_RECOVERED	Current PR metadata at pass-one read-back.	NONE_AUTOMATIC; provenance recovery does not upgrade verdict
422		4619269090043f0baef2aa13f5cc1184eed85ee2	advance: annular crossed-zero mass is exact Clark entropy with quantitative moats	EXACT_CURRENT_HEAD_RECOVERED	Current PR metadata at pass-one read-back.	NONE_AUTOMATIC; provenance recovery does not upgrade verdict
423		03a057c7bc18080bf89afaa436abf839d6d1c17f	advance: paired eta tail has a full-carrier weighted Julia completion	EXACT_CURRENT_HEAD_RECOVERED	Current PR metadata at pass-one read-back.	NONE_AUTOMATIC; provenance recovery does not upgrade verdict
424		2bd4625bb2e3cf41318be5b22f6f8e8d0827fef1	factor-54 hardening: entropy dual, one-use parent closure, and direct detail repair	EXACT_CURRENT_HEAD_RECOVERED	Current PR metadata at pass-one read-back.	NONE_AUTOMATIC; provenance recovery does not upgrade verdict
425		d2b2c3eb336f9d9da6d35c34079b803968b52bf8	advance: the safe prime Clark source is an exact dyadic martingale	EXACT_CURRENT_HEAD_RECOVERED	Current PR metadata at pass-one read-back.	NONE_AUTOMATIC; provenance recovery does not upgrade verdict
426		64bd5070bd7b948f7c925ec48b739b9cb86c99ac	advance: moving Cauchy nodes sharpen every crossed-zero entropy moat to 1/Y	EXACT_CURRENT_HEAD_RECOVERED	Current PR metadata at pass-one read-back.	NONE_AUTOMATIC; provenance recovery does not upgrade verdict
427	e4cba612839efb7296c1664f173e924f9e252bbf	e4cba612839efb7296c1664f173e924f9e252bbf	advance: eta, compact bridge, and gamma form one completed arithmetic Julia cascade	EXACT_CURRENT_HEAD_RECOVERED	Current PR metadata at pass-one read-back.	NONE_AUTOMATIC; provenance recovery does not upgrade verdict
428		76d849e3210fac73af2f6bf2eded91b29659a313	synthesis: the final source-to-model map is one positive kernel lock with an o(1/Y^2) diagonal target	EXACT_CURRENT_HEAD_RECOVERED	Current PR metadata at pass-one read-back.	NONE_AUTOMATIC; provenance recovery does not upgrade verdict
429	56294bfcd2bdbce4c40b08f67cb996a39868f563	56294bfcd2bdbce4c40b08f67cb996a39868f563	advance: close delayed Hardy geometry, correct the Fisher/colligation routes, and isolate the critical Pick kernel	EXACT_CURRENT_HEAD_RECOVERED	Current PR metadata at pass-one read-back.	NONE_AUTOMATIC; provenance recovery does not upgrade verdict
430	cedf2f5b43c99d6e6f9a760236432b123dd91770	cedf2f5b43c99d6e6f9a760236432b123dd91770	radical reset: diffuse radial source cannot feed atomic off-line zero depths	EXACT_CURRENT_HEAD_RECOVERED	Current PR metadata at pass-one read-back.	NONE_AUTOMATIC; provenance recovery does not upgrade verdict
431		78a622e32ef36e587099bb95cb791461b75d26bf	review: PR #399 direct-Euler factor-54 proof reconstruction	EXACT_CURRENT_HEAD_RECOVERED	Current PR metadata at pass-one read-back.	NONE_AUTOMATIC; provenance recovery does not upgrade verdict
432		0e9f9b54ed2bccbdd1d0957095a61ec2e7e32c56	close P61 inherited-row gate for every rough prime	EXACT_CURRENT_HEAD_RECOVERED	Current PR metadata at pass-one read-back.	NONE_AUTOMATIC; provenance recovery does not upgrade verdict
433		0aab3a209c5368f93d409f3a1842304098550387	repair factor-54 closure: actual entropy and same-index child lift	EXACT_CURRENT_HEAD_RECOVERED	Current PR metadata at pass-one read-back.	NONE_AUTOMATIC; provenance recovery does not upgrade verdict
