claim_or_route	status	disposition
PR652 native coefficient firewall	PROVED EXACT / NORMATIVE	Supersedes alpha-tree closure claims
PR653 scalar negative-mass consumer	PROVED EXACT / NORMATIVE	Strongest conclusion-facing chain
PR655 fixed-grade and zero-variance no-go	PROVED EXACT / RETAIN	Forces adaptive/nonlocal mechanism
PR656 committed cross-core theorem	PROVED IN FILES	Block L2 remains RH-equivalent/open
PR656 body-only Poisson/moment claims	NOT FROZEN	Reconstructed here
continuous Jordan completion	PROVED EXACT NEW	Positive but has rightmost real carrier
adaptive Cauchy-Poisson owner gap	PROVED EXACT NEW	Exceptional 67^2 sector included
compact zero-safe filter	PROVED EXACT NEW	Kernel signed; multiplier zero-safe
growing moment tower	PROVED EXACT NEW	Algebraic costs subpower
GPMOC99800	OPEN / RH-BEARING	Signed off-diagonal owner packing
Riemann Hypothesis	UNPROVED	No current branch is a complete proof
