edge_id	premises	conclusion	scope	missing	role	canonical_traversable
P3.EDGE.ANNULAR	HT/AN literal source | D eventual sign or lower bound	RH	Fixed source; exact multiplier; complete tails	Actual all-scale sign not proved	REVIEW_NAVIGATION_NOT_CANONICAL_EDGE	false
P3.EDGE.SPARSE	PC curvature | SS amplitude/pole bootstrap | fixed power saving in deep failures	RH	r=1 or2; fixed h,delta	Native failure-count saving	REVIEW_NAVIGATION_NOT_CANONICAL_EDGE	false
P3.EDGE.COMPARISON	ES comparison lower margin | full coefficient precision beyond critical threshold	native eventual sign	All powers and exact margin	Comparison source and actual error bound	REVIEW_NAVIGATION_NOT_CANONICAL_EDGE	false
P3.EDGE.MERTENS	ANT native completion | unconditional Mertens | soft zeta convexity	E=o(Y), every fixed log saving	Same chosen source and whole frequency line	No subpower upper bound	REVIEW_NAVIGATION_NOT_CANONICAL_EDGE	false
P3.EDGE.CHEAP_TRANSFER_FALSE	ANT actual metric comparison | explicit three-jet variation	uniform cheap graph transfer fails	Fixed support ratio; coefficient-uniform	Does not preclude native-minimizer-specific estimate	REVIEW_NAVIGATION_NOT_CANONICAL_EDGE	false
P3.EDGE.CAPACITY	GCP root-visible spectra | complete subsets	exact root contrast and anchored constants	Fixed prime boxes/reservoirs	Different from ordinary cutoff/downset	REVIEW_NAVIGATION_NOT_CANONICAL_EDGE	false
P3.EDGE.ROOT_SCHUR	GCP Green vector | retained coupling is exactly root-shaped | c>=abs(tau)^2G	nonnegative specified retained form	That block only	No identification/payment of actual Weil coupling	REVIEW_NAVIGATION_NOT_CANONICAL_EDGE	false
P3.EDGE.COHERENT	CCS native projection | divisor complement gap	complement bound only	Original Hilbert field	Coherent-channel upper bound remains	REVIEW_NAVIGATION_NOT_CANONICAL_EDGE	false
P3.EDGE.STOPPED_SOURCE	CCS full future norm | subpower J_N on unbounded sequence	RH	Actual factorial source and target	Signed-work upper estimate	REVIEW_NAVIGATION_NOT_CANONICAL_EDGE	false
P3.EDGE.SIGNED_RIGIDITY	MC exact convolution | CR correct residue	signed minimum equals native D	Real signed functional	Intercept sign	REVIEW_NAVIGATION_NOT_CANONICAL_EDGE	false
P3.EDGE.POSITIVE_NORM	PR full floor norm | subpower native residual sequence	RH	Complete future; fixed prefix	Growing-prefix physical energy upper bound	REVIEW_NAVIGATION_NOT_CANONICAL_EDGE	false
P3.EDGE.FINITE_MINIMUM	RN Gram lower bound | directed whole-period evaluation | small stationarity residual	finite minimum enclosure	Specified jets and finite support	Witness replay still held	REVIEW_NAVIGATION_NOT_CANONICAL_EDGE	false
P3.EDGE.LOCAL_DOMAIN	DC locally finite inversion | ordinary compact input	original-domain local target match	One horizon at a time	Uniform growing-horizon output control	REVIEW_NAVIGATION_NOT_CANONICAL_EDGE	false
P3.EDGE.INPUT_RESONANCE	MW actual boundary zero | fixed target nonzero at it	input energy polynomial lower growth	Fixed finite zero packet	Does not obstruct source-filtered output	REVIEW_NAVIGATION_NOT_CANONICAL_EDGE	false
P3.EDGE.ENTROPY_WORK	EF exact balance | subpower feedback work	subpower entropy	All powers in physical Cauchy metric	Actual work upper bound	REVIEW_NAVIGATION_NOT_CANONICAL_EDGE	false
P3.EDGE.INTEGRATION	all review packets | source-matched outstanding certificates/adapters | independent integration review	future scoped integration	Start from then-current main	Not supplied by merging review branch	REVIEW_NAVIGATION_NOT_CANONICAL_EDGE	false
