refutation_id	direct_packet	false_or_blocked_statement	exact_counterexample_or_reason	controlling_source	verdict	survives	replacement	integration_action
DM-REF-001	DM-002A/DM-002C	Forward CP negative-mass contraction can be inverted into the coefficient-one Cauchy recurrence.	L-91020 itself proves only forward contraction; PR #400 identifies the missing Stinespring complement and first-chaos output domination.	L-91020; PR #400 @ 7dc9fec9eb5fab4ee9340ddbc5a52e36a6ab617e	REFUTED_MECHANISM	Safe-line CP channel and forward trace-negative-mass contraction.	Completed first-chaos source curvature >= model-space tangent leakage.	Canonicalize firewall and open replacement.
DM-REF-002	DM-002A/DM-002C	Amplitude unitarity or the scalar Wigner-Smith commutator signs the full radial/Weil Gram.	PR #400 gives an inner-family curvature counterexample and shows the scalar commutator omits cross-carrier terms.	PR #400 @ 7dc9fec9eb5fab4ee9340ddbc5a52e36a6ab617e	REFUTED_MECHANISM	Exact amplitude embedding and scalar identities at their native scope.	Carrier-, delay-, orientation- and bridge-complete first-chaos domination.	Add to canonical operator refutations.
DM-REF-003	DM-002C	The source-to-boundary CJHI has been constructed by the direct-main packet.	T-91006 explicitly states CJHI as the sole open theorem; no source-ordered Stinespring realization is supplied.	T-91006; PR #400	GAP_BLOCKED	Precise open-interface formulation.	PR #400 first-chaos/model-space domination statement.	Archive proof wrapper; register open gate.
DM-REF-004	DM-003A	The original L-91347 convex finite-cell reduction is a proof of all low-prefix Hall inequalities.	At the y=11, t=915 cell the global convex vertex lies outside the active cell; the checker used a non-cell minimum.	R-91308 at main head	REFUTED_MECHANISM	The intended Hall inequalities remained a separate question.	Later true causal Hall theorem L-91354 in PR #436.	Retain R-91308; exclude original proof.
DM-REF-005	DM-003B	L-91350.2 and X-91127 exactly represent the causal P79 low-prefix Hall margin.	At t=79, p=83, y=1, formal sources 85,86,87 are included although they exceed py=83; parent activation cells y=d/p are omitted.	PR #431 @ 78a622e32ef36e587099bb95cb791461b75d26bf	FALSE	The true inequalities were later attacked with corrected causal cutoffs.	L-91354/X-91312 in PR #436.	Exclude L-91350/X-91127; retain exact counterexample.
DM-REF-006	DM-003B	The P79 residual declared score uniformly exceeds target through A_P(x)>1/25 for every real x>=83.	A_P(83)<0 exactly, and A_P(83)-A_P(1)/83<0.	R-91310 in PR #436 @ 9aeccd55779689d3ee105d16a0caf6f600ff1ea2	FALSE	The exact score-minus-target identity.	Literal residual-row entropy L-91352/L-91353.	Exclude L-91351.11 and all downstream uses.
DM-REF-007	DM-003B	A hidden hazard child is the same positive packet as an r-scaled canonical child.	On the pure reserve ray the hidden hazard has target 2r and score r^2, whereas an r-scaled canonical child has target 2r and score r.	PR #431 @ 78a622e32ef36e587099bb95cb791461b75d26bf	REFUTED_MECHANISM	Exact algebraic child coefficients and later nonduplication budget.	Source-labelled regrouping/packet homogeneity or measure-valued consumer.	Canonicalize source-type firewall.
DM-REF-008	DM-003A/DM-003B	A target-exact Hall residual automatically reproduces the arithmetic component row.	R-91309 gives the exact difference sum t_(o,e)[rho_j(e)-rho_j(o)], whose upward-edge terms have no sign from target feasibility.	R-91309 at main head; accepted by PR #431	REFUTED_MECHANISM	Target exactness and scalar score accounting at their stated scope.	Direct arithmetic row identities plus a separate common-flow/provenance theorem.	Canonicalize R-91309.
DM-REF-009	DM-003B	Pointwise source fractions theta_b automatically become scalar weights for signed endpoint loss and close T-91304.	T-91304 changes from theta_b(n) to an undefined scalar theta_b and never proves packet homogeneity for the signed loss functional.	PR #431 @ 78a622e32ef36e587099bb95cb791461b75d26bf	GAP_BLOCKED	Substochastic source-mass identities.	LRPT/SFFEP or a measure-valued branching consumer.	Exclude recurrence claim.
DM-REF-010	DM-004	The stale endpoint zero-deficit normalization closes the prime-sieved row route.	The native identity contains the unresolved F_Lambda=J_nat-P_Lambda term; zero physical slack does not make total endpoint loss zero.	R-96000 at main head; PR #544	REFUTED_MECHANISM	The direct fixed-row Mellin consumer.	Use the reciprocal-zeta Mellin transform directly.	Canonicalize R-96000.
DM-REF-011	DM-004	PR #537 FRONTIER-CHAIN proves global simultaneous positivity of every prime-sieved row.	After grouping by product n, all divisor-cube vertices occupy one knot log n, while the claimed convex transport uses three distinct knots without a global one-use cross-product allocation.	PR #544 @ d4dcd1256dc9c8e110c860cff87b3f89aee842a5	GAP_BLOCKED	L-96000/L-96001 analytic consumer.	A genuine source-faithful all-row producer; later fixed rows 2,3 or fixed 5:3 consumers reduce the consumer burden.	Exclude T-96000 proof claim.
DM-REF-012	DM-007	Global positivity for every supercritical power m>=2 descends routinely to the critical m=1 sign.	R-99930 gives a nonnegative-primitive/signed-density countermodel and an exact pole-lowering formula whose last step is a positive smoothing of the unknown F_1.	R-99930; PR #663; PR #668	REFUTED_MECHANISM	Supercritical positivity and exact distributional bridges.	Critical weighted downward variation or fixed critical-scalar negative-mass estimate.	Canonicalize no-go and open replacement.
DM-REF-013	DM-007	Positivity of the kernel K_m implies positivity of its native Möbius projection C_m.	L-99932 explicitly distinguishes the positive kernel from its signed native convolution; the latter retains reciprocal-zeta poles.	L-99932; Reviewer A PR #709	REFUTED_MECHANISM	Zero-safe fixed critical scalar and Mellin-Landau implication.	Prove eventual sign or subpower negative mass of C_m itself.	Canonicalize firewall.
