source_pr	source_sha	repository	role	pin_basis	evidence_scope	url
751	86cac1d64364015ec2cc0f8fbb6fc75dc041c12b	GettysburgResearch/riemann	Dirichlet, Wick and function-field source interfaces	exact GitHub metadata/file freeze read in this audit conversation; not a claim that every PR tip is still unchanged	claim-specific in CLAIMS.tsv	https://github.com/GettysburgResearch/riemann/tree/86cac1d64364015ec2cc0f8fbb6fc75dc041c12b
752	10446e8ea9c55162c317810f63c1f7a379466459	GettysburgResearch/riemann	GL2 and finite-family atlas	exact GitHub metadata/file freeze read in this audit conversation; not a claim that every PR tip is still unchanged	claim-specific in CLAIMS.tsv	https://github.com/GettysburgResearch/riemann/tree/10446e8ea9c55162c317810f63c1f7a379466459
756	6e4609dfe1b073f1eb58445fdd1d7164dbc450d6	GettysburgResearch/riemann	function-field multi-place and residual mechanisms	exact GitHub metadata/file freeze read in this audit conversation; not a claim that every PR tip is still unchanged	claim-specific in CLAIMS.tsv	https://github.com/GettysburgResearch/riemann/tree/6e4609dfe1b073f1eb58445fdd1d7164dbc450d6
757	b870366141fe8d5f43d5b81f6e50a67d2a888070	GettysburgResearch/riemann	Adams/core-wavelet interfaces; bounded scope triage	exact GitHub metadata/file freeze read in this audit conversation; not a claim that every PR tip is still unchanged	claim-specific in CLAIMS.tsv	https://github.com/GettysburgResearch/riemann/tree/b870366141fe8d5f43d5b81f6e50a67d2a888070
758	d79692ece0b7604ad309c459f565b24e9926f5c5	GettysburgResearch/riemann	kernel-transform and density audit	exact GitHub metadata/file freeze read in this audit conversation; not a claim that every PR tip is still unchanged	claim-specific in CLAIMS.tsv	https://github.com/GettysburgResearch/riemann/tree/d79692ece0b7604ad309c459f565b24e9926f5c5
760	e3747c946379735d27658c010976cfff051843e9	GettysburgResearch/riemann	dual-architecture source interface; A consumer boundary	exact GitHub metadata/file freeze read in this audit conversation; not a claim that every PR tip is still unchanged	claim-specific in CLAIMS.tsv	https://github.com/GettysburgResearch/riemann/tree/e3747c946379735d27658c010976cfff051843e9
762	55af2c8020d257047cc1f9965c51b623cc074a76	GettysburgResearch/riemann	quantitative beta consumer; A primary	exact GitHub metadata/file freeze read in this audit conversation; not a claim that every PR tip is still unchanged	claim-specific in CLAIMS.tsv	https://github.com/GettysburgResearch/riemann/tree/55af2c8020d257047cc1f9965c51b623cc074a76
765	359849086f0a62cc1cabd99b5029cdc4a44917d1	GettysburgResearch/riemann	native-source versus actual-Xi split; A analytic primary	exact GitHub metadata/file freeze read in this audit conversation; not a claim that every PR tip is still unchanged	claim-specific in CLAIMS.tsv	https://github.com/GettysburgResearch/riemann/tree/359849086f0a62cc1cabd99b5029cdc4a44917d1
766	9e8985410607248f760c5c7c9cb09120df951343	GettysburgResearch/riemann	recurrence, theta quotient and cusp source	exact GitHub metadata/file freeze read in this audit conversation; not a claim that every PR tip is still unchanged	claim-specific in CLAIMS.tsv	https://github.com/GettysburgResearch/riemann/tree/9e8985410607248f760c5c7c9cb09120df951343
769	f5f9bed2bdcd9188fdd61b822376398022cebb03	GettysburgResearch/riemann	Chow resolution promotion and certificate interface	exact GitHub metadata/file freeze read in this audit conversation; not a claim that every PR tip is still unchanged	claim-specific in CLAIMS.tsv	https://github.com/GettysburgResearch/riemann/tree/f5f9bed2bdcd9188fdd61b822376398022cebb03
