needed_concept	upstream_project	exact_declaration	exact_commit	reusable_directly	adapter_required	missing_result	notes
Riemann Hypothesis	Mathlib	RiemannHypothesis	51e6992efd06126df61a496bebf8f49482a4e129	yes	no	no	Project RH is definitionally this proposition; machine lock path Mathlib/NumberTheory/LSeries/RiemannZeta.lean.
Riemann zeta	Mathlib	riemannZeta; differentiableAt_riemannZeta; analyticOn_riemannZeta	51e6992efd06126df61a496bebf8f49482a4e129	yes	yes	no	Adapter records the exceptional point s=1 and the junk-value convention there.
Completed zeta	Mathlib	completedRiemannZeta₀; completedRiemannZeta; differentiable_completedZeta₀; differentiableAt_completedZeta	51e6992efd06126df61a496bebf8f49482a4e129	yes	yes	no	The entire and meromorphic normalizations remain distinct; the latter has exceptional points 0 and 1.
Completed-zeta functional equation	Mathlib	completedRiemannZeta₀_one_sub; completedRiemannZeta_one_sub	51e6992efd06126df61a496bebf8f49482a4e129	yes	yes	no	Adapters expose which normalization is entire and retain s↦1-s exactly.
Zeta Dirichlet series	Mathlib	zeta_eq_tsum_one_div_nat_cpow; zeta_eq_tsum_one_div_nat_add_one_cpow; completedZeta_eq_tsum_of_one_lt_re	51e6992efd06126df61a496bebf8f49482a4e129	yes	yes	no	Only valid in the declared half-plane Re(s)>1; continuation is not conflated with convergence.
Analytic zero order	Mathlib	analyticOrderAt; analyticOrderNatAt; AnalyticAt.analyticOrderAt_eq_natCast	51e6992efd06126df61a496bebf8f49482a4e129	yes	yes	no	Zeta23 converts analyticOrderAt to Nat with toNat.
Analytic-to-meromorphic order	Mathlib	AnalyticAt.meromorphicOrderAt_eq	51e6992efd06126df61a496bebf8f49482a4e129	yes	yes	no	Locally adapted at rho≠1; machine lock path Mathlib/Analysis/Meromorphic/Order.lean.
Meromorphic pole order	Mathlib	meromorphicOrderAt; meromorphicOrderAt_mul; meromorphicOrderAt_inv; meromorphicOrderAt_div	51e6992efd06126df61a496bebf8f49482a4e129	yes	yes	no	Directly supports reciprocal-pole multiplicity after the analytic-order adapter.
Zero set local finiteness	Mathlib	riemannZetaZeros; isDiscrete_riemannZetaZeros; IsCompact.inter_riemannZetaZeros_finite	51e6992efd06126df61a496bebf8f49482a4e129	yes	yes	no	Mathlib zero set includes all zeros; project adapters separately impose nontrivial-zero conventions.
Mellin definition and convergence	Mathlib	mellin; MellinConvergent; HasMellin	51e6992efd06126df61a496bebf8f49482a4e129	yes	yes	no	Reused for standard Mellin only; the conclusion-facing [1,∞) tail transform is defined separately and exactly.
Mellin dilation	Mathlib	mellin_comp_mul_left; mellin_comp_mul_right; mellin_comp_rpow; mellin_comp_inv	51e6992efd06126df61a496bebf8f49482a4e129	yes	yes	no	Positive dilation hypotheses remain explicit.
Mellin linear combinations	Mathlib	hasMellin_add; hasMellin_sub; hasMellin_const_smul; mellin_const_smul	51e6992efd06126df61a496bebf8f49482a4e129	yes	yes	no	Project wrapper is deliberately named and documented as two-term; no arbitrary finite-family theorem is advertised.
Mellin compact kernels	Mathlib	hasMellin_one_Ioc; hasMellin_cpow_Ioc	51e6992efd06126df61a496bebf8f49482a4e129	yes	yes	no	Primitive compact-kernel transforms are reused; the fixed logarithmic-box multiplier is proved locally.
Mellin holomorphy in strips	Mathlib	mellin_hasDerivAt_of_isBigO_rpow; mellin_differentiableAt_of_isBigO_rpow; mellin_differentiableAt_of_isBigO_rpow_exp	51e6992efd06126df61a496bebf8f49482a4e129	yes	yes	no	Complex differentiability is wrapped as AnalyticAt with both endpoint bounds explicit.
Holomorphic arithmetic	Mathlib	AnalyticAt.add; AnalyticAt.sub; AnalyticAt.mul; AnalyticAt.inv; analyticAt_iff_analytic_mul	51e6992efd06126df61a496bebf8f49482a4e129	yes	no	no	Direct basis for fixed-defect and nonvanishing-multiplier transfer.
Project nontrivial-zero convention	Zeta23	Zeta23.IsNontrivialZero; Zeta23.zeroMult; Zeta23.zerosIn; Zeta23.RH_implies_on_line	cec57f919ccf34e5fa5372b4ba332f7c848bbb6e	yes	yes	no	Open-strip convention uses 0<Re(rho)<1 and analyticOrderAt multiplicity; machine lock path Zeta23/Statement.lean.
Closed zero seam and finite windows	Zeta23	Zeta23.zetaSeam; Zeta23.zerosIn_finite; Zeta23.riemannZeta_zeros_locallyFinite	cec57f919ccf34e5fa5372b4ba332f7c848bbb6e	yes	yes	no	Reusable after importing Statement.SeamClosed; no custom seam axiom.
Centered Xi coordinate	Zeta23	Zeta23.gammaOf	cec57f919ccf34e5fa5372b4ba332f7c848bbb6e	yes	yes	no	Project proves the reconstruction 1/2+i*gammaOf(rho)=rho.
Functional-equation reflection	Zeta23	Zeta23.reflect; Zeta23.zeta_reflect_zero; Zeta23.zeta_mult_reflect	cec57f919ccf34e5fa5372b4ba332f7c848bbb6e	yes	yes	no	Applies to Zeta23 nontrivial zeros; machine lock path Zeta23/ZetaReflect.lean.
Weil explicit formula	Zeta23	Zeta23.WeilEF.EF_lit_zeta	cec57f919ccf34e5fa5372b4ba332f7c848bbb6e	yes	yes	no	Literature form is reusable; project test-function normalizations remain separate adapters.
Riemann-von Mangoldt	Zeta23	Zeta23.RvM.riemannVonMangoldt	cec57f919ccf34e5fa5372b4ba332f7c848bbb6e	conditional	yes	no	The theorem takes an explicit Zeta23.GammaFacts argument.
Gamma and Stirling estimates	Zeta23	Zeta23.GammaFacts; Zeta23.gammaFacts	cec57f919ccf34e5fa5372b4ba332f7c848bbb6e	yes	yes	no	GammaFacts is a proved Prop-valued literature bundle; no custom axiom is introduced locally.
Chebyshev-Mertens	Zeta23	Zeta23.ChebyshevMertens; Zeta23.chebyshevMertens	cec57f919ccf34e5fa5372b4ba332f7c848bbb6e	yes	yes	no	Normalization uses Zeta23's von Mangoldt sums and thresholds.
Reviewed tail Mellin transform	Project-local on Mathlib measure theory	RiemannFormal.Analysis.tailMellin; TailMellinConvergent	573eb6aa42c3d9469462c91c6b3ddfb8ab36d77f	no	yes	no	Defined directly on [1,∞) with kernel x^(-s-1), avoiding the prior full-axis support mismatch.
Fixed logarithmic-box multiplier	Project-local analytic adapter	RiemannFormal.Analysis.logBoxMultiplier; logBoxMultiplier_nonzero	573eb6aa42c3d9469462c91c6b3ddfb8ab36d77f	no	yes	no	K_A(s)=(1-A^(-s))/s is proved analytic and nonzero for fixed A>1 and Re(s)>0; arithmetic smoothing remains open.
Landau-type lemmas	Mathlib	none at pinned commit	51e6992efd06126df61a496bebf8f49482a4e129	no	no	yes	No theorem matching the eventual-sign tail-Mellin boundary singularity was found.
Landau-named files	Zeta23	Zeta23.XiPrime.ZeroCount.Landau; Zeta23.WeilEF.Landau; Zeta23.ThmE.LandauChi	cec57f919ccf34e5fa5372b4ba332f7c848bbb6e	no	no	yes	These are zero-count or explicit-formula Landau estimates, not the required Mellin abscissa theorem.
Subpower negative-mass holomorphy	Mathlib and Zeta23	none at pinned commits	51e6992efd06126df61a496bebf8f49482a4e129;cec57f919ccf34e5fa5372b4ba332f7c848bbb6e	no	no	yes	The exact [1,∞) tail proposition is now stated locally as an explicit argument; its proof remains BLOCKED_LIBRARY.
