source_id	repository	pr	commit_sha	path	git_blob	reading_scope
BASE	GettysburgResearch/riemann	0	8d16f8d9c475db290bc85e53d775b93b9bcdb336	integration/2026-08-22/RELEASE_MANIFEST.json	199168add64ebbcc9b28519c4e8c2ca698287907	Previous-pass connector text; mathematical reconstruction in this pass
MOTHER	GettysburgResearch/riemann	715	99cc94c48bafd9b96141f7cef9f1e7aa83012747	claims/lemmas/L-102500-common-compact-mother-and-bezout.md	db4590fc23b53ed601e108a77e4d064b7d9d13f9	Previous-pass connector text; mathematical reconstruction in this pass
SHELL	GettysburgResearch/riemann	715	99cc94c48bafd9b96141f7cef9f1e7aa83012747	claims/lemmas/L-102502-cv-xd-channel-gram-and-shell-reserve.md	a3fdf5f60f82dfde2506de70827a9f3f235aa4b0	Previous-pass connector text; mathematical reconstruction in this pass
SQUARED	GettysburgResearch/riemann	715	99cc94c48bafd9b96141f7cef9f1e7aa83012747	claims/lemmas/L-102505-squared-core-physical-collapse-is-polylogarithmic.md	135b496421bbb0986946ae647e4e2b9058d8f22c	Previous-pass connector text; mathematical reconstruction in this pass
EB	GettysburgResearch/riemann	719	59654c02d13545d6c8c0972315db2628e9efa1f6	claims/lemmas/L-103120-qpti-has-an-exact-euler-beta-owner-core-transform.md	5d70e9e5fc3cde193fbaa2ae5342dc4c54892df4	Previous-pass connector text; mathematical reconstruction in this pass
EB_SIGN	GettysburgResearch/riemann	719	59654c02d13545d6c8c0972315db2628e9efa1f6	claims/lemmas/L-103121-euler-beta-live-core-mass-and-detector-semiprime-moment.md	25672a02523a4667f004a6e5875178727b3fd4cd	Previous-pass connector text; mathematical reconstruction in this pass
EB_REFUTE	GettysburgResearch/riemann	719	59654c02d13545d6c8c0972315db2628e9efa1f6	claims/refutations/R-103121-literal-qpti-euler-beta-field-has-a-negative-semiprime-main.md	d57c1757b95cc567cb026a007b4419f00b57afb1	Previous-pass connector text; mathematical reconstruction in this pass
F1_STOKES	GettysburgResearch/riemann	730	2db310ed742c2d980830614897ccd10eac852a24	claims/lemmas/L-105400-twisted-cubical-frobenius-stokes.md	7258ca8e54efb17bf04de224f0aaa5db2d65744a	Previous-pass connector text; mathematical reconstruction in this pass
F1_HODGE	GettysburgResearch/riemann	730	2db310ed742c2d980830614897ccd10eac852a24	claims/lemmas/L-105401-toric-f1-owner-hodge-index.md	8443ae6f8184a259deb1405345da5ffd027e6f7e	Previous-pass connector text; mathematical reconstruction in this pass
F1_OLD	GettysburgResearch/riemann	730	2db310ed742c2d980830614897ccd10eac852a24	standalone/2026-08-23-f1-finite-hodge/PROOF.md	080f8712bd7f36c546f3ee69765f9ce3f4018140	Previous-pass connector text; mathematical reconstruction in this pass
TAIL_PAIR	GettysburgResearch/riemann	730	2db310ed742c2d980830614897ccd10eac852a24	claims/lemmas/L-105501-balanced-vaughan-trilinear-is-a-native-tail-pair.md	34bdba7c36b83d0d96d4f6d730686acc52f0d549	Previous-pass connector text; mathematical reconstruction in this pass
CROSS_HODGE	GettysburgResearch/riemann	730	2db310ed742c2d980830614897ccd10eac852a24	claims/lemmas/L-105502-native-k1-tail-pair-has-an-exact-cross-hodge-signature.md	f3176b08454487ff308f0963ebaa0a672b9dd095	Previous-pass connector text; mathematical reconstruction in this pass
K2	GettysburgResearch/riemann	730	2db310ed742c2d980830614897ccd10eac852a24	claims/lemmas/L-105503-derivative-k1-has-an-exact-ratio-sixteen-hardy-primitive.md	3b79763d6dc15eae4586b6c528df167516ad50f9	Previous-pass connector text; mathematical reconstruction in this pass
NATIVE_CELL	GettysburgResearch/riemann	730	2db310ed742c2d980830614897ccd10eac852a24	claims/lemmas/L-105504-native-signed-cell-deficit-and-tail-hodge-gate-are-rh-equivalent.md	50eefbc0972a513217f5f2584c22caaababbb6a4	Previous-pass connector text; mathematical reconstruction in this pass
PRIMLS	GettysburgResearch/riemann	757	b870366141fe8d5f43d5b81f6e50a67d2a888070	research/l-families/atlas/function_field/FFPS_BOUNDARY_FIELD_PRIMITIVE_PAIR_LARGE_SIEVE_GATE.md	2abd49b975837c924009e33912e786b4b720e29c	Previous-pass connector text; mathematical reconstruction in this pass
MOLLIFIED	GettysburgResearch/riemann	757	b870366141fe8d5f43d5b81f6e50a67d2a888070	research/l-families/atlas/function_field/FFPS_MOLLIFIED_BETA_RH_EQUIVALENCE.md	f546d1e57c1886c1fddb590cd55b596a96bbefad	Previous-pass connector text; mathematical reconstruction in this pass
GRAM	GettysburgResearch/riemann	757	b870366141fe8d5f43d5b81f6e50a67d2a888070	research/l-families/atlas/function_field/FFPS_BOUNDARY_FIELD_NEAR_CORRELATION_CRITERION.md	105837343b6b8ef148488f492c66da8feae0334a	Previous-pass connector text; mathematical reconstruction in this pass
ATOMIC	GettysburgResearch/riemann	757	b870366141fe8d5f43d5b81f6e50a67d2a888070	research/l-families/atlas/function_field/FFPS_COMPLETE_BETA_ATOMIC_VARIATION_FIREWALL.md	e85848a9a6b24fd4911c2f58d8fb5cb316124d99	Previous-pass connector text; mathematical reconstruction in this pass
CENTRAL	GettysburgResearch/riemann	760	e3747c946379735d27658c010976cfff051843e9	research/l-families/atlas/function_field/FFPS_BETA_SECOND_DIFFERENCE_SINGLE_CHANNEL_REDUCTION.md	96239fdd47564e647a2503a7777d11225f1dc567	Previous-pass connector text; mathematical reconstruction in this pass
