pr	frozen_head	component	mathematical_status	review_note
202	d4c8e59f8f3f992a76fd48ad13bef78505dca7cc	affine one-sided adapters and source reservoir	VERIFIED_WITH_FIXES	Useful conditional machinery; the source-specific ground-state gate is itself RH-bearing.
202	d4c8e59f8f3f992a76fd48ad13bef78505dca7cc	cofinal affine ground-state completion	UNPROVEN	Off-line Xi-cardinal vectors obstruct the proposed unconditional route; non-ground escape theorem is absent.
226	63a4d7c0f482a57893db420e64b22f6a605c72e6	reflected Selberg coefficient identity	VERIFIED_WITH_FIXES	Sign/orientation repaired; retain only at its exact global or two-frequency scope.
226	63a4d7c0f482a57893db420e64b22f6a605c72e6	single-frequency vertical integral equals one physical block	FALSE	The correct unit-block identity requires independent frequencies and Phi_J(t-s), as in PR #241.
226	63a4d7c0f482a57893db420e64b22f6a605c72e6	absolute endpoint-coordinate bound	FALSE	Production terminal geometries have Omega(K) short coordinates.
233	b64b9878006733e59e9c988de0c5e33242134afb	exact finite resolvent and corrected terminal grammar	VERIFIED_WITH_FIXES	Use PR #235's full-tuple partition rather than the withdrawn recursive inference.
233	b64b9878006733e59e9c988de0c5e33242134afb	BTP(K) signed balanced recurrence	UNPROVEN	This remains the RH-bearing arithmetic theorem.
234	2d5043070e15fe6be94307381f4023eaa48c17a5	fixed-ratio shell transform, zero-safe multiplier, finite Gram	VERIFIED	Exact direct calculation.
234	2d5043070e15fe6be94307381f4023eaa48c17a5	RH equivalence of subexponential shell blocks	VERIFIED	Moment-to-holomorphy and RH-to-Mertens directions are valid.
234	2d5043070e15fe6be94307381f4023eaa48c17a5	exact rightmost-zero block exponent formula	VERIFIED_WITH_FIXES	Replace the shorthand Hardy-abscissa citation by an explicit generalized Mertens/rightmost-zero growth theorem.
235	1a86fd1f645d0ca208c0689bf2f0b41ae6448858	direct full-tuple terminal/balanced partition	VERIFIED	The deterministic prefix proof gives a strict 7J/8 reserve at eta=1/4.
236	1c9a749a1648c4772509eb3b056598c7044f4393	all-ratio causal shell filters	VERIFIED	Pointwise telescoping and two-sided l1 energy transfer are exact.
236	1c9a749a1648c4772509eb3b056598c7044f4393	binary-digit and parity-comb convolutions	VERIFIED	Coefficient and partial-sum identities independently replayed.
239	556e45a02d437a96c06d991bf140cb184dcf1803	exact Bohr lift	VERIFIED	Useful source representation.
239	556e45a02d437a96c06d991bf140cb184dcf1803	absolute rank bound independent of K	FALSE	Same-sign squarefree product cubes have exact affine rank K.
239	556e45a02d437a96c06d991bf140cb184dcf1803	source-specific signed balanced contraction	UNPROVEN	The high-rank witness does not show this stronger arithmetic theorem false.
240	f3ce8f617806817b28b8fac64b7d66272887f2c3	two-contact terminal carry theorem	UNPROVEN	No complete K=6, K=8, or symbolic source dictionary is supplied.
241	3a227e7595e1fe9e38956048297aa97531c80e4e	two-frequency reflected local-block identity	VERIFIED	Fourier inversion and mixed coefficient identity give the exact normal Gram.
242	1d5c9226db03022a11f92b2f84395da4eec4cb68	abstract Brianchon-Gram/Brion algebra	VERIFIED_WITH_FIXES	Valid only after the source valuation is actually defined on every boundary convention.
242	1d5c9226db03022a11f92b2f84395da4eec4cb68	BRANK/BLINE/BSHORT on production packets	UNPROVEN	The required complete manifests and numerator-to-line injections are absent.
243	225c5e3d231ac23b6f487cd43e0dc89d48d3db1c	carry Mobius contraction and continuum Mellin profile	VERIFIED	Exact finite and transform algebra independently replayed.
243	225c5e3d231ac23b6f487cd43e0dc89d48d3db1c	conditional-Hankel/Bernstein positivity derivation	FALSE	The necessary derivative-kernel determinant equals -233/64.
243	225c5e3d231ac23b6f487cd43e0dc89d48d3db1c	pointwise carry-profile positivity	UNPROVEN	No negative profile value is exhibited; only the proposed derivation fails.
244	8b1a05012842d6e4cab3dc082394457437075af8	greedy feasible carry minorant	VERIFIED	Backward minimum-ratio elimination is finite and exact.
244	8b1a05012842d6e4cab3dc082394457437075af8	mass-slack reduction	VERIFIED	Lower-order debt is automatic and sharp mass is equivalent to total slack.
244	8b1a05012842d6e4cab3dc082394457437075af8	Greedy Slack Theorem	UNPROVEN	This is the same discrete hinge as PR #252 DCRS.
246	6ed08a69d5d80bbecd66a88bf7f3069bff049844	positive four-band phase renewal and floor transfer	UNPROVEN	The exact critical-mass-preserving renewal is not constructed.
247	9d02d862c9986572f0e20a64fbf442748b986f8a	continuum carry kernel and probability law	VERIFIED	Mellin transform, mass one-half, and harmonic-interval law are exact.
247	9d02d862c9986572f0e20a64fbf442748b986f8a	FGCM implies sharp finite packing	VERIFIED	Conditional discretization and mass ledger are correctly oriented.
247	9d02d862c9986572f0e20a64fbf442748b986f8a	cofinal FGCM certificates	UNPROVEN	No symbolic all-X construction is supplied.
248	3eb0d322c1908f84c1d95810b1d6a14ff19dd570	second-difference divisor-gradient LP and Green Gram	VERIFIED	Exact finite identities independently replayed.
248	3eb0d322c1908f84c1d95810b1d6a14ff19dd570	nonnegative monotone Divisibility Cover	FALSE	PR #254 proves an Omega(sqrt X) dual cost.
248	3eb0d322c1908f84c1d95810b1d6a14ff19dd570	Green-Energy Theorem	UNPROVEN	Its scalar projection already contains the prime-ramp discrepancy.
