semantic_id	source_pr	source_head_sha	source_path	source_claim_id	same_statement_as	supersedes	superseded_by	contradicts	namespace_collision_with	review_verdict	notes
CONSUMER.MELLIN.HOLOMORPHIC_DEFECT	641	19cd3939a54ccea73b055b3952b5dd7ed638c4fb	claims/lemmas/L-99241-resolved-defect-is-mellin-holomorphic.md	L-99241						VERIFIED	Canonical analytic defect-transfer component; independent of the broken one-row selection.
CONSUMER.MELLIN.FIXED_ROW_MOVING_SELECTION	641	19cd3939a54ccea73b055b3952b5dd7ed638c4fb	claims/lemmas/L-99242-positive-surrogate-preserves-reciprocal-zeta-poles.md	L-99242/T-99240			CONSUMER.MELLIN.TWO_ROW	fixed-detector requirement		GAP_BLOCKED	A row cannot be selected after the hypothetical zero is introduced.
CONSUMER.MELLIN.TWO_ROW	652	24ab64551225f2dba9aa53a533eb9b0285c6e363	claims/lemmas/L-99602-exact-two-row-mellin-landau-consumer.md	L-99602		CONSUMER.MELLIN.FIXED_ROW_MOVING_SELECTION				VERIFIED	Controlling fixed-detector theorem: rows 2 and 3.
CONSUMER.MELLIN.NEGATIVE_MASS	652,653	24ab64551225f2dba9aa53a533eb9b0285c6e363,e928fd615d753882706bb88c51b717bd8d4a86ba	claims/lemmas/L-99603-subpower-harnack-negative-mass-is-enough.md;claims/lemmas/L-99270-zero-free-smoothing-and-negative-mass.md	L-99603/L-99270	subpower logarithmic negative-mass Landau interface	pointwise eventual positivity as necessary interface				VERIFIED	The implication is verified; the arithmetic estimate remains open.
ANALYTIC.WAVELET.MINIMAL_RATIO8	674,675,689	9962f7f712adc6b4ad72672ecfeace028ba79bdb,7b28224ba1b072d4ccd5b93ad37c0a64e7939740,1751b5d63d981f1d39e0679a5997a7e32d2f1649	claims/lemmas/L-100131-wavelet-energy-abscissa-equals-rightmost-zero.md;claims/lemmas/L-100500-compact-abel-mertens-frame.md	T-99910/T-100130/T-100500	minimal ratio-eight ordinary-Mobius wavelet family			positive floor-kernel detector shortcut	T-100200 (unrelated live claim); source packet migrated to T-100500	VERIFIED_WITH_FIXES	Use semantic alias, not numeric T-ID.
OPERATOR.XI.PICK_ORDER3	446	880d14cb4bcbf542ec199137d60c58d9a8fd723d	claims/theorems/T-92100-all-three-node-infinitesimal-safe-xi-pick-matrices-are-unconditionally-positive.md	T-92100	T-92200 on PR #460	PR #445 conditional compact-curvature frontier				VERIFIED_WITH_FIXES	Controlling theorem is #446; #460 imports/rederives it in squared-pole language.
OPERATOR.XI.PICK_ORDER3.DETERMINANT	445	c079c2ef21022be951027de1316aecf1168422c1	claims/lemmas/L-92000-three-node-caratheodory-determinant-factors-into-two-scalar-curvatures.md	L-92000	three-node divided-difference factorization					VERIFIED	Standalone algebraic theorem.
OPERATOR.XI.LOOWNER_ORDER2	460	db9a767e312d9928f5ef827762dcb4ef95494af0	claims/theorems/T-92201-the-safe-xi-impedance-is-matrix-monotone-of-order-two.md	T-92201	OPERATOR.XI.SCHWARZIAN_ORDER2			complete-Bernstein passivity from low scalar shadows		VERIFIED_WITH_FIXES	Order two only; no all-order implication.
OPERATOR.XI.FRACTIONAL_STRING	461	ea633d416609565b3926f37c9302c93e1b818e2d	claims/lemmas/L-92300-the-safe-xi-impedance-has-a-universal-fractional-string-scaling-limit.md	L-92300/L-92301/L-92302	high-safe-axis fractional-string family			fixed finite order as RH detector		MIXED	Scaling and fixed-order beta-Hankel limit verified with fixes; growing-order theorem gap-blocked.
OPERATOR.SUZUKI.AMPLITUDE_EMBEDDING	400	7dc9fec9eb5fab4ee9340ddbc5a52e36a6ab617e	claims/lemmas/L-91035-suzuki-hankel-is-the-explicit-completed-jordan-scattering-isometry.md	L-91035	completed Jordan-Hankel amplitude isometry	scalar fixed-scale form-core shortcut		amplitude unitarity implies curvature sign		VERIFIED_WITH_FIXES	Imported primary theorem plus local normalization; endpoint remains first-chaos domination.
