semantic_id	source_pr	source_head_sha	source_path	false_statement	counterexample_or_no_go	controlling_review	what_survives	current_replacement	verdict	evidence_tier	notes
REFUTATION.MELLIN.MOVING_ROW	641	19cd3939a54ccea73b055b3952b5dd7ed638c4fb	claims/lemmas/L-99242-positive-surrogate-preserves-reciprocal-zeta-poles.md	One fixed-row theorem may choose a sufficiently large row after a hypothetical zero is introduced.	Quantifier order: the detector must be fixed before the zero; the proof establishes only existence of a row depending on the zero.	Reviewer B 2026-08-21	Holomorphic-defect transfer and each fixed-row transform.	Fixed rows 2 and 3 in L-99602.	GAP_BLOCKED	LINE_BY_LINE_RECONSTRUCTION	Not a minor textual repair.
REFUTATION.MELLIN.POSITIVE_FLOOR_KERNEL	675	7b28224ba1b072d4ccd5b93ad37c0a64e7939740	claims/refutations/R-100130-positive-floor-kernel-cancels-the-zeta-detector.md	Positive floor-kernel Möbius convolution detects reciprocal-zeta poles.	Finite Möbius inversion gives a positive coefficient sum and the floor zeta factor cancels 1/zeta.	PR #675 plus Reviewer B	Tautological positivity identity.	Minimal signed ordinary-Möbius wavelet.	REFUTED_MECHANISM	LIGHT_EXACT_REPLAY	Canonical multiplier firewall.
REFUTATION.OWNER.ROOT_TERM_EXCESS	671	2889071e9ebdc412b94cf2cfe74f1fd5142b2857	claims/refutations/root-term-firewall in PR #671	Controlling only the positive Hardy or divisor-GCD excess controls the unknown scalar.	Both squares equal |sum c_n|^2 plus a positive excess; the unknown root remains.	PR #671 plus Reviewer B	Positive divisor-restriction renewal and exact decompositions.	A root-free or carrier-preserving estimate.	REFUTED_MECHANISM	LINE_BY_LINE_RECONSTRUCTION	HTOC and DGOC are RH-equivalent.
REFUTATION.XI.ORDER2_BOOTSTRAP	438	bb7327d21c47410820cda2671f45dbe709a72eea	claims/refutations/R-91902-order-two-does-not-bootstrap.md	Universal two-node Pick positivity bootstraps abstractly to order three.	Exact planted off-line orbit has a negative rational three-node determinant.	Reviewer B light replay	Actual-Xi order-two theorem.	Order-three reciprocal-curvature allocation.	REFUTED_MECHANISM	SMALL_INDEPENDENT_FIXTURE	Order three requires zeta-specific structure.
REFUTATION.XI.LOW_SHADOWS_COMPLETE_BERNSTEIN	460	db9a767e312d9928f5ef827762dcb4ef95494af0	claims/refutations/R-92200-strict-concavity-does-not-imply-complete-bernstein-passivity.md	Strict concavity, low scalar shadows, or adjacent log-convexity imply all-order passivity.	Rational squared-pole model passes low shadows but has a negative higher Loewner determinant.	Reviewer B light replay	Order-two Loewner and adjacent low-order Hankel results.	All Hankel orders or a positive Krein-string realization.	REFUTED_MECHANISM	SMALL_INDEPENDENT_FIXTURE	Finite orders are not enough.
REFUTATION.XI.FINITE_ORDER_DELAYED_FAILURE	461	ea633d416609565b3926f37c9302c93e1b818e2d	claims/refutations/R-92300-arbitrarily-many-positive-hankel-orders-can-hide-one-off-line-pole-pair.md	An arbitrarily large fixed number of positive Loewner/Hankel orders rules out an off-line pole pair.	N real poles plus one weak conjugate pair pass through order N+1 and fail later.	Reviewer B light replay	Every prescribed fixed order is eventually positive high on the safe axis.	Near-cut all-order or growing-order theorem.	REFUTED_MECHANISM	LIGHT_EXACT_REPLAY	Growing-order theorem itself remains gap-blocked.
REFUTATION.OPERATOR.ONE_GREEN_PICK	398	043180519da90af2ea242a5055cbdad9ca40bc62	claims/refutations/R-91005-safe-jordan-one-green-does-not-imply-pick-continuation.md	One safe Green specialization implies full Pick continuation.	A planted bounded-type factor preserves the safe specialization while violating the target Pick kernel.	PR #398 correction chain	Safe-real Pick criterion and local/global continuation conditional on actual local positivity.	Source-faithful full Pick kernel.	REFUTED_MECHANISM	LINE_BY_LINE_RECONSTRUCTION	Positive safe-side data are not sufficient.
REFUTATION.SUZUKI.SCALAR_FORM_CORE	400	7dc9fec9eb5fab4ee9340ddbc5a52e36a6ab617e	claims/refutations/R-91008-scalar-causal-mother-has-hidden-jump-defect.md	The scalar fixed-scale carrier derivatives form the full weighted mean-zero form core.	The causal mother has a positive-time zero; a weighted step at that zero is orthogonal to every scalar carrier derivative.	PR #400 correction chain	Delay-fibre geometry.	Delayed causal/anti-causal families plus bridge.	REFUTED_MECHANISM	LINE_BY_LINE_RECONSTRUCTION	Source geometry changes materially.
REFUTATION.SUZUKI.AMPLITUDE_TO_CURVATURE	400	7dc9fec9eb5fab4ee9340ddbc5a52e36a6ab617e	claims/refutations/R-91009-unitary-scattering-amplitude-does-not-sign-the-radial-delay-curvature.md	Unitary amplitude scattering signs the radial curvature.	An explicit inner family has positive phase delay but negative normalized radial curvature.	PR #400	Amplitude isometry.	First-chaos source-to-output domination.	REFUTED_MECHANISM	LINE_BY_LINE_RECONSTRUCTION	Amplitude and curvature are different levels.
REFUTATION.SUZUKI.SCALAR_COMMUTATOR	400	7dc9fec9eb5fab4ee9340ddbc5a52e36a6ab617e	claims/refutations/R-91010-wigner-smith-commutator-is-only-the-scalar-diagonal.md	A scalar Wigner-Smith commutator represents the full cross-carrier delayed Gram.	Off-diagonal carrier kernels are nonzero while the multiplication surrogate is diagonal.	PR #400	Scalar diagonal identity.	Fully polarized carrier-delay-orientation-bridge Gram.	REFUTED_MECHANISM	LINE_BY_LINE_RECONSTRUCTION	Cross terms are load-bearing.
REFUTATION.OPERATOR.RAW_DELAY_INVARIANCE	404	ab71aa1fe0b1fd192011bbf40f032d2f42889ea0	claims/refutations/R-91011-arbitrary-delays-do-not-automatically-preserve-the-suzuki-model-space-factorization.md	Raw positive delays preserve the model space.	The raw delay splits into resident compression plus nonzero leakage.	PR #404/#429	Exact mixed-delay Gram decomposition.	Compressed delay semigroup and leakage cocycle.	REFUTED_MECHANISM	LIGHT_EXACT_REPLAY	All leakage cross terms must be retained.
REFUTATION.OPERATOR.FISHER_POSITIVE_POISSON	404	ab71aa1fe0b1fd192011bbf40f032d2f42889ea0	claims/refutations/R-91402-completed-xi-fisher-law-is-not-a-positive-poisson-source.md	The completed Xi Fisher law is the positive ordinary-prime Poisson law.	The completed law is quasi-infinitely divisible but not infinitely divisible in the cited safe range.	PR #404 plus primary-source audit	Separate prime Poisson and completed Fisher colligations.	A renormalized common-source map.	REFUTED_MECHANISM	ARTIFACT_AND_METHOD_AUDIT	Canonical source lock needs exact parameter conversion.
