object	frozen_head	verdict	exact_scope
PR #508 directed tail	4ae97dffd1f76ed3244b8f3028560ffa80663caf	RETAINED / CONTROLLING	directed all-row tail, row-66 certificate extremality, compact/tail join
PR #508 L-93783 typed leaf	4ae97dffd1f76ed3244b8f3028560ffa80663caf	VERIFIED AS ABSTRACT LEAF ALGEBRA	nu/B/sigma identities after actual E/O coefficients are supplied
PR #508 synthetic common-parent replay	4ae97dffd1f76ed3244b8f3028560ffa80663caf	INSUFFICIENT	fixtures do not instantiate endpoint fibre, source marginal or real paths
Review #504	fe1a3c94379c3d159efa05ea216d12643e63be16	ACCEPTED	live endpoint/source/path generator is required
L-94020	new	PROVED EXACT	continuum and finite endpoint marginals, P61/rough owners and path coefficients
L-94021	new	PROVED DIRECTED	positive E/R outer fibre on 1<=x<67
L-94022	new	PROVED EXACT WITH SCOPE	finite-forcing beta/gamma parent allocation; not native child cancellation
R-94020 finite occurrence witness	new	PROVED EXACT	finite log occurrence is not paired SHARP atom
R-94020 q2 child separator	new	PROVED EXACT	actual oriented child ordinary/detail coordinate is strictly negative
L-94023	new	PROVED EXACT REDUCTION / OPEN FEASIBILITY	one joint primal/Farkas problem for actual anchored source
L-94024	new	PROVED CONDITIONAL	one joint coefficient system through q/4q, Y4 and endpoint consumer
T-94020	new	UNCONDITIONAL FRONTIER / CONDITIONAL ENDPOINT	JNTLC is sole open producer; RH unproved
PR #507	dfaa70cd2eefcabbf6717e3da060792904c7f357	PARTIAL IMPORT	native-source-tree/rough-lift distinction and first ownership only
Review #512	625a9273696a1f017f32d37bf9052423ee8590c7	ACCEPTED	branchwise positive actual-child realization is impossible
PR #509	e01daee9cdfea35d2a7d2591f1df6c8080084119	PARTIAL IMPORT	literal finite/continuum marginal split and owner schema; fixtures not proof
PR #511	6ece82279cb03474ebc79914db572f6ff095d238	PARTIAL IMPORT	T=E+2R and S=2E+R; one hostile leaf not complete root
PR #513	4275fe97aa5ba885210abb6296c7048386e5909d	PARTIAL IMPORT	direct positive outer Volterra row only
PR #514	944dabba065271f08f3cade0215292dcfbab590f	ACCEPTED	negative q2 child coordinate and joint-cancellation necessity
Riemann Hypothesis	-	UNPROVEN	joint native Target-Lorenz coupling and frozen analytic consumers remain unaccepted
