family	canonical_claim_count	combined_inspection	first_pass_units	second_pass_units	remaining_boundary
brownian_weil	6	PRIMARY_COMPONENTS_PLUS_SECONDARY_EXTRACT	D-U067	D2-U008;D2-U009;D2-U010;D2-U011;D2-U012	Corrected Fredholm normalization and uniform remainder; full cardinal capture and fixed-height Brownian moments still unreviewed.
c4mbi	1	OPEN_GATE_MAP_ONLY			Full four-band primitive derivation not audited; open status retained.
carry_critical_hinge	3	ABEL_PROOF_RECONSTRUCTED_WITH_REWARD_INPUT		D2-U023	Primitive L-90217 reward generator and all three convexity counterexample files not re-audited.
conjunctive	18	FOCUSED_PROOFS	D-U068;D-U069;D-U070;D-U071;D-U072;D-U073;D-U074		First-pass boundary unchanged; no new acceptance of unlisted sources or computations.
dickman_bellman	3	CORE_ADAPTERS_READ_BASE_INPUT_STILL_EXPLICIT	D-U064;D-U065	D2-U026;D2-U027;D2-U028	Discrete comparison and signed profile adapter checked; actual repaired P61 base derivative/variation closure remains imported.
direct_main_cauchy_jordan	3	FOCUSED_PRIMARY_PROOFS		D2-U005;D2-U006;D2-U007;D2-U029;D2-U030	Divisor cocycle and anchor jet checked; real-part correction; L-91022 and full boundary interface not audited.
direct_main_mellin	4	PRIMARY_ANALYTIC_COMPONENTS		D2-U031;D2-U032	Transform and fixed-z asymptotic checked; all-row arithmetic sign remains open.
direct_main_p79	6	EXACT_SPLIT_AND_BUDGET_ONLY		D2-U017;D2-U018	Do not rehabilitate prior false Hall/surplus or positive splice; .4 excluded explicitly.
direct_main_taylor	6	PRIMARY_KERNEL_REMAINDER_CONSUMER		D2-U013;D2-U014;D2-U015;D2-U016	Supercritical/remainder proofs checked; critical producer remains open and its statuses are split.
factor67_lorenz	1	OPEN_GATE_MAP_ONLY			Full factor67 producer/refutation lineage not re-audited; no new theorem acceptance.
finite_certificates	2	RESIDENT_FINITE_MATRIX_LEMMA_ONLY		D2-U033	Neither actual Pick primitive box is regenerated; larger Robin streams remain unreplayed.
heat_hermite	6	FOCUSED_PROOFS_WITH_UNREAD_INPUTS	D-U041;D-U042;D-U043;D-U044		First-pass boundary unchanged; no new acceptance of unlisted sources or computations.
historical_native_assets	7	PRIMARY_FINITE_AND_DISTRIBUTIONAL_COMPONENTS		D2-U001;D2-U002;D2-U003;D2-U004;D2-U019;D2-U020;D2-U021;D2-U022	Both Farkas forms checked with sign/certificate repairs; source feasibility and endpoint positivity not proved.
mellin_landau	12	FOCUSED_PROOFS	D-U001;D-U002;D-U003;D-U004;D-U005;D-U006		First-pass boundary unchanged; no new acceptance of unlisted sources or computations.
native_endpoint	1	OPEN_GATE_MAP_ONLY		D2-U039	Full producer source proof not recovered; cannot promote from coverage map.
owner_vaughan	6	ADDITIONAL_FULL_COEFFICIENT_FACTORIZATION	D-U026;D-U027;D-U028;D-U029;D-U030	D2-U024;D2-U025	Earlier omitted two-field source proof now checked; Type-I analytic/source inputs not fully closed.
q4	11	FOCUSED_PROOFS	D-U012;D-U013;D-U014;D-U015;D-U016;D-U017		First-pass boundary unchanged; no new acceptance of unlisted sources or computations.
review_infrastructure	3	METADATA_ONLY		D2-U038	First-pass boundary unchanged; no new acceptance of unlisted sources or computations.
safe_line_operator	4	FOCUSED_PROOFS_WITH_UNREAD_INPUTS	D-U059;D-U060		First-pass boundary unchanged; no new acceptance of unlisted sources or computations.
sharp_native	9	FOCUSED_PROOFS	D-U007;D-U008;D-U009;D-U010;D-U011	D2-U036	First-pass boundary unchanged; no new acceptance of unlisted sources or computations.
suzuki_hardy	4	SAFE_MASS_INPUTS_RECONSTRUCTED	D-U061;D-U062;D-U063	D2-U034;D2-U035	Prime and negative continuum masses now checked; Nakamura source import and full critical identification distinct.
terminal	1	METADATA_ONLY		D2-U040	First-pass boundary unchanged; no new acceptance of unlisted sources or computations.
wavelet_xd	9	UPPER_ABSCISSA_ADAPTER_SUPPLIED	D-U018;D-U019;D-U020;D-U021;D-U022;D-U023;D-U024;D-U025	D2-U037	R15 closes growth/H2 gap; prior energy mismatch and repaired old-energy proof remain binding.
xi_pick	13	FOCUSED_PROOFS	D-U031;D-U032;D-U033;D-U034;D-U035;D-U036;D-U037;D-U038;D-U039;D-U040		First-pass boundary unchanged; no new acceptance of unlisted sources or computations.
legacy_robin		RESIDENT_PACKET	D-U045;D-U046;D-U047;D-U048;D-U049		First-pass boundary unchanged; no new acceptance of unlisted sources or computations.
legacy_corrections		RESIDENT_PACKET	D-U050;D-U051;D-U052;D-U053;D-U054		First-pass boundary unchanged; no new acceptance of unlisted sources or computations.
legacy_xi		RESIDENT_PACKET	D-U055;D-U056;D-U057;D-U058		First-pass boundary unchanged; no new acceptance of unlisted sources or computations.
formal_metadata		METADATA_ONLY	D-U066		First-pass boundary unchanged; no new acceptance of unlisted sources or computations.
