computation_id	source_pr	source_head_sha	source_path	method_scope	retained_artifact	retained_hash	mathematics_status	method_status	artifact_status	heavy_rerun_status	light_checks	verdict	notes
COMP.REVIEWER_B.LIGHT_REPLAYS	review	SELF_REVIEW_BRANCH	review/2026-08-21/operator/replay/	Exact Fraction/symbolic fixtures only	verification.json and per-script JSON	generated in replay/SHA256SUMS	Supports only local identities	INDEPENDENT_LIGHT_REPLAY	GENERATED	NOT_APPLICABLE	Mellin numerators; Xi order-three algebra and budget; Loewner/Hankel; heat separators; Q4 filter; operator local identities	LIGHT_EXACT_REPLAY	Passing replay never upgrades an open theorem.
COMP.XI.ORDER3.SOURCE_REPLAY	446	880d14cb4bcbf542ec199137d60c58d9a8fd723d	experiments/X-92100-critical-reserve-allocation/verify.py	Exact rational local curvature replay	source verify.py	Git blob 5020ebd96949d3942866471b27eadbc618c55b4d	Independently reconstructed	SOURCE_SCRIPT_UNRUNNABLE	CORRUPT_SYNTAX	EXTERNAL_ZERO_CAMPAIGN_NOT_RERUN	Independent clean replay reproduces local algebra and 1.7837e-10 budget bound	VERIFIED_WITH_FIXES	Replace the corrupt source replay; do not claim its retained PASS was authenticated.
COMP.XI.EXTERNAL_ZERO_HEIGHT	446,460	880d14cb4bcbf542ec199137d60c58d9a8fd723d,db9a767e312d9928f5ef827762dcb4ef95494af0	literature/external/*verified-height*source-lock.md	Audit legal use of published finite-height theorem	external source lock		Frozen external input	SOURCE_AND_USE_AUDITED	NO_LOCAL_RECOMPUTATION	HIGH_ZERO_VERIFICATION_NOT_RERUN	Checked how the height, simplicity and tail estimates enter	RETAINED_HEAVY_CERTIFICATE	Canonical lock must repair journal citation metadata.
COMP.XI.FRACTIONAL_STRING	461	ea633d416609565b3926f37c9302c93e1b818e2d	experiments/X-92300-fractional-string-renormalization/	Central-binomial determinants and delayed rational fixture	retained verification JSON		Fixed-order algebra reconstructed	LIGHT_FIXTURE_REPLAYED	METHOD_AUDITED	LARGE_MATRIX_SEARCH_NOT_RERUN	Beta-Hankel determinant through n=6; delayed finite-order failure	VERIFIED_WITH_FIXES	Does not establish the growing-order theorem.
COMP.OPERATOR.JULIA_MARGIN	408	ea3948ea21d90b9c9824874c5051dcc76e216a5b	claims/theorems/T-91501-prime-julia-reserve-absorbs-the-fixed-scale-oscillatory-long-jump-channel.md	Exact rational arithmetic	reviewer replay		Inequality survives	LIGHT_EXACT_REPLAY	SOURCE_CONSTANT_WRONG	NOT_APPLICABLE	1-(85/196)^2-1/4 = 21587/38416	VERIFIED_WITH_FIXES	Source prints 19751/38416; corrected margin is larger.
COMP.HEAT.FRACTIONAL	618,622,623	2dfa73325a6402418fc64b9e554c1b13dd2b9bf1,9d70d2b8bd932d1775600dd5e95f501324eae72b,712412e286cc309bbe9960ee839df158316df9e5	experiments/X-98710-fractional-heat-bohr/;experiments/X-99000-fractional-heat-obstruction/	Exact finite source and separator algebra	retained JSONs and source locks		No-go algebra reconstructed	METHOD_AUDITED	RETAINED	BROAD_VERTICAL_LIMIT_CAMPAIGN_NOT_RERUN	Tao determinant -80/81; Weyl identities; source coefficient fixtures	VERIFIED_WITH_FIXES	Analytic Bohr argument, not floating search, controls the verdict.
COMP.Q4.ANNULAR_KERNELS	580	812e7fcbaff2dd1c2c53c885def7b6c0d0e68a05	experiments/X-95400-q4-focc-annular/certificates/exact_kernels.json	Exact Q(sqrt(2)) kernel/filter algebra	exact_kernels.json		Annularization reconstructed	LIGHT_EXACT_REPLAY	METHOD_AUDITED	BROAD_ENDPOINT_SCAN_NOT_RERUN	Filter polynomial, support, inverse l1 mass 64/21	VERIFIED_WITH_FIXES	Ten-band coefficient file retained; only representative identities replayed.
COMP.Q4.FIVE_MILLION_RECON	606	327c0967c67e7efa08fcb62937ca1730f8c24069	claims/observations/O-95600-filtered-cross-sign-reconnaissance.md	Floating reconnaissance through five million endpoints	retained observation		Nonprobative	NOT_REVIEWED_AS_PROOF	RETAINED	NOT_RERUN	None required for theorem verdict	EMPIRICAL_ONLY	Must not enter a proof edge.
COMP.SHARP.H67.1E8	653	e928fd615d753882706bb88c51b717bd8d4a86ba	experiments/*T99270* retained transcripts	Independent 1e8 finite positivity campaign	compressed/raw transcript and proof object	as frozen in PR #653	Finite computer-assisted theorem only	ARTIFACT_AND_METHOD_AUDIT	HASHES_RETAINED	1E8_CAMPAIGN_NOT_RERUN	Source/contract inspection only	RETAINED_HEAVY_CERTIFICATE	Reviewer A owns arithmetic producer classification.
COMP.BROWNIAN.BOHR	388	ede3f2db2fe0c571964d2e603ba5d91ee463091a	reports/integration-wave/20260811-pr376-brownian-bohr-instability-review.md	Analytic selected-prime/vertical-limit theorem	merged review report		Binding reviewed no-go	REVIEW_IMPORTED	RETAINED	BROWNIAN_SCANS_NOT_RERUN	Review status and correction scope inspected	VERIFIED_WITH_FIXES	No new Brownian producer after the reviewed class was identified.
COMP.FREDHOLM.REPLAYS	373,387	34fe2037ba33bc61fc1e6ce04c7e74ab7b13e794,388ba7feb9927025d46a70963389ec45c9ead2ac	experiments/X-zeta23-fredholm-pontryagin/;experiments/X-90705-high-carrier-fixed-degree-firewall/	Finite spectral/exterior fixtures	retained JSONs		Illustrative local algebra	METHOD_AUDITED	RETAINED	NYSTROM_AND_MATRIX_SWEEPS_NOT_RERUN	Analytic fixed-degree asymptotic proof inspected	VERIFIED_WITH_FIXES	All-order sign remains open.
COMP.FINITE.ROBIN	372	9b9c2536d89b65cb999ec08e20fce3386383803a	integration/2026-08-11 finite Robin records	Finite exact barrier through 5583	canonical retained certificate		Finite theorem	IMPORTED_REVIEW	RETAINED	LARGE_SCAN_NOT_RERUN	Provenance inspected	RETAINED_HEAVY_CERTIFICATE	No global implication.
