semantic_id	source_pr	source_head_sha	source_path	source_claim_id	statement_short	dependencies	quantifier_scope	proof_kind	mathematical_verdict	evidence_tier	required_fix	first_broken_arrow	rh_relationship	supersedes	superseded_by	duplicate_of	computation_status	canonicalization_recommendation	notes
CONSUMER.MELLIN.HOLOMORPHIC_DEFECT	641	19cd3939a54ccea73b055b3952b5dd7ed638c4fb	claims/lemmas/L-99241-resolved-defect-is-mellin-holomorphic.md	L-99241	A fixed-row bounded or Mellin-holomorphic signed defect cannot cancel a reciprocal-zeta pole.		fixed row; Re(s)>0	analytic	VERIFIED	LINE_BY_LINE_RECONSTRUCTION			analytic_consumer_component				NOT_APPLICABLE	CANONICAL_CONSUMER	
CONSUMER.MELLIN.FIXED_ROW_MOVING_SELECTION	641	19cd3939a54ccea73b055b3952b5dd7ed638c4fb	claims/lemmas/L-99242-positive-surrogate-preserves-reciprocal-zeta-poles.md	L-99242/T-99240	The stated one-row conclusion chooses a sufficiently large row after introducing a hypothetical zero.			logic/quantifiers	GAP_BLOCKED	LINE_BY_LINE_RECONSTRUCTION	Not minor: replace by a genuinely fixed zero-safe row or finite fixed family.	Detector changes after the hypothetical zero is chosen.	invalid_as_stated		CONSUMER.MELLIN.TWO_ROW		NOT_APPLICABLE	ARCHIVE_WITH_GAP	
CONSUMER.MELLIN.TWO_ROW	652	24ab64551225f2dba9aa53a533eb9b0285c6e363	claims/lemmas/L-99602-exact-two-row-mellin-landau-consumer.md	L-99602	Fixed rows 2 and 3 have exact transforms and no common numerator zero in Re(z)>0.		two fixed detectors	analytic	VERIFIED	LIGHT_EXACT_REPLAY			conditional_implication_to_RH	CONSUMER.MELLIN.FIXED_ROW_MOVING_SELECTION			LIGHT_EXACT_REPLAY	CANONICAL_CONSUMER	
CONSUMER.MELLIN.SUBPOWER_NEGATIVE_MASS	652	24ab64551225f2dba9aa53a533eb9b0285c6e363	claims/lemmas/L-99603-subpower-harnack-negative-mass-is-enough.md	L-99603	Subpower logarithmic negative mass gives a holomorphic correction and the Mellin-Landau RH implication.		N(T)=T^{o(1)}	analytic	VERIFIED	LINE_BY_LINE_RECONSTRUCTION			open_sufficient_for_RH				NOT_APPLICABLE	CANONICAL_CONSUMER	
CONSUMER.MELLIN.ZERO_SAFE_BOX	653	e928fd615d753882706bb88c51b717bd8d4a86ba	claims/lemmas/L-99270-zero-free-smoothing-and-negative-mass.md	L-99270	A fixed logarithmic box has a multiplier zero-free in Re(s)>0.		one fixed box width	analytic	VERIFIED	LIGHT_EXACT_REPLAY			analytic_consumer_component				LIGHT_EXACT_REPLAY	CANONICAL_CONSUMER	
CONSUMER.MELLIN.SPECIALIZED_LANDAU	653	e928fd615d753882706bb88c51b717bd8d4a86ba	claims/lemmas/L-99272-specialized-landau-and-scalar-firewall.md	L-99272	Specialized Landau handles positive-real removability, multiplicity, and a nonnegative witness plus holomorphic correction.		nonnegative locally integrable Mellin density	analytic	VERIFIED_WITH_FIXES	LINE_BY_LINE_RECONSTRUCTION	State exact Landau, local-integrability and finite-abscissa hypotheses.		analytic_consumer_component				NOT_APPLICABLE	CANONICAL_CONSUMER	
COMPUTATION.SHARP.H67.POSITIVE_TO_1E8	653	e928fd615d753882706bb88c51b717bd8d4a86ba	experiments/X-99270-three-vulnerability-hardening/results/	X-99270	Retained certificate claims scalar H67 positivity through 10^8.		finite endpoints through 10^8	computer-assisted	RETAINED_HEAVY_CERTIFICATE	ARTIFACT_AND_METHOD_AUDIT			finite_supporting_evidence_only				HEAVY_CAMPAIGN_NOT_RE-RUN	RETAIN_COMPUTATION	
CONSUMER.MELLIN.MINIMAL_WAVELET_ABSCISSA	675	7b28224ba1b072d4ccd5b93ad37c0a64e7939740	claims/lemmas/L-100131-wavelet-energy-abscissa-equals-rightmost-zero.md	L-100131	The compact ordinary-Moebius wavelet has weighted L2 abscissa sigma_2=Theta+1/2.		weighted L2 over all scales	analytic	VERIFIED_WITH_FIXES	LINE_BY_LINE_RECONSTRUCTION	Add reciprocal-zeta growth and a.e.-phase/integrability details.		equivalent_boundary_classifier				NOT_APPLICABLE	EXTRACT_STANDALONE	
REFUTATION.MELLIN.POSITIVE_FLOOR_KERNEL	675	7b28224ba1b072d4ccd5b93ad37c0a64e7939740	PR_BODY	R-100130-floor-kernel	Positive floor-kernel output is tautological because the kernel zeta factor cancels reciprocal zeta.		finite positive floor combinations	exact no-go	REFUTED_MECHANISM	LINE_BY_LINE_RECONSTRUCTION			no_zero_detection				NOT_APPLICABLE	CANONICAL_REFUTATION	
ANALYTIC.WAVELET.ABEL_MERTENS_FRAME	689	1751b5d63d981f1d39e0679a5997a7e32d2f1649	PR_BODY	T-100500/L-100500	The minimal ratio-eight wavelet has an exact compact Abel-Mertens frame and exponent dictionary.			analytic	VERIFIED_WITH_FIXES	LINE_BY_LINE_RECONSTRUCTION	State endpoint convention for M(x) and kernel regularity.		independent_frame_plus_RH_equivalence				NOT_APPLICABLE	EXTRACT_STANDALONE	
REFUTATION.MELLIN.CRITICAL_DESMOOTHING	689	1751b5d63d981f1d39e0679a5997a7e32d2f1649	PR_BODY	R-100500	The positive inverse desmoothing has active mass of critical sqrt(X) size.			exact no-go	REFUTED_MECHANISM	LINE_BY_LINE_RECONSTRUCTION			blocks_shortcut				NOT_APPLICABLE	CANONICAL_REFUTATION	
