claim	frozen_head_status	review_disposition	first_failure_or_scope
L-93600	PROVED ANALYTIC ESTIMATE	VERIFIED	Hurwitz-zeta/Euler-Maclaurin remainder and row constant reconstruct
L-93601	PROPOSED COMPLETE TAIL THEOREM	UNPROVEN / COMPUTATIONALLY SUPPORTED	Exact event reduction is sound; long-double sweep has no outward rounding or total error certificate
L-93602	PROPOSED COMPLETE AVLT	VERIFIED CONDITIONAL	Compact py<166000 and tail py>=166000 meet exactly
L-93603	PROPOSED COMMON-PARENT PRODUCER	UNPROVEN / GAP	Endpoint fibre S_(X,s), initial source coefficients, and full typed leaf packet are not instantiated
L-93604	PROPOSED ALL-COLUMN REALIZATION	VERIFIED CONDITIONAL	L-91733 covers every q>=2 including q<K; antecedent common-parent identity remains open
L-93605	PROPOSED DIRECT NATIVE COST	VERIFIED CONDITIONAL	60989 arithmetic and Y4 currency are correct after feasibility
T-93600	CANDIDATE COMPLETE NATIVE ROOT	UNPROVEN / GAP	Depends on L-93601 certificate and L-93603 producer
T-93601	CANDIDATE ENDPOINT COMPOSITION	CONDITIONAL ONLY	Correct one-sided endpoint orientation after T-93600
X-93600	PASS RETAINED EVENT SWEEP	NOT DIRECTED CERTIFICATE	Exhaustive event list with long-double values
X-93601	PASS RETAINED INTERFACE FIXTURE	SYNTHETIC REGRESSION	Two toy rational leaves; no actual P61 path weights
RH	UNPROVED	UNPROVED	Producer chain is not complete
