pr	focus	reviewed_sha	review_verdict	review_report	review_report_commit	cutoff_state	present_state	present_head	head_evidence	dependency_code	conflict_and_next_action	advisory_disposition
113	Portfolio replay trigger	73f69f12e8da3f30df6d01cb9033566897d5cfaa	GAP/BLOCKED	audits/gpt56-pro-16/2026-08-01-pre-public-pr113-pr130-review.md	a46b6bb9269b46caa205aebe50a7f19ccc9d86da	OPEN	OPEN (direct connector refresh 2026-08-02)		R_ONLY_PRESENT_HEAD_NOT_INDIVIDUALLY_REFRESHED	DX	Trigger-only.	SUPERSEDED/DUPLICATE
114	Simplicial basis reduction for portfolio cone	3364022e2a8d642fb129d786a2dd7e33a27ffaa3	VERIFIED WITH FIXES	audits/gpt56-pro-16/2026-08-01-pre-public-pr113-pr130-review.md	a46b6bb9269b46caa205aebe50a7f19ccc9d86da	OPEN	OPEN (direct connector refresh 2026-08-02)		R_ONLY_PRESENT_HEAD_NOT_INDIVIDUALLY_REFRESHED	DX	Apply review-listed fixes, then review the repaired object.	FIX THEN MERGE
115	L-9309 basis workflow trigger	5780d133785cc20873b5743f4066c64219ef6aba	GAP/BLOCKED	audits/gpt56-pro-16/2026-08-01-pre-public-pr113-pr130-review.md	a46b6bb9269b46caa205aebe50a7f19ccc9d86da	OPEN	OPEN (direct connector refresh 2026-08-02)		R_ONLY_PRESENT_HEAD_NOT_INDIVIDUALLY_REFRESHED	DX	Trigger-only.	SUPERSEDED/DUPLICATE
116	Full half-line nonnegative response cone	d7a5c3462bdee73827414448ef9144a908869359	VERIFIED WITH FIXES	audits/gpt56-pro-16/2026-08-01-pre-public-pr113-pr130-review.md	a46b6bb9269b46caa205aebe50a7f19ccc9d86da	OPEN	OPEN (direct connector refresh 2026-08-02)		R_ONLY_PRESENT_HEAD_NOT_INDIVIDUALLY_REFRESHED	DX	Apply review-listed fixes, then review the repaired object.	FIX THEN MERGE
117	Zero-anchor degree-15 one-scalar reduction	833dbd7b5ab6c51a6a4e561c589d845eb9254901	VERIFIED WITH FIXES	audits/gpt56-pro-16/2026-08-01-pre-public-pr113-pr130-review.md	a46b6bb9269b46caa205aebe50a7f19ccc9d86da	OPEN	OPEN (direct connector refresh 2026-08-02)		R_ONLY_PRESENT_HEAD_NOT_INDIVIDUALLY_REFRESHED	DX	Apply review-listed fixes, then review the repaired object.	FIX THEN MERGE
118	Zero-anchor workflow trigger v1	208b66fa75f013ea9ce4c87c6e4d1b60c4025f4b	GAP/BLOCKED	audits/gpt56-pro-16/2026-08-01-pre-public-pr113-pr130-review.md	a46b6bb9269b46caa205aebe50a7f19ccc9d86da	OPEN	OPEN (direct connector refresh 2026-08-02)		R_ONLY_PRESENT_HEAD_NOT_INDIVIDUALLY_REFRESHED	DX	Trigger-only.	SUPERSEDED/DUPLICATE
119	Zero-anchor workflow trigger v2	18453b7a8953524a84d367bd3a21c6697b269e8d	GAP/BLOCKED	audits/gpt56-pro-16/2026-08-01-pre-public-pr113-pr130-review.md	a46b6bb9269b46caa205aebe50a7f19ccc9d86da	OPEN	OPEN (direct connector refresh 2026-08-02)		R_ONLY_PRESENT_HEAD_NOT_INDIVIDUALLY_REFRESHED	DX	Trigger-only.	SUPERSEDED/DUPLICATE
120	Zero-anchor dual-replay trigger	0738690fa93c8001347c9771b35439ae113b8879	GAP/BLOCKED	audits/gpt56-pro-16/2026-08-01-pre-public-pr113-pr130-review.md	a46b6bb9269b46caa205aebe50a7f19ccc9d86da	OPEN	OPEN (direct connector refresh 2026-08-02)		R_ONLY_PRESENT_HEAD_NOT_INDIVIDUALLY_REFRESHED	DX	Trigger-only.	SUPERSEDED/DUPLICATE
124	Moving-node two-Schur witness theorem	3671eef74a773e9b5867a29ba5272068c2a229d9	VERIFIED	audits/gpt56-pro-16/2026-08-01-pre-public-pr113-pr130-review.md	a46b6bb9269b46caa205aebe50a7f19ccc9d86da	OPEN	OPEN (direct connector refresh 2026-08-02)		R_ONLY_PRESENT_HEAD_NOT_INDIVIDUALLY_REFRESHED	DX	Extract the reviewed finite/conditional object at frozen scope.	MERGE CANDIDATE
125	Polynomial cross-height Pick filters on certified slabs	016ed393cd267bef8bbb4a4bf281179d95e8d7cb	VERIFIED WITH FIXES	audits/gpt56-pro-16/2026-08-01-pre-public-pr113-pr130-review.md	a46b6bb9269b46caa205aebe50a7f19ccc9d86da	OPEN	OPEN (direct connector refresh 2026-08-02)		R_ONLY_PRESENT_HEAD_NOT_INDIVIDUALLY_REFRESHED	DX	Apply review-listed fixes, then review the repaired object.	FIX THEN MERGE
127	Support-aware one-node Padé gates	f1399457298004f0e69a60013ba6583e63f38772	GAP/BLOCKED	audits/gpt56-pro-16/2026-08-01-pre-public-pr113-pr130-review.md	a46b6bb9269b46caa205aebe50a7f19ccc9d86da	OPEN	OPEN (direct connector refresh 2026-08-02)		R_ONLY_PRESENT_HEAD_NOT_INDIVIDUALLY_REFRESHED	DX	Source/namespace/production gates unresolved.	GAP/BLOCKED
128	Positive-anchor Schur gates and one-point nominations	418a99c56e22002c2e8bb407fab77091fc787a4e	VERIFIED WITH FIXES	audits/gpt56-pro-16/2026-08-01-pre-public-pr113-pr130-review.md	a46b6bb9269b46caa205aebe50a7f19ccc9d86da	OPEN	OPEN (direct connector refresh 2026-08-02)		R_ONLY_PRESENT_HEAD_NOT_INDIVIDUALLY_REFRESHED	DX	Apply review-listed fixes, then review the repaired object.	FIX THEN MERGE
129	Cross-height direct-xi algebraic portfolios	d44c80537c61dfc7961a1303fc6cb53f3e01efff	VERIFIED WITH FIXES	audits/gpt56-pro-16/2026-08-01-pre-public-pr113-pr130-review.md	a46b6bb9269b46caa205aebe50a7f19ccc9d86da	OPEN	OPEN (direct connector refresh 2026-08-02)		R_ONLY_PRESENT_HEAD_NOT_INDIVIDUALLY_REFRESHED	DX	Apply review-listed fixes, then review the repaired object.	FIX THEN MERGE
130	Full degree-18 cone experiment	0282a6fb051a412be1a9991ba3afb09d79c3a525	GAP/BLOCKED	audits/gpt56-pro-16/2026-08-01-pre-public-pr113-pr130-review.md	a46b6bb9269b46caa205aebe50a7f19ccc9d86da	OPEN	OPEN (direct connector refresh 2026-08-02)		R_ONLY_PRESENT_HEAD_NOT_INDIVIDUALLY_REFRESHED	DX	Declared proof result absent.	GAP/BLOCKED
