route	pr	reviewed_sha	path	claim_id	short_statement	mathematical_type	review_verdict	lifecycle	rh_relationship	dependencies	surviving_scope	superseded_or_refuted_by	integration_action	notes
factor67-sontr	473	71d6a859ea741fe035de709e8d10ed37301b778e	claims/lemmas/L-91690-factor67-target-hall-is-a-source-owned-root-thinning.md	L-91690	strict root Hall; target exact; score favorable; row bonus	ROUTE INFRASTRUCTURE	VERIFIED WITH FIXES	live proposal	producer infrastructure	L-91682; L-91688	fiberwise root Hall and per-packet causal algebra		retain narrow scope	global direct-integral coefficient conclusion not established here
factor67-sontr	473	71d6a859ea741fe035de709e8d10ed37301b778e	claims/lemmas/L-91692-target-hall-is-row-transparent-and-the-factor67-reserve-is-explicit.md	L-91692.7-.9	Hall is transparent in total physical row	UNCONDITIONAL THEOREM	VERIFIED	live proposal	route infrastructure	L-91682; L-91690	exact row identity before ordinary/detail observation		retain	does not erase finite/continuum seed defect
factor67-sontr	473	71d6a859ea741fe035de709e8d10ed37301b778e	claims/lemmas/L-91692-target-hall-is-row-transparent-and-the-factor67-reserve-is-explicit.md	L-91692.12	159/500 < equality density < 183/100	UNCONDITIONAL THEOREM	VERIFIED	live proposal	route infrastructure	L-91107	factor-67 window		retain	independently reconstructed extrema
factor67-sontr	473	71d6a859ea741fe035de709e8d10ed37301b778e	claims/lemmas/L-91692-target-hall-is-row-transparent-and-the-factor67-reserve-is-explicit.md	L-91692.18-.26	explicit interior and terminal native reserves	CONDITIONAL IMPLICATION	VERIFIED WITH FIXES	live proposal	producer infrastructure	L-91110; L-91111; L-91114; L-91115	reserve arithmetic on frozen endpoint inputs		retain after dependency audit	constants internally consistent
factor67-sontr	473	71d6a859ea741fe035de709e8d10ed37301b778e	claims/lemmas/L-91692-target-hall-is-row-transparent-and-the-factor67-reserve-is-explicit.md	L-91692.27-.29	one aggregate P61/67 Schur port	CONDITIONAL IMPLICATION	VERIFIED WITH FIXES	live proposal	producer infrastructure	narrow Schur part of L-91320	PSD aggregate port inequality		freeze exact scope	do not import historical colored projection
factor67-sontr	473	71d6a859ea741fe035de709e8d10ed37301b778e	claims/lemmas/L-91650-causal-coefficient-budget-and-child-mass-contraction.md	L-91650	one packet has recursive scalar coefficient below 1/8	UNCONDITIONAL THEOREM	VERIFIED	ancestor	route infrastructure	L-91355	single typed packet		retain	not by itself a direct-integral mass theorem
factor67-sontr	473	71d6a859ea741fe035de709e8d10ed37301b778e	claims/lemmas/L-91692-target-hall-is-row-transparent-and-the-factor67-reserve-is-explicit.md	L-91692.30-.31	group fibers by prime and retain one coefficient list below 1/8	PROPOSED COMPLETE THEOREM	UNPROVEN / GAP	live proposal	load-bearing	L-91650; L-91674; L-91688	formal toy grouping only	PR #476 L-91694 at 9f16ce483954d4233b68ee09cb6bec47400aa3cc	repair then review	mass-weighted target normalization is missing
factor67-sontr	473	71d6a859ea741fe035de709e8d10ed37301b778e	claims/theorems/T-91660-factor67-endpoint-frame-sontr-resolution-proposal.md	T-91660	complete SONTR / NRCT composition	PROPOSED COMPLETE THEOREM	UNPROVEN / GAP	live proposal	claims RH implication	L-91690; L-91691; T-91312; T-91313	compact-reserve and root-Hall subclaims survive	PR #476 supplies one missing normalization theorem	do not promote	also correct contradictory finite/continuum display
factor67-sontr	473	71d6a859ea741fe035de709e8d10ed37301b778e	claims/theorems/T-91661-factor67-compact-reserve-closes-the-sontr-producer-gate.md	T-91661	compact reserve closes full producer	PROPOSED COMPLETE THEOREM	UNPROVEN / GAP	live proposal	claims RH implication	L-91692; T-91660	compact reserve obligation survives	mass-normalization repair on PR #476	do not promote	first open arrow occurs before packet envelope
factor67-sontr	473	71d6a859ea741fe035de709e8d10ed37301b778e	experiments/X-91692-factor67-reserve-closure/verify.py	X-91692	exact finite regression of new constants and toy grouping	DISCOVERY ONLY	VERIFIED WITH FIXES	retained replay	no independent RH relationship	new claim code	constants and generic identities		retain as regression	does not verify actual target masses or full dependencies
endpoint-consumer	473	71d6a859ea741fe035de709e8d10ed37301b778e	claims/theorems/T-91313-explicit-endpoint-deficit-to-rh-consumer.md	T-91313	sub-log-squared native slack implies RH	CONDITIONAL IMPLICATION	UNPROVEN / GAP	frozen ancestor	RH conclusion	L-91377; L-91378; resident endpoint chain	conditional orientation only		review after producer repair	not reached by frozen PR #473
