interface	status	evidence	immediate_falsifier
native occurrence marginal	PROPOSED EXACT	L-94121 + regenerated X=536 registry	one missing or duplicated occurrence
oriented child physical row	FORBIDDEN	R-94120 q=2<-1/9	any branchwise observation
causal parent budget	PROVED EXACT	L-91650 / X-94120	parent coefficients not summing to one
recursive child mass	PROVED <1/8	L-91650 / X-94120	gamma sum reaching 1/8
stopped-hazard emitter	PROPOSED EXACT	L-91355/L-91402/L-91403/L-91650 + L-94121	coefficient, parity or path mismatch
terminal TL leaf	FROZEN DIRECTED	PR #508	one negative compact/tail cell
outer terminal fibre	DIRECTED POSITIVE	94020 outer cells	one negative directed cell
anchored physical row	PROPOSED COMPLETE	L-94121	source marginal mismatch
bulk direct row	FROZEN EXACT	PR #513 / L-91760	nonpositive L(x) on x<67
q/4q order	EXACT FIREWALL	L-94122 / verifier	detail formed branchwise
native Y4 deficit	<3457 ON FROZEN INPUTS	PR #513 + L-94122	ledger reaching 3457
endpoint orientation	FROZEN ONE-SIDED	PR #352/#353/#508	wrong inequality direction
RH	FULL CANDIDATE / UNREVIEWED	T-94120	any load-bearing interface failure
