route	pr	reviewed_sha	path	claim_id	short_statement	mathematical_type	review_verdict	lifecycle	rh_relationship	dependencies	surviving_scope	superseded_or_refuted_by	integration_action	notes
factor54-direct-euler	399	d688cc7cb73eea9e50f10352a50516ab2c4f4625	claims/refutations/R-91308-l91347-global-convex-lower-bound-used-outside-cell.md	R-91308	The old global convex lower bound was used outside the active cell	REFUTATION	VERIFIED	current firewall	indirect	L-91347; X-91126	Exact scope correction to the old checker	L-91350 attempts a repair	Retain as mandatory firewall	The refutation is correct but the replacement checker has a separate activation error
factor54-direct-euler	399	d688cc7cb73eea9e50f10352a50516ab2c4f4625	claims/refutations/R-91309-target-hall-residual-does-not-automatically-type-the-arithmetic-row.md	R-91309	Target Hall transport does not automatically reproduce the arithmetic row	REFUTATION	VERIFIED	current firewall	indirect	L-91342; provisional Hall composition	Exact discrepancy sum t_oe[rho_j(e)-rho_j(o)]	None	Retain as mandatory firewall	The direct Euler row route correctly avoids this shortcut
factor54-direct-euler	399	4b8b4306142e92d66bc27f7eda10f64a703ed3d8	claims/lemmas/L-91336-diagonal-hidden-state-has-an-exact-least-prime-hazard-partition.md	L-91336.9	Survival plus least-prime hazard matrices equals the four-state identity	UNCONDITIONAL THEOREM	VERIFIED	current infrastructure	indirect	L-91317; L-91335	Coordinatewise positive hidden-source partition only	None	Retain with exact path and SHA	Does not itself produce scalar endpoint-loss coefficients
factor54-direct-euler	399	4b8b4306142e92d66bc27f7eda10f64a703ed3d8	claims/lemmas/L-91336-diagonal-hidden-state-has-an-exact-least-prime-hazard-partition.md	L-91336.7	A hidden branch mass fraction is automatically the inherited endpoint-loss coefficient	ROUTE INFRASTRUCTURE	UNPROVEN / GAP	blocked inference	RH-load-bearing	L-91336.11; T-91302	No surviving scalar-loss conclusion	Exact review mass-to-signed-loss obstruction	Quarantine this inference	A restricted branch packet need not be a scalar native child packet
factor54-direct-euler	399	4b8b4306142e92d66bc27f7eda10f64a703ed3d8	claims/lemmas/L-91337-hidden-hazard-partition-preserves-positive-sharp-and-score-ledgers.md	L-91337.5-8	Hidden target and score ledgers disintegrate separately and additively	UNCONDITIONAL THEOREM	VERIFIED WITH FIXES	current infrastructure	indirect	L-91335; L-91336	Separate positive hidden-ledger equalities	R-91307 limits physical return	Retain with scope correction	Target and score normalized branch fractions generally differ
factor54-direct-euler	399	4b8b4306142e92d66bc27f7eda10f64a703ed3d8	claims/refutations/R-91307-hazard-children-cannot-preserve-both-positive-ledgers-in-the-lr-cone.md	R-91307	A least-prime hazard child cannot preserve both ledgers in the positive LR cone	REFUTATION	VERIFIED	current firewall	RH-load-bearing	L-91336; L-91337	Exact pure-reserve obstruction	Reintroduced by literal T-91304 branch composition	Retain and enforce	For r=p^-1/2 the hazard has target 2r and score r^2 while an r-scaled canonical child has score r
factor54-direct-euler	399	4b8b4306142e92d66bc27f7eda10f64a703ed3d8	claims/lemmas/L-91342-p79-terminal-target-hall-is-score-superordinate-and-row-positive.md	L-91342	The complete terminal P79 packet has a positive target-exact score-superordinate row representation	UNCONDITIONAL THEOREM	VERIFIED WITH FIXES	current local theorem	indirect	L-91112.25; L-91340; L-91341	Complete packet at 1<=x<83	None	Retain at exact complete-packet scope	Does not identify arbitrary restrictions or hazard submeasures with scalar copies
factor54-direct-euler	399	4b8b4306142e92d66bc27f7eda10f64a703ed3d8	claims/lemmas/L-91343-positive-kernel-packets-have-an-exact-subprobability-rough-branching.md	L-91343	A packet already in the positive W_Psi/W_S/Q kernel cone has positive branching	UNCONDITIONAL THEOREM	VERIFIED WITH FIXES	current infrastructure	conditional route support	L-91329; L-91339; T-91302	Abstract positive-measure packet class	T-91304 does not prove its branch packets satisfy the native-loss interface	Retain as abstract infrastructure	The passage to the endpoint-indexed native loss remains separate
factor54-direct-euler	399	4b8b4306142e92d66bc27f7eda10f64a703ed3d8	claims/lemmas/L-91345-p79-one-prime-splice-has-a-monotone-two-ledger-kernel-and-large-prefix-reserve.md	L-91345.13	All one-prime Hall thresholds t>=4096 have a positive reserve	UNCONDITIONAL THEOREM	VERIFIED WITH FIXES	current local theorem	indirect	X-91124; prefix corridors	Large-prefix region t>=4096	None	Retain; add hash-locked replay manifest	The heavy fixed-block replay was inspected but not rerun
factor54-direct-euler	399	4b8b4306142e92d66bc27f7eda10f64a703ed3d8	claims/lemmas/L-91346-p79-one-prime-inherited-row-splice-is-strictly-positive.md	L-91346	The actual P79+p residual row is positive for inherited rows 2<=j<=y	UNCONDITIONAL THEOREM	VERIFIED WITH FIXES	current local theorem	indirect	L-91344; L-91345; X-91125	p>=83; 1<=y<83; 2<=j<=y	None	Retain exact range and add proof-object hashes	No claim survives for noninherited j>y
