claim_key	canonical_status	evidence_kind	evidence_pr	evidence_sha	evidence_path	evidence_id	path_resolution	exact_scope	surviving_scope	notes
EL-GFEP-FROZEN	FALSE	SOURCE_REFUTATION	356	1a60df88aadac731ec32e48a87b74537662114dd	claims/refutations/R-90201-frozen-gfep-exit-and-producer-eventual-positivity-fail.md	R-90201	VERIFIED_BY_GITHUB	Frozen half-binary/half-ternary first-entrance exit (2,2) changes sign cofinally.	Other policies, signed Cycle Debt, uniform Pascal and endpoint routes remain outside scope.	The same source also supports EL-PRODUCER-FROZEN and EL-BTF-FROZEN.
EL-PRODUCER-FROZEN	FALSE	SOURCE_REFUTATION	356	1a60df88aadac731ec32e48a87b74537662114dd	claims/refutations/R-90201-frozen-gfep-exit-and-producer-eventual-positivity-fail.md	R-90201	VERIFIED_BY_GITHUB	Actual sparse producer of the frozen policy changes sign arbitrarily far out.	Positive first-entrance packet kernels and other policies survive.	Do not generalize from one frozen policy.
EL-BTF-FROZEN	FALSE	SOURCE_REFUTATION	356	1a60df88aadac731ec32e48a87b74537662114dd	claims/refutations/R-90201-frozen-gfep-exit-and-producer-eventual-positivity-fail.md	R-90201	VERIFIED_BY_GITHUB	Frozen weighted-negative and absolute BTF fail through one near-square-root oscillatory coordinate.	Signed recombined capacity debt remains live.	Conditional downstream BTF-to-RH algebra is not itself refuted.
EL-FINITE-ATOMIC-NOGAP	UNCONDITIONAL_NO_GO	SOURCE_THEOREM	356	1a60df88aadac731ec32e48a87b74537662114dd	claims/lemmas/L-90208-finite-atomic-no-gap-and-uniform-pascal-resonance-free.md	L-90208	VERIFIED_BY_GITHUB	No stationary finite fixed-ratio policy has a source-independent spectral gap.	Source-specific numerator cancellation, adaptive, nonstationary and continuum policies remain outside scope.	Mechanism-class no-go, not a universal fragmentation no-go.
EL-BOUNDARY-ATOMIC	FALSE	SOURCE_REFUTATION	309	18e25ec92583e9110a57cf037b691491c278fe39	claims/refutations/R-30501-terminal-commutator-atomic-norm-closure-is-false.md	R-30501	VERIFIED_BY_GITHUB	Complete critical stopped boundary has macroscopic ordinary divisor-source atomic norm.	Optimized destination-recombined carry debt and commutator descendants survive.	Corrects stale review-ledger alias claims/refutations/R-30402-complete-critical-boundary-has-linear-atomic-norm.md.
EL-SOURCE-CAPACITY	FALSE	SOURCE_REFUTATION	303	4367007d658c78a42024a9c94c3c6b078cac2568	claims/refutations/R-30202-hausdorff-source-mass-is-not-central-edge-capacity.md	R-30202	VERIFIED_BY_GITHUB	Hausdorff source coefficient is not automatically available central-edge capacity; capacity is a first difference.	Source typing and the capacity-manifest route survive.	In the eta model the required-to-available ratio is 2k.
EL-MERSENNE-SAT	FALSE	SOURCE_REFUTATION	314	f07f44263c3ff4b219918b05cac61a75e18ff773	claims/refutations/R-28501-eventual-mersenne-collar-fragmentation-is-false.md	R-28501	VERIFIED_BY_GITHUB	Eventual exact Mersenne-collar saturation for the declared fixed support menu is impossible.	Mersenne localization, finite isolated feasibility and unrestricted carry remain live.	Corrects stale review-ledger alias claims/refutations/R-30801-eventual-mersenne-collar-saturation-fails.md.
Q4-SOURCE-ORDER	REFUTATION_AND_REPAIR	SOURCE_REFUTATION	354	1541618502d345766a0e0b9758ae04f41c17335d	claims/refutations/R-34402-odd-relative-second-current-is-not-standard-selberg-carry.md	R-34402	VERIFIED_BY_GITHUB	Odd relative second current is an ordinary prefix after the required divisor convolution, not the standard Selberg carry.	Corrected cofinal prefix theorem survives.	Blocks unsafe imports from ancestors #349 and #350.
Q4-SMALL-INERTIA	FALSE_INFERENCE	SOURCE_REFUTATION	357	a2843d31649822014219a13ec29c70e4a30932cc	claims/refutations/R-90302-small-inertia-defect-does-not-bound-the-q4-current.md	R-90302	VERIFIED_BY_GITHUB	Zero negative spectral mass can coexist with arbitrarily large RH-sensitive current.	Row and aggregate negative-inertia lemmas survive at their stated scope.	No inertia statistic may be promoted to positive-current control without new information.
Q4-MULTIPLIER-INERTIA	FALSE	INDEPENDENT_REVIEW_COUNTEREXAMPLE	371	fd9292cac2e12e825135b8949b3c3b778f4344d0	audits/integration-wave/20260810-q4-exact-counterexamples.md	REV-Q4-MULTIPLIER	VERIFIED_BY_GITHUB	A nonconstant bounded multiplier can destroy pre-multiplication cancellation of integrated indefinite curvature.	The exact Q4 source/state dictionary algebra survives.	Supremum norm alone does not transfer positive or negative spectral mass.
Q4-COEFF-OPERATOR	FALSE	INDEPENDENT_REVIEW_COUNTEREXAMPLE	371	fd9292cac2e12e825135b8949b3c3b778f4344d0	audits/integration-wave/20260810-q4-exact-counterexamples.md	REV-Q4-OPERATOR	VERIFIED_BY_GITHUB	Coefficient-energy budget does not imply the claimed frequencywise W*W<2/5 contraction; at z=1/sqrt(2) the norm sum is about 9.48949.	Finite Bezout reconstruction and the genuine joint jet-frame inequality survive.	This is the first false submitted synthesis transfer on #359.
Q4-FULL-359	FALSE_COMPOSITION	INDEPENDENT_SPECIALIST_REVIEW	371	fd9292cac2e12e825135b8949b3c3b778f4344d0	reports/integration-wave/20260810-q4-reflected-jordan-review.md	Q4-FULL-DAG	VERIFIED_BY_GITHUB	PR #359 fails at the synthesis/current interface through multiple exact invalid arrows.	Standalone aggregate determinant and negative-inertia lemma survives.	Do not archive the surviving lemma with the failed full theorem.
Q4-PIG-REVERSE	UNPROVEN_GAP	INDEPENDENT_SPECIALIST_REVIEW	371	fd9292cac2e12e825135b8949b3c3b778f4344d0	reports/integration-wave/20260810-q4-reflected-jordan-review.md	Q4-PIG-ADAPTER	VERIFIED_BY_GITHUB	PIG-to-RH still lacks a complete source-resolved integrated recurrence and an exact adapter to the resident pole-energy consumer.	RH-to-PIG, zero safety and the row recurrence survive.	Specialist reconstruction overrides inherited equivalence labels.
Q4-2X2-FORMULA	FALSE_AS_UNIVERSAL_FORMULA	INDEPENDENT_REVIEW_COUNTEREXAMPLE	372	9b9c2536d89b65cb999ec08e20fce3386383803a	reports/integration-wave/20260811-independent-routes-review.md	Q4-2X2-KMINUS	VERIFIED_BY_GITHUB	The unpiecewise radical expression gives 1 for K=-I_2 while tr(K_-)=2.	Neighboring trace and curvature inequalities survive; a piecewise eigenvalue formula is required.	This is a subclaim repair, not a rejection of all inertia algebra.
BRN-TAIL-DOM	FALSE	SOURCE_REFUTATION	318	277bfb19e2e5deed50b5bbc133453b7147046360	claims/refutations/R-21703-cardinal-robin-fiber-formula-and-reflected-tail-domination-fail.md	R-21703	VERIFIED_BY_GITHUB	Finite reflected-tail domination is incompatible with exact tail asymptotics for the corrected mixture.	Correct one-fiber Robin classification and aggregate canonical-system question survive.	The same file supersedes the original uncentered fiber formula.
BRN-POS-MIXTURE	FALSE	SOURCE_REFUTATION	318	277bfb19e2e5deed50b5bbc133453b7147046360	claims/refutations/R-21704-positive-robin-fiber-cone-is-not-real-rooted.md	R-21704	VERIFIED_BY_GITHUB	Positive superposition of individually favorable corrected fibers need not remain real-rooted.	Individual fibers and a genuinely aggregate canonical system remain live.	Exact counterexample uses Phi_0 plus one tenth Phi_8.
OP-SCHUR-SIGN	UNCONDITIONAL_FIREWALL	SOURCE_THEOREM	199	4158e0d3e7f91829a6c545308605ea8177023aa3	claims/lemmas/L-19701-schur-corrected-offline-cardinal-gap.md	L-19701	VERIFIED_BY_GITHUB	For C>0 the corrected block B-Z*C^{-1}Z is no larger than B and cannot repair an already negative visible direction.	Complete capture and the arithmetic corrected floor remain live.	Matrix enlargement cannot silently bypass the principal square-screw coordinate.
OP-FREDHOLM-POLE	REFUTATION_AND_REPAIR	SOURCE_REFUTATION	368	f6951a6bdb78a0778ca4b62e816c4c0a715ade0f	claims/refutations/R-90501-pole-contribution-is-hyperbolic-not-two-positive-squares.md	R-90501	VERIFIED_BY_GITHUB	Explicit-formula pole block is hyperbolic [[0,1],[1,0]], not two positive squares.	Clean Darboux and minimal rank-one positive completions survive at the reviewed snapshot.	Later #368 additions are a quarantined post-review delta.
