object	status	note
native capacity dictionary	PROVED	L-91377/L-91378
rough reservoir decompilation	PROVED	L-91379
zero-slack shortcut	NATIVE-ROW HARD	L-91380
Euler survival-shell convexification	PROVED	L-91381
shell output densities	PROVED	L-91382
shell Green/Kantorovich reduction	PROVED	L-91383
continuous normalized shell monotonicity	FALSE	R-91313
canonical global shell positivity	NATIVE-ROW HARD	R-91314
positive typed logarithmic local debt	PROVED	L-91385
subcritical normalized logarithmic consumer	PROVED CONDITIONAL	T-91316
zero-row native closure	FALSE	R-91315
positive native current-row producer	OPEN / RH-BEARING	T-91314
CFFP	UNPROVED	
Riemann Hypothesis	UNPROVED	
