alias_id	canonical_semantic_id	relation	source_evidence	final_status	notes
ALIAS.PHASE_HASSE.PHYSICAL_SIGNED	ARITH.HASSE.WAVELET_REALIZATION	SAME_OBJECT_AT_TYPED_SCOPE	PR692@50c4862c801b6388a30363c336d275270025eff4	RESOLVED	Only signed native p^-1 divergence; positive variation is not aliased.
ALIAS.CV.CRITICAL_WEIGHTED_VARIATION	OPEN.ARITH.CV	SAME_OBJECT	PR668@15719b975115ecad1b23264c6a6303899b4c99dc	RESOLVED	Open RH-equivalent cut.
ALIAS.XD.SAME_K1_LPMW_BVD	OPEN.ARITH.XD	SAME_OBJECT_MOD_L1	PR705@027ea8bd5c879a190e9e22620c245a81f7b93b73	RESOLVED	Both coordinates use K1.
ALIAS.XD.OLD_K0_K1	ARITH.XD.OLD_K0_K1_EDGE	NOT_THE_SAME_OBJECT	PR705@027ea8bd5c879a190e9e22620c245a81f7b93b73	RESOLVED_FALSE	Historical PR #692 cross-kernel edge is inactive.
ALIAS.SHARP.HARNACK_VS_FIVE_THREE	CONSUMER.MELLIN.FIVE_THREE	RELATED_NOT_IDENTICAL	PR649@433fd3662f7b2e4ba384ce64f196380e88624090	RESOLVED	The 5:3 scalar is a fixed consumer instance; SHARP Harnack is a producer-side transform.
ALIAS.Q4_HERMITE	Q4.HEAT.PHASE_LOCKED_SUBLINEAR	RELATED_NOT_IDENTICAL	PR520@41db5f783c751e66c786f18fa7fbd6d9bf229a8d	RESOLVED	Q4 source typing does not automatically transfer to First-Hermite.
ALIAS.FIRST_HERMITE_RADIAL	HEAT.HERMITE.COUNTABLE_CRITERION	NOT_THE_SAME_OBJECT	PR379@589f1c05ccaf248cf08c87fefa7d5ab6d2380708;PR394@82ee32348b05512514462966bfeb4e2de4ae5ecf	RESOLVED	Different transforms and quantifiers despite shared completed-Xi data.
ALIAS.PICK_LOEWNER_STIELTJES	OPERATOR.SAFE_LINE.HAUSDORFF_PICK	RELATED_NOT_IDENTICAL	PR393@ec118df8a133a1e4800f292641d42af1ba79f938;PR438@bb7327d21c47410820cda2671f45dbe709a72eea	RESOLVED	Low-order actual-Xi Pick, safe-line Hausdorff, and all-order criteria remain distinct.
ALIAS.T100200.MINIMAL_WAVELET	ARITH.WAVELET.MINIMAL_RATIO8	NAMESPACE_MIGRATION	PR674@9962f7f712adc6b4ad72672ecfeace028ba79bdb	RESOLVED	Use semantic ID; do not rename historical files.
ALIAS.L90416.CARRY_HAAR	Q4.HAAR_FINE_SCALE	PATH_QUALIFIED_ID	PR383@d764be15bd8ea902ad260484eab44d19a9e82175	RESOLVED	Distinct from the Brownian-bridge L-90416 file.
ALIAS.L90417.JORDAN	Q4.JORDAN_PERIODIZED	PATH_QUALIFIED_ID	PR383@d764be15bd8ea902ad260484eab44d19a9e82175	RESOLVED	Distinct from the two-state Hermitian L-90417 file.
ALIAS.RECOVERY_BRANCHES	ARITH.OWNER.DOUBLE_OWNER_COBBOUNDARY	PROVENANCE_ONLY	PR691/695 frozen heads	RESOLVED	Recovery branches do not create new theorem identities.
ALIAS.C.FACTOR67.GPC_CPSL	OPEN.ARITH.FACTOR67_GPC_CPSL	SYNTHESIZED_COORDINATE	PR712@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd	RESOLVED	C final closure map; related to CV/native negative mass but not silently identical.
ALIAS.C.C4MBI.CRITICAL	OPEN.ARITH.C4MBI_BOUNDARY	SYNTHESIZED_COORDINATE	PR712@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd	RESOLVED	Four-band C4MBI one-sided boundary.
ALIAS.C.NATIVE_ENDPOINT	OPEN.ARITH.NATIVE_ENDPOINT_GAP	SYNTHESIZED_COORDINATE	PR712@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd	RESOLVED	Arithmetic F_Lambda gap, not physical slack.
ALIAS.DIRECTMAIN.CJHI	OPEN.DIRECTMAIN.CJHI	NAMESPACE_MIGRATION	MAIN@677203992eb0168920365ee45ae9db76bfa97dcf;PR717@dad61b954dd8404520631058d1ce717e7a910a3b	RESOLVED	Use the corrected first-chaos/model-space formulation from PR #400.
ALIAS.DIRECTMAIN.T96000.CONSUMER	DIRECTMAIN.MELLIN.L96000	RELATED_NOT_IDENTICAL	MAIN@677203992eb0168920365ee45ae9db76bfa97dcf;PR717@dad61b954dd8404520631058d1ce717e7a910a3b	RESOLVED	Analytic predecessor; canonical conclusion consumer uses fixed rows 2,3 or fixed 5:3.
ALIAS.DIRECTMAIN.T99930.CRITICAL	OPEN.DIRECTMAIN.TAYLOR_CRITICAL	SAME_OPEN_CUT_CLASS	MAIN@677203992eb0168920365ee45ae9db76bfa97dcf;PR668@15719b975115ecad1b23264c6a6303899b4c99dc	RESOLVED	Critical Taylor estimate is an RH-equivalent variation/negative-mass coordinate.
ALIAS.C.Q4_ANNULAR	OPEN.Q4.UOSACF	SAME_TERMINAL_CLASS	PR712@a6aa936ba8bf538177e34af60db7e2f0a58f8dfd;PR606@327c0967c67e7efa08fcb62937ca1730f8c24069	RESOLVED	Finite filters exhausted; terminal signed UOSACF remains.
