kind	id	role	branch	exact_sha	status
base_pr	#498	frozen centered-cubic parent	research/gpt56-pro/93250-centered-q4-cubic-closure	6cc0da2fa5711017e260ebdcea4ba8c22e453288	FROZEN_UNCHANGED
base_parent	#483	prime-block coherence parent	agent/first-hermite-q4-prime-coherence	87bd7ad2127f98b6141b4c03355556f2b95f6404	FROZEN
review_pr	#515	independent exact-head reconstruction	review/pr498-centered-cubic-exact-head-20260815	6728689d1dbae1891793aabbc393b25e0a7bbaba	VERIFIED_WITH_FIXES
source_pr	#379	first-Hermite exact formula and terminal criterion	research/gpt56-pro/375-confluent-zero-heat-monotonicity	589f1c05ccaf248cf08c87fefa7d5ab6d2380708	PROPOSED_SOURCE
source_pr	#385	constant-four pointwise wedge	research/gpt56-pro/384-diagonal-heat-wedge	ea2d7c26c1fd3a58c3e31609cb2411ea0c0fd20a	PROPOSED_SOURCE
source_pr	#390	coefficient variance and prime-block moments	research/gpt56-pro/385-first-hermite-large-values	ea20af8867c3119c23efc27738d343aac2f79362	PROPOSED_SOURCE
source_pr	#392	linear-resolution rigidity and one-carrier boundary	research/gpt56-pro/390-linear-resolution-rigidity	d2387cd21eb891a8801fd122bc8d0ddd7c1c0fc4	PROPOSED_SOURCE
source_pr	#474	Q4 logarithmic-derivative dictionary	agent/91701-q4-cycle-debt-control	4f59985d9e453c1a1966c5476e1bfcaca3ce4b91	PROPOSED_SOURCE
comparison_pr	#383	factor-16 phase-lock comparison	research/gpt56-pro/90410-pig-fourier-rademacher	d764be15bd8ea902ad260484eab44d19a9e82175	COMPARISON_ONLY
comparison_pr	#517	heat-resolvent cross-prime proposal	research/proposed/93850-q4-heat-resolvent-prime-coherence	f097193037352253cc37e13bca41252233e805fd	NOT_IMPORTED
main	main	repository canonical front door	main	9c7538559d7f56c2914b39aed5a1fb3fbf7ce131	UNCHANGED
