semantic_id	packet_id	source_ref	source_path	source_claim_id	statement_short	quantifier_scope	source_or_object_type	original_status	review_verdict	existing_review_coverage	controlling_later_review	strongest_surviving_form	first_broken_or_unsupported_arrow	rh_relationship	integration_recommendation	notes
DIRECTMAIN.CJ.L91014	DM-002A	677203992eb0168920365ee45ae9db76bfa97dcf	claims/lemmas/L-91014-generalized-jordan-cocycle-divisor-isometry.md	L-91014	Generalized-Jordan Euler cocycle gives a positive divisor-fragmentation isometry, coherent-state tensor factorization and logarithmic coproduct.	a,b>0; Re(s)>1/2; finite divisor factorizations	positive source Hilbert isometry	PROPOSED COMPLETE EXACT	VERIFIED_WITH_FIXES	Reviewer B PR #708 family overlap; PR #400 direct lineage	PR #400 @ 7dc9fec9eb5fab4ee9340ddbc5a52e36a6ab617e	Exact coefficient-one divisor isometry and coproduct.	No completed-boundary physical output theorem follows.	standalone unconditional operator algebra	CANONICALIZE_LOCAL	State domains and distinguish the pole asymptotic from an actual boundary vector.
DIRECTMAIN.CJ.L91015	DM-002A	677203992eb0168920365ee45ae9db76bfa97dcf	claims/lemmas/L-91015-pole-subtracted-sieve-recurrence-positive-tail-channel.md	L-91015	Pole subtraction obeys an exact coefficient-one affine recurrence and the emitted divided difference has a positive Laplace-tail/Hankel representation.	a,b>0; initial absolute half-plane Re(s)>1-2a	signed analytic recurrence plus positive oriented forcing	PROPOSED COMPLETE EXACT	VERIFIED_WITH_FIXES	Reviewer B PR #708 family overlap; PR #400 direct lineage	PR #400 @ 7dc9fec9eb5fab4ee9340ddbc5a52e36a6ab617e	Exact recurrence and positive moment channel after the displayed sign convention.	Inherited fluctuation is not shown to return only at delayed scale.	standalone reduction; no RH conclusion	CANONICALIZE_LOCAL	Keep the minus sign in D=-Laplace(W) and the positive derivative-moment orientation explicit.
DIRECTMAIN.CJ.L91016	DM-002A	677203992eb0168920365ee45ae9db76bfa97dcf	claims/lemmas/L-91016-cauchy-allpass-hyperbolic-signature-depth-projector.md	L-91016	The Cauchy three-state bank diagonalizes to one scalar all-pass pair with an exact off-line hyperbolic signature and Lyapunov depth projector.	finite carrier/zero packets; a>0	finite scattering matrix	PROPOSED COMPLETE EXACT	VERIFIED_WITH_FIXES	Reviewer B PR #708 family overlap; PR #400 direct lineage	PR #400 @ 7dc9fec9eb5fab4ee9340ddbc5a52e36a6ab617e	Exact Cayley diagonalization, singular values and integral depth projector.	Prime/source control of emitted ports is absent.	standalone operator theorem	CANONICALIZE_LOCAL	Specify meromorphic exceptional points and multiplicities.
DIRECTMAIN.CJ.L91017	DM-002A	677203992eb0168920365ee45ae9db76bfa97dcf	claims/lemmas/L-91017-source-scattering-tensor-assembly-main-state-closure.md	L-91017	Positive source isometry and Cauchy scattering commute on distinct tensor factors and close the critical pole/main state algebraically.	safe coherent states and finite dyadic ladders	tensor-product assembly	PROPOSED COMPLETE EXACT	VERIFIED_WITH_FIXES	Reviewer B PR #708 family overlap; PR #400 direct lineage	PR #400 @ 7dc9fec9eb5fab4ee9340ddbc5a52e36a6ab617e	Exact tensor commutation and pole/main-state identity.	Pole-subtracted windowed coisometry remains unproved.	conditional architecture	CANONICALIZE_WITH_DEPENDENCIES	Do not advertise localization of all negative signature as a physical conclusion before the observation map is supplied.
DIRECTMAIN.CJ.L91018	DM-002A	677203992eb0168920365ee45ae9db76bfa97dcf	claims/lemmas/L-91018-positive-tail-pays-cauchy-detail-ports.md	L-91018	The positive tail pairs with the two rational Cauchy filters to form one positive independent-frequency Gram kernel.	a>0; finite carrier families	positive emitted Gram	PROPOSED COMPLETE EXACT	VERIFIED_WITH_FIXES	Reviewer B PR #708 family overlap; PR #400 direct lineage	PR #400 @ 7dc9fec9eb5fab4ee9340ddbc5a52e36a6ab617e	Exact two-port tail Gram and four-evaluation formula.	Inherited fluctuation/delayed-state intertwining remains open.	standalone positive kernel	CANONICALIZE_LOCAL	
DIRECTMAIN.CJ.L91019	DM-002A	677203992eb0168920365ee45ae9db76bfa97dcf	claims/lemmas/L-91019-positive-anchor-second-jet-anova-closure.md	L-91019	A positive Euler anchor closes first and second logarithmic jets into one returned state and two orthogonal details.	second logarithmic jet; positive anchor law	Hilbert/orthogonal-polynomial identity	PROPOSED COMPLETE EXACT	VERIFIED	Reviewer B PR #708 family overlap; PR #400 direct lineage	PR #400 @ 7dc9fec9eb5fab4ee9340ddbc5a52e36a6ab617e	Exact second-jet ANOVA/Gram decomposition.	No unitary identification with physical Cauchy ports.	standalone operator identity	CANONICALIZE_LOCAL	
DIRECTMAIN.CJ.L91020	DM-002A	677203992eb0168920365ee45ae9db76bfa97dcf	claims/lemmas/L-91020-boundary-jordan-channel-is-cp-and-negative-mass-contracting.md	L-91020	The safe boundary multiplier is a correlation matrix and its Schur channel contracts negative trace mass.	finite carrier matrices; trace-class limit with approximation	safe-line CP channel	PROPOSED COMPLETE EXACT	VERIFIED_WITH_FIXES	Reviewer B PR #708 family overlap; PR #400 direct lineage	PR #400 @ 7dc9fec9eb5fab4ee9340ddbc5a52e36a6ab617e	Random-unitary Stinespring representation and forward negative-mass contraction.	Forward CP contraction cannot be inverted into the required recurrence.	standalone operator theorem; explicit no-go boundary	CANONICALIZE_LOCAL	
DIRECTMAIN.CJ.L91021	DM-002B	677203992eb0168920365ee45ae9db76bfa97dcf	claims/lemmas/L-91021-unconditional-large-scale-cauchy-gate.md	L-91021	The completed dyadic Cauchy gate is positive uniformly in the carrier for sufficiently large horizontal scale.	a sufficiently large; all real carriers	completed scalar asymptotic	PROPOSED COMPLETE UNCONDITIONAL	VERIFIED_WITH_FIXES	Reviewer B PR #708 family overlap; PR #400 direct lineage	PR #400 @ 7dc9fec9eb5fab4ee9340ddbc5a52e36a6ab617e	Uniform high-scale positivity, later strengthened by L-91028.	Explicit constants and the uniform differentiated Stirling/Euler remainder contract are not supplied in-file.	unconditional terminal theorem; not RH	CANONICALIZE_AFTER_ANALYTIC_FIX	
DIRECTMAIN.CJ.L91022	DM-002B	677203992eb0168920365ee45ae9db76bfa97dcf	claims/lemmas/L-91022-sixteenfold-cauchy-detail-storage-and-three-square-residual.md	L-91022	The rational Cauchy detail has exact factor-16 storage, a three-square residual and coefficient-one a^-4 recurrence.	a>0; all real u	exact rational/paraunitary identity	PROPOSED COMPLETE EXACT	VERIFIED	Reviewer B PR #708 family overlap; PR #400 direct lineage	PR #400 @ 7dc9fec9eb5fab4ee9340ddbc5a52e36a6ab617e	Exact rational identity, three-square residual and high-frequency cancellation.	Arithmetic sign of the associated Weil/prime form is open.	standalone exact identity	CANONICALIZE_LOCAL	
DIRECTMAIN.CJ.L91023	DM-002B	677203992eb0168920365ee45ae9db76bfa97dcf	claims/lemmas/L-91023-positive-jordan-source-is-the-zeta-factor-of-xi-radial-scattering.md	L-91023	The generalized-Jordan zeta ratio is exactly the zeta factor of completed xi radial scattering, with Wigner-Smith delay equal to the Cauchy logarithmic derivative.	a>0; real carriers away from zeros/poles	completed meromorphic scattering identity	PROPOSED COMPLETE EXACT	VERIFIED_WITH_FIXES	Reviewer B PR #708 family overlap; PR #400 direct lineage	PR #400 @ 7dc9fec9eb5fab4ee9340ddbc5a52e36a6ab617e	Exact xi factorization and delay identity.	No positivity of the renormalized delay curvature follows from unimodularity.	standalone analytic identity	CANONICALIZE_LOCAL	State denominator exclusions and meromorphic continuation explicitly.
DIRECTMAIN.CJ.L91024	DM-002B	677203992eb0168920365ee45ae9db76bfa97dcf	claims/lemmas/L-91024-normalized-cauchy-gate-is-a-positive-heat-band-laplace-transform.md	L-91024	Each critical-line atom is a completely monotone squared-scale heat-band transform; under RH the full normalized Cauchy gate is completely monotone.	per real atom unconditionally; complete zero sum under RH	positive heat transform conditional at global zeta scope	PROPOSED COMPLETE EXACT	CONDITIONAL_EXACT	Reviewer B PR #708 family overlap; PR #400 direct lineage	PR #400 @ 7dc9fec9eb5fab4ee9340ddbc5a52e36a6ab617e	Exact per-atom heat-band formula and RH-implied global complete monotonicity.	Unconditional completed prime-side heat-band positivity is RH-equivalent/open.	OPEN_RH_EQUIVALENT at full zeta scope	REGISTER_CONDITIONAL_CRITERION	
DIRECTMAIN.CJ.L91025	DM-002B	677203992eb0168920365ee45ae9db76bfa97dcf	claims/lemmas/L-91025-positive-anchor-cubic-jet-has-exactly-three-detail-ports.md	L-91025	The positive anchor cubic jet has one returned state and exactly three orthogonal detail ports.	degree-three logarithmic jet	Hilbert/orthogonal-polynomial identity	PROPOSED COMPLETE EXACT	VERIFIED	Reviewer B PR #708 family overlap; PR #400 direct lineage	PR #400 @ 7dc9fec9eb5fab4ee9340ddbc5a52e36a6ab617e	Exact one-plus-three Gram decomposition and Cholesky formula.	Equality of the source detail metric with the physical three-port metric is open.	standalone operator identity	CANONICALIZE_LOCAL	
DIRECTMAIN.CJ.L91026	DM-002B	677203992eb0168920365ee45ae9db76bfa97dcf	claims/lemmas/L-91026-sixteenfold-residual-has-one-causal-rational-spectral-factor.md	L-91026	The sixteenfold residual has one rational Hardy spectral factor whose modulus is the three-square residual.	a>0; real frequency; one Fourier convention	rational Hardy factor	PROPOSED COMPLETE EXACT	VERIFIED_WITH_FIXES	Reviewer B PR #708 family overlap; PR #400 direct lineage	PR #400 @ 7dc9fec9eb5fab4ee9340ddbc5a52e36a6ab617e	Exact modulus factorization and scalar autocorrelation.	Positive arithmetic realization of the Hardy square is open.	standalone factorization	CANONICALIZE_AFTER_NORMALIZATION_FIX	T-91006 writes the conjugate pole orientation; canonicalization must choose one Fourier/Hardy half-plane.
